Mainland North Frisian	Mainland North Frisian	probability
ˈɔ	ˈo	1.0
ˈœː_l	l	1.0
ˈœi̯	-	1.0
ˈuː_x	ˈœ	1.0
ˈu	-	1.0
ˈeː_l	l	1.0
ˈeː	-	1.0
ʃ	ʃ	1.0
ɡ	ɡ̊	1.0
ɛi̯	eː	1.0
ə_l	l	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	s	1.0
w	j	1.0
v_ə	f	1.0
tʲ	s	1.0
s_t	ʃ_t	1.0
s_#>	z̥_#>	1.0
p	f	1.0
nʲ	n	1.0
m	m	1.0
lʲ	l_t	1.0
l_ə	l	1.0
l	l	1.0
i_ŋ	i	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
dʲ	t	1.0
d_ə	ə	1.0
b	b̥	1.0
#>	n_#>	1.0
ə	ə	0.96
ʀ	ʁ	0.927
n	n	0.902
v	ʋ	0.773
x	x	0.714
s	s	0.714
ˈɒː	ˈɒ	0.667
ˈœː	-	0.667
ˈyː	ˈoː	0.667
j	-	0.667
ˈɛː	-	0.625
ˈɛ	-	0.6
v̥	b̥	0.6
ˈɛi̯	-	0.571
d	d̥	0.556
ˈʏ	ˈyː	0.538
k	kʰ	0.529
ˈɔu̯	ˈoː	0.5
ˈɔu̯	-	0.5
ˈɒ	ˈɒ	0.5
ˈɒ	-	0.5
ˈi	ˈi	0.5
ˈaː	ˈu	0.5
ˈaː	-	0.5
ˈai̯	ˈi	0.5
ˈai̯	-	0.5
z̥	t	0.5
z̥	-	0.5
<#_j	<#_l	0.5
<#_j	<#	0.5
<#	<#_ˈɒ	0.5
<#	<#_ˈi	0.5
t	ʦ	0.483
ˈʊ	ˈu	0.444
ˈɔː	-	0.444
ˈɛi̯	ˈɒː	0.429
ˈɛ	ˈiː	0.4
v̥	f	0.4
ˈɛː	ˈe	0.375
ˈɔː	ˈɒ	0.333
ˈɒː	-	0.333
ˈœː	ˈø	0.333
ˈyː	-	0.333
ˈuː	ˈʊː	0.333
ˈuː	ˈɒ	0.333
ˈuː	-	0.333
ˈa	ˈi	0.333
ˈa	-	0.333
j	ɡ̊	0.333
d	t	0.333
ˈi	ˈiː	0.312
ˈœ	ˈʊː	0.308
ˈœ	ˈɒ	0.308
k	ʃ	0.294
ˈiː	ˈəi̯	0.286
x	ʃ	0.286
s	ʃ	0.286
t	t	0.241
ˈiː	ˈiː	0.238
ˈiː	ˈeː	0.238
ˈʏ	ˈu	0.231
ˈʏ	-	0.231
ˈœ	-	0.231
ˈʊ	-	0.222
ˈɔː	ˈi	0.222
ˈa	ˈu	0.2
ˈi	-	0.188
k	k	0.176
t	s	0.172
ˈœ	ˈu	0.154
ˈiː	-	0.143
v	-	0.136
ˈa	ˈe	0.133
ˈʊ	ˈɒ	0.111
ˈʊ	ˈo	0.111
ˈʊ	ʋ_ˈo	0.111
d	s	0.111
t	d̥	0.103
n	-	0.098
v	ʋ_ˈi	0.091
