German	Old English	probability
a	ɑ	1.0
b	b	0.722
b	v	0.23
d	θ	0.51
d	d	0.356
d	ð	0.134
eː	iːy̯	1.0
f	f	0.686
f	p	0.251
h	h	1.0
j	j	1.0
k	ʤ	0.362
k	k	0.226
k	j	0.19
k	ɣ	0.082
k	kː	0.071
k	ʧː	0.062
kʰ	k	0.499
kʰ	ʧ	0.491
l	l	0.616
l	ɫ	0.311
m	m	0.906
m	-	0.053
n	n	0.833
n	-	0.098
n	nː	0.055
p	f	0.874
p	p	0.069
p͡f	p	0.703
p͡f	pː	0.262
s	t	0.542
s	s	0.458
t	d	0.507
t	t	0.252
t	θ	0.149
tʰ	d	0.935
tʰ	θ	0.065
v	w	0.863
v	ʍ	0.137
x	x	0.359
x	ç	0.33
x	ʧ	0.233
x	k	0.078
z	s	0.812
z	z	0.123
z	-	0.065
ç	j	0.225
ç	ʧ	0.213
ç	k	0.2
ç	x	0.124
ç	ç	0.124
ç	ŋ	0.057
ç	-	0.057
ŋ	ŋ	1.0
ɐ	r	0.525
ɐ	e	0.306
ɐ	o	0.104
ɐ	rː	0.064
ə	ɑ	0.487
ə	e	0.359
ə	-	0.08
ɡ	ɡ	0.448
ɡ	j	0.291
ɡ	ɣ	0.133
ɡ	ʤː	0.051
ɪ	i	0.781
ɪ	iː	0.219
ʁ	r	0.835
ʁ	r̥	0.082
ʃ	ʃ	0.567
ʃ	s	0.366
ʃ	ʃː	0.067
ʦ	t	0.943
ˈa	ˈɑ	0.377
ˈa	ˈæɑ̯	0.249
ˈa	ˈoː	0.118
ˈa	ˈæ	0.112
ˈa	ˈeː	0.059
ˈaɪ̯	ˈɑː	0.47
ˈaɪ̯	ˈiː	0.395
ˈaɪ̯	ˈeːo̯	0.089
ˈaʊ̯	ˈuː	0.468
ˈaʊ̯	ˈæːɑ̯	0.326
ˈaʊ̯	ˈeːo̯	0.062
ˈaː	ˈæ	0.317
ˈaː	ˈɑ	0.18
ˈaː	ˈæːɑ̯	0.169
ˈaː	ˈæː	0.16
ˈaː	ˈoː	0.072
ˈaː	ˈe	0.057
ˈeː	ˈɑː	0.272
ˈeː	ˈe	0.242
ˈeː	ˈiːy̯	0.191
ˈeː	ˈiy̯	0.101
ˈeː	ˈi	0.071
ˈiː	ˈeːo̯	0.857
ˈiː	ˈeː	0.096
ˈoː	ˈu	0.335
ˈoː	ˈæːɑ̯	0.334
ˈoː	ˈoː	0.278
ˈuː	ˈoː	0.659
ˈuː	ˈuː	0.194
ˈuː	ˈeː	0.147
ˈyː	ˈeː	0.863
ˈyː	ˈo	0.137
ˈøː	ˈiːy̯	0.736
ˈøː	ˈy	0.191
ˈøː	ˈæːɑ̯	0.073
ˈœ	ˈu	0.84
ˈœ	ˈe	0.16
ˈɔ	ˈo	0.557
ˈɔ	ˈu	0.362
ˈɔʏ̯	ˈiːy̯	0.311
ˈɔʏ̯	ˈi	0.25
ˈɔʏ̯	ˈeːo̯	0.225
ˈɔʏ̯	ˈæː	0.079
ˈɔʏ̯	ˈuː	0.068
ˈɔʏ̯	ˈyː	0.067
ˈɛ	ˈeo̯	0.36
ˈɛ	ˈe	0.333
ˈɛ	ˈɛ	0.154
ˈɛ	ˈi	0.097
ˈɛ	ˈæ	0.056
ˈɛː	ˈæːɑ̯	0.534
ˈɛː	ˈe	0.327
ˈɛː	ˈiːy̯	0.139
ˈɪ	ˈi	0.878
ˈʊ	ˈu	0.625
ˈʊ	ˈuː	0.212
ˈʊ	ˈo	0.087
ˈʏ	ˈy	0.617
ˈʏ	ˈiː	0.291
ˈʏ	ˈyː	0.092
