Danish	German	probability
ˈɛː	ˈaː	1.0
ˈɛˀ	ˈaɪ̯	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈʊ	1.0
ˈɑˀ	ˈa_ɐ	1.0
ˈœ	ˈʏ	1.0
ˈøː	ˈøː	1.0
ˈø	ˈʏ	1.0
ˈyː	ˈiː	1.0
ˈuˀ	ˈaʊ̯	1.0
ˈoˀ	ˈuː	1.0
ˈo	ˈɔ	1.0
ˈiː	ˈaɪ̯	1.0
ˈiˀ	ˈaɪ̯	1.0
ˈi	ˈɪ	1.0
ʌ	ɐ	1.0
ʁ	ʁ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pʰ	p͡f	1.0
p	f	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	ɡ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d̥	tʰ	1.0
b̥_#>	f_#>	1.0
<#_n	<#_n	1.0
ʋ	v	0.913
b̥	b	0.909
n	n	0.818
lˀ	l	0.769
ˈe	ˈɪ	0.765
ɡ̊	ɡ	0.765
ˈeˀ	ˈaɪ̯	0.75
ɐ	ɐ	0.75
k	k	0.714
ɐˀ	ɐ	0.7
ˈa	ˈa	0.692
ʦʰ	d	0.632
ˈyˀ	ˈiː	0.625
ˈœˀ	ˈoː	0.6
ˈɔˀ	ˈaː	0.556
ˈɑ	ˈa	0.556
nˀ	n	0.538
t	t	0.524
s	z	0.487
ð̞ˠ	s	0.486
ə	n	0.481
nˀ	n_d̥	0.462
ð̞ˠ	t	0.457
ˈu	ˈɔ	0.429
#>	n_#>	0.424
ə	ə	0.407
ˈœˀ	ˈaʊ̯	0.4
s	ʃ	0.385
ˈɛ	ˈɛ	0.375
ˈɛ	ˈa	0.375
ˈyˀ	ˈɔʏ̯	0.375
ʦʰ	ʦ	0.368
w	b	0.357
ˈʌ	ˈa	0.333
ˈa	ˈaː	0.308
ɐˀ	ɐ_t	0.3
ˈu	ˈʊ	0.286
ˈu	v_ˈɔ	0.286
k	ç	0.286
ˈeˀ	ˈeː	0.25
#>	ç_#>	0.242
t	ʦ	0.238
ˈe	ˈɛ	0.235
lˀ	l_d̥	0.231
ˈʌ	ˈɔ	0.222
ˈʌ	ˈaʊ̯	0.222
ˈʌ	-	0.222
ˈɔˀ	ˈeː	0.222
ˈɔˀ	ˈa	0.222
ˈɑ	ˈaɪ̯	0.222
ˈɑ	-	0.222
w	ɡ̊	0.214
#>	ɐ_#>	0.182
j	ˈɪ	0.176
j	ɡ̊	0.176
j	ç	0.176
j	h	0.176
j	-	0.176
w	ɡ	0.143
w	x	0.143
w	b̥	0.143
t	ç_t	0.143
s	s	0.128
ˈɛ	ˈeː	0.125
ˈɛ	ˈaɪ̯	0.125
n	n_d	0.121
ɡ̊	k	0.118
ɡ̊	-	0.118
j	ˈɛ	0.118
ɐ	ə	0.107
t	x_t	0.095
b̥	f	0.091
#>	f_#>	0.091
ʋ	-	0.087
ɐ	ʁ_ə	0.071
ɐ	d_ɐ	0.071
n	ə	0.061
#>	b̥_#>	0.061
ð̞ˠ	d̥	0.057
