Friulian	Neapolitan	probability
aː	ˈɔ	1.0
ɟ	ɡ	1.0
ˈɔː	ˈɔ	1.0
ˈɛː	ˈɛ	1.0
a	-	0.11
b	-	0.071
k	kː	0.051
m	m	0.741
o	ə	0.111
o	-	0.181
o	ˈo	0.211
z	ʦː	0.131
ʤ	ʤ	0.231
ˈi	ˈo	0.061
ˈi	ˈe	0.061
ˈo	ˈe	0.051
ˈu	ˈi	0.1
ˈu	ˈo	0.121
ˈuː	w_ˈɔ	0.291
a	ə	0.182
b	bː	0.162
c	k	0.692
e	-	0.062
l	-	0.112
l	j	0.12
p	k	0.052
r	-	0.082
s	s	0.422
ʤ	-	0.452
ˈi	ˈɛ	0.232
ˈɔ	ˈu	0.152
ˈɛ	ˈɔ	0.052
ˈɛ	ˈɛ	0.832
c	kː	0.173
d	ɾ	0.113
d	t	0.433
l	kː	0.123
n	nː	0.083
t	tː	0.23
u	i	0.053
z	ʤ	0.063
ʤ	ʦ	0.083
ʤ	d	0.233
ʧ	k	0.053
ˈaː	ˈa	0.923
ˈe	ˈe	0.393
ˈi	i	0.073
ˈiː	ˈe	0.173
ˈu	ˈu	0.713
ˈuː	ˈɔ	0.233
ˈɔ	ˈi	0.053
a	ˈa	0.104
f	f	0.734
l	lː	0.184
m	mː	0.224
w	w	0.694
ŋ	-	0.064
ʧ	ʃː	0.064
ˈiː	ˈi	0.44
ˈoː	ˈo	0.124
a	a	0.5
d	d	0.455
i	ˈɛ	0.055
k	ɡ	0.05
r	r	0.185
s	ʃː	0.075
u	-	0.245
ɡ	kː	0.085
ɡ	ɡ	0.475
ɲ	n	0.305
ʧ	ʤː	0.075
ˈeː	ˈi	0.365
ˈi	ˈi	0.45
ˈo	ˈɔ	0.145
ˈo	ˈo	0.345
f	p	0.096
i	j_ə	0.116
i	ə	0.496
j	ˈe	0.056
n	n	0.836
s	sː	0.076
t	-	0.16
w	ˈɔ	0.126
ŋ	ŋ	0.746
a	e	0.077
b	b	0.37
b	v	0.397
i	i	0.247
t	t	0.527
u	u	0.487
v	p	0.087
ɡ	k	0.327
ɲ	ɲː	0.537
ʧ	-	0.207
ˈa	ˈɔ	0.07
ˈa	ˈa	0.887
ˈi	ˈɔ	0.107
ˈiː	ˈɛ	0.387
ˈu	ˈɔ	0.067
ˈuː	ˈu	0.477
ˈɔ	ˈo	0.157
ˈɛ	ˈa	0.057
f	v	0.158
j	j	0.408
o	o	0.148
p	p	0.948
s	-	0.178
s	ʃ	0.248
u	o	0.158
v	v	0.828
z	-	0.098
z	s	0.708
ɲ	ʤ	0.158
ʧ	ʦː	0.108
ʧ	ʃ	0.448
ˈe	ˈɛ	0.08
ˈeː	ˈɛ	0.218
ˈeː	ˈe	0.38
ˈoː	ˈu	0.818
ˈɔ	ˈɔ	0.638
c	ʃ	0.059
e	ə	0.869
j	-	0.469
k	k	0.899
l	l	0.459
o	u	0.349
r	ɾ	0.689
w	-	0.179
ŋ	n	0.19
ˈe	ˈi	0.449
ˈo	ˈu	0.459
ˈoː	ˈɔ	0.059
