Logudorese	Logudorese	probability
ˈi_ɾ	ˈiː_r	1.0
ˈi_ɛ	ˈɛ̃ː	1.0
ˈa_ð	ˈaː_t	1.0
ʃ	-	1.0
ɾ_ʦ	ɫ_s	1.0
ɾ_u	r_ʊ̃ː	1.0
ɾ_k	r_k	1.0
ɾ_a	r_ãː	1.0
ɲ	n_i	1.0
ɣ_u	k_ʊ̃ː	1.0
ɡ_ɾ	k_r	1.0
ɡ	ɡ	1.0
ɛ̆	-	1.0
ɛ_ɾ	r	1.0
ɛ_#>	#>	1.0
ɖː	lʲː	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
ð_ˈa	t_ˈaː	1.0
ð_a	t_ãː	1.0
z_ŭ_#>	s_#>	1.0
s_t	s_t	1.0
p_ɾ	p_ɫ	1.0
p	p	1.0
o_ɾ	r	1.0
o	ɔ	1.0
n_ɛ	ɛ̃ː	1.0
m_b	ŋ_ɡʷ	1.0
k_a	k_a	1.0
j_ˈa	i_ˈaː	1.0
f_ɾ	f_ɫ	1.0
f	f	1.0
d	d	1.0
b_ˈɔ	b_ˈɔ	1.0
b_ˈu	ɡ_ˈʊ	1.0
ă	-	1.0
a_l	a_ɫ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
#>	ɛ̃ː_#>	1.0
n	n	0.966
m	m	0.96
ð	t	0.9
ɾ	r	0.841
ˈe	ˈɛ	0.826
ɣ	k	0.818
z	s	0.818
a	ãː	0.792
ˈo	ˈɔ	0.773
ˈɔ_ɾ	ˈɔ_r	0.75
u	ʊ̃ː	0.732
s	s	0.72
β	p	0.714
nː	n	0.714
l	ɫ	0.692
ɔ	oː	0.667
e	ɛ	0.636
t	t	0.606
ʦ	t	0.6
<#_a	<#_a	0.6
ˈa	ˈa	0.574
ˈɛ	ˈɛ	0.571
z_ɔ̆_#>	s_#>	0.571
k	k	0.571
ˈi	ˈiː	0.531
ˈɔ	ˈoː	0.519
r	rː	0.5
r	r_n	0.5
ˈu	ˈuː	0.474
ɛ	ɛ	0.449
ˈu	ˈʊ	0.447
z_ɔ̆_#>	#>	0.429
b	w	0.429
ʦ	t_i	0.4
ʣ	lʲ_i	0.4
<#_a	<#_au̯	0.4
ɛ	ɛ̃ː	0.398
ˈa	ˈaː	0.393
i	ɪ	0.393
b	b	0.381
ˈɛ	ˈeː	0.371
ˈi	ˈɪ	0.347
ʣ	-	0.333
ɔ	ɔ	0.333
j	ʊ_ɫ	0.333
ˈɔ	ˈɔ	0.296
β	-	0.286
nː	nː	0.286
j	i	0.267
ˈɔ_ɾ	ˈoː_r	0.25
k	kː	0.238
l	lʲ	0.231
ˈo	ˈoː	0.227
i	-	0.214
t	k_t	0.212
ˈɔ	-	0.185
ɣ	ɡ	0.182
z	d_i	0.182
t	tː	0.182
e	eː	0.182
e	-	0.182
b	ɡ	0.167
s	sː	0.16
k	kʷ	0.143
u	ʊ	0.134
ʣ	j	0.133
ʣ	d_i	0.133
j	ɫ	0.133
j	s	0.133
j	-	0.133
ˈe	ˈeː	0.13
s	p_s	0.12
a	aː	0.117
i	iː	0.107
ð	tʰ	0.1
a	a	0.091
ɾ	ɫ	0.087
ˈu	ˈu	0.079
l	lʲː	0.077
i	eː	0.071
i	d_ɪ	0.071
i	d	0.071
