Icelandic	Icelandic	probability
θ	d	1.0
ˈɛi̯	ˈeː	1.0
ˈœː	-	1.0
ˈœ_r	ɐ	1.0
ˈu	ˈo	1.0
ˈou̯	-	1.0
ˈeːi̯	ˈeː	1.0
ˈaːu̯	-	1.0
ˈau̯	-	1.0
ˈai̯	ˈə	1.0
ˈa_r	ˈaː	1.0
ʰt͡n̥	s_ɐ	1.0
ʰp	p	1.0
ʰk	ŋ_k	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ŋ	1.0
ɣ	-	1.0
ɡ̊_l	l	1.0
ɡ̊_a_#>	#>	1.0
ɟ̊ː	-	1.0
ɛ	-	1.0
ɑu̯	ə	1.0
ð_#>	t_#>	1.0
ç	h	1.0
x	ɕ	1.0
v_ʏ	v̥	1.0
v_a	n	1.0
t͡n̥_#>	#>	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʦ	1.0
sː	z̥	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_ˈɛ	ʀ	1.0
r_ɪ	ɐ	1.0
pʰ	pʰ	1.0
p	f	1.0
n̥	n	1.0
nː	n	1.0
n_d̥	n	1.0
m	m	1.0
l	l	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
k_ʏ_r̥_#>	ʃ_#>	1.0
k_ʏ	ɕ	1.0
j_ˈɛ	ˈiː_ɕ	1.0
j_ˈoːu̯	ˈɜɪ̯	1.0
j_ʏ	ŋ	1.0
h	h	1.0
d̥_ʏ	d̥	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
cʰ	kʰ	1.0
b̥	b	1.0
aːu̯	ˈæːɪ̯_ʦ	1.0
a_r̥	ɐ	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈeː	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r̥	<#_ʀ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
f	f	0.9
n	n	0.875
ˈɛː	-	0.833
ˈaː	ˈaː	0.8
ɟ̊	ɡ	0.8
ŋ	ŋ	0.8
a	ə_n	0.8
r̥	ɐ	0.786
ˈʏː	-	0.667
ð	d̥	0.667
r	ʀ	0.645
ˈɛːi̯	ˈeː	0.6
ˈɑu̯	ˈaː	0.6
ˈaːi̯	-	0.6
ʏ	ɐ	0.6
ɪ	-	0.6
t	s	0.571
v	v	0.56
ˈuː	ˈæːʊ̯	0.556
s	ʃ	0.513
ˈɪː	ˈə	0.5
ˈɪː	-	0.5
ˈɔː	ˈoː	0.5
ˈɔː	ˈo	0.5
ˈɔu̯	ˈuə̯	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈuː	0.5
ˈœːy̯	ˈəʊ̯	0.5
ˈœːy̯	ˈaː	0.5
ˈœ	ˈɑ	0.5
ˈœ	-	0.5
ˈiː	ˈæːɪ̯	0.5
ˈi	ˈɑ	0.5
ˈi	-	0.5
ʰt	ɕ_t	0.5
ʰt	t	0.5
ɡ̊ː	k	0.5
ɡ̊ː	-	0.5
ɡ̊_ʏ	ɡ̊	0.5
ɡ̊_ʏ	ɐ	0.5
ɡ̊	ɕ	0.5
ɡ̊	-	0.5
l̥	l_ə	0.5
l̥	l	0.5
j_ˈuː	ˈɜɪ̯_ə	0.5
j_ˈuː	ˈɜɪ̯	0.5
ˈuː	ˈɑʊ̯	0.444
k	χ	0.444
j	-	0.438
s	z	0.436
ˈʏ	ˈo	0.429
ˈa	ˈɑ	0.429
ˈa	ˈaː	0.429
ˈɛːi̯	-	0.4
ˈɑu̯	-	0.4
ˈaːi̯	ˈɜɪ̯	0.4
ɪ	ɐ	0.4
ˈɑːu̯	ˈɜɪ̯	0.375
ˈɑːu̯	ˈoː	0.375
ˈʏː	ˈu	0.333
ˈɛ	ˈɛ	0.333
ð	d	0.333
k	-	0.333
t	t	0.321
#>	n_#>	0.3
#>	d̥_#>	0.3
r	ɐ	0.29
ˈɪ	ˈə	0.267
ˈɪ	ˈe	0.267
ˈɪ	-	0.267
ˈɔ	ˈaː	0.25
ˈɔ	-	0.25
ˈɑːu̯	-	0.25
ˈoːu̯	ˈʊ	0.25
ˈoːu̯	-	0.25
ˈiː	ˈɑɪ̯	0.25
j	ˈiː	0.25
v	-	0.24
ˈɛ	ˈæ	0.222
ˈɛ	ˈaː	0.222
ˈɛ	-	0.222
k	ɕ	0.222
ˈʏ	ˈə	0.214
ˈʏ	-	0.214
r̥	-	0.214
ˈɪ	ˈɑ	0.2
ˈaː	-	0.2
ʏ	f	0.2
ʏ	-	0.2
ɟ̊	ʑ	0.2
ŋ	-	0.2
v	w	0.2
#>	ɕ_#>	0.2
#>	f_#>	0.2
j	ə	0.188
ˈɛː	ˈiː	0.167
ˈoːu̯	ˈəʊ̯	0.167
ˈoːu̯	ˈu	0.167
ˈoːu̯	ˈo	0.167
ˈiː	-	0.15
ˈʏ	ˈɔ	0.143
ˈa	-	0.143
a	n	0.143
n	-	0.125
j	ˈi	0.125
t	-	0.107
ˈiː	ˈe	0.1
f	f_ˈo	0.1
r	ˈaː	0.065
a	-	0.057
s	t	0.051
