Alsatian	North Frisian	probability
b̥	b	0.888
b̥	ə_v	0.06
b̥	v	0.051
d̥	d	0.425
d̥	-	0.294
d̥	z	0.092
d̥	t	0.079
d̥	tʲ	0.066
e	-	1.0
eː	ɛi̯	1.0
f	f	0.597
f	p	0.208
f	v	0.094
f	-	0.083
h	h	1.0
i	i	0.672
i	ə	0.304
j	j	0.275
j	n	0.201
j	-	0.179
j	w	0.146
j	ˈa	0.13
j	ˈiː	0.07
k	k	0.413
k	j	0.304
k	-	0.226
k	w	0.057
kʰ	k	0.596
kʰ	s	0.178
kʰ	ʃ	0.178
l	l	0.786
l	-	0.075
l	lʲ	0.059
l	ə_l	0.057
m	m	0.905
m	-	0.095
n	n	0.796
n	-	0.113
n	nʲ	0.073
p	p	1.0
p͡f	d	0.5
p͡f	p	0.5
s	s	0.63
s	tʲ	0.132
s	t	0.099
s	z	0.071
t	d	0.446
t	t	0.285
t	dʲ	0.157
t	-	0.112
v	v	0.751
v	d	0.159
v	j	0.09
w	ˈʊ	0.513
w	ˈʏ	0.264
w	ˈuː	0.223
x	x	0.688
x	k	0.251
x	w	0.061
ŋ	ŋ	1.0
ə	ə	0.949
ə	-	0.051
ɡ̊	ɡ	0.765
ɡ̊	j	0.152
ɡ̊	k	0.083
ʁ	r	0.879
ʁ	-	0.092
ʃ	ʃ	0.453
ʃ	s	0.343
ʃ	x	0.098
ʃ	d	0.076
ʋ	v	0.936
ʦ	t	1.0
ˈai̯	ˈiː	1.0
ˈaː	ˈɔː	0.555
ˈaː	ˈeː	0.298
ˈaː	ˈɛː	0.147
ˈe	ˈeː	0.337
ˈe	ˈa	0.206
ˈe	ˈɛː	0.162
ˈe	ˈɔ	0.124
ˈe	ˈɔː	0.124
ˈei̯	ˈai̯	0.25
ˈei̯	ˈi	0.25
ˈei̯	ˈiː	0.25
ˈei̯	ˈɛi̯	0.25
ˈeː	ˈiː	0.737
ˈeː	ˈai̯	0.116
ˈeː	ˈeː	0.068
ˈeː	ˈʊ	0.064
ˈi	ˈi	0.228
ˈi	ˈiː	0.164
ˈi	ˈa	0.113
ˈi	ˈai̯	0.113
ˈi	ˈyː	0.074
ˈi	ˈɛ	0.06
ˈi	-	0.055
ˈiː	ˈiː	0.246
ˈiː	j	0.15
ˈiː	ˈi	0.108
ˈiː	ˈœ	0.095
ˈiː	w	0.089
ˈiː	ˈɛi̯	0.089
ˈiː	ˈøː	0.068
ˈiː	ˈɛ	0.068
ˈo	ˈɔ	0.467
ˈo	ˈʊ	0.231
ˈo	ˈuː	0.15
ˈo	ˈɔː	0.103
ˈoː	ˈɔu̯	0.285
ˈoː	ˈyː	0.172
ˈoː	ˈuː	0.138
ˈoː	ˈɛː	0.133
ˈoː	-	0.07
ˈoː	ˈaː	0.068
ˈu	ˈʊ	0.476
ˈu	ˈœ	0.126
ˈu	ˈyː	0.1
ˈu	ˈa	0.088
ˈu	ˈaː	0.072
ˈyː	ˈyː	0.656
ˈyː	ˈøː	0.252
ˈyː	ˈʏ	0.092
ˈæ	ˈeː	0.578
ˈæ	ˈɛː	0.167
ˈæ	ˈɛi̯	0.156
ˈæ	ˈi	0.053
ˈæː	ˈiː	0.508
ˈæː	ˈi	0.166
ˈæː	ˈɔː	0.166
ˈæː	ˈɛi̯	0.098
ˈæː	ˈøː	0.064
ˈø	ˈøː	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈœ	1.0
ˈœ	ˈuː	1.0
ˈɒ	ˈœ	0.207
ˈɒ	ˈɔː	0.155
ˈɒ	ˈɒ	0.115
ˈɒ	ˈɒː	0.108
ˈɒ	ˈʊ	0.102
ˈɒ	ˈuː	0.082
ˈɒ	ˈeː	0.078
ˈɒ	-	0.063
ˈɒː	ˈɒ	0.257
ˈɒː	ˈeː	0.204
ˈɒː	ˈɛi̯	0.161
ˈɒː	ˈʊ	0.148
ˈɒː	-	0.088
ˈɒː	ˈɒː	0.082
ˈɒː	ˈɔː	0.061
ˈəi̯	ˈiː	0.721
ˈəi̯	ˈɔi̯	0.109
ˈəi̯	ˈi	0.101
ˈɛ	ˈɛː	1.0
ˈʊː	ˈuː	0.462
ˈʊː	ˈœ	0.258
ˈʊː	ˈœi̯	0.097
ˈʊː	ˈɔu̯	0.063
ˈʊː	ˈɛ	0.061
