Auvergnat	Auvergnat	probability
ˈɪ̃	j_ˈe	1.0
ˈɔ̃_ŋ	n	1.0
ˈɔ̃	ˈe	1.0
ˈɔ_ʀ	ɾ	1.0
ˈɔ_k	ˈe_ɣ	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈi	ˈi	1.0
ˈã	ˈa	1.0
ˈa_l	ˈe_l	1.0
ʒ	θ	1.0
ʃ	θ	1.0
ʀ_ˈɪ	ɾ	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ʀ_ɔ	ɾ_a	1.0
ɲ	ɲ	1.0
ɪ	e_s	1.0
ɥ	a_t	1.0
ɡʲ	ɣ	1.0
œ	-	1.0
y	-	1.0
w_ˈẽ	ˈu	1.0
w_#>	β_e_#>	1.0
vʲ	b	1.0
v_ˈa	β_ˈa	1.0
v	b	1.0
ũ	o	1.0
u_ʀ	o_ɾ	1.0
s_ˈɪ	s_ˈe	1.0
s_ɔ	a	1.0
s_#>	θ_#>	1.0
pʲ	p	1.0
p_l	ɟ͡ʝ	1.0
p	p	1.0
mʲ	m	1.0
lː	s_l	1.0
k_l	ɟ͡ʝ	1.0
j_ʀ	ð_ɾ	1.0
ĩ	i	1.0
i	i	1.0
fʲ	-	1.0
f	f	1.0
e	-	1.0
d_ɔ	ð_a	1.0
b_ˈe	e_ɾ	1.0
b_ʀ	β_ɾ	1.0
ã	a	1.0
a	a	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
m	m	0.929
t	t	0.913
n	n	0.882
ʧ	k	0.88
ʎ	x	0.857
ɔ	a	0.847
ˈɪ	ˈe	0.846
ˈa	ˈa	0.844
ɒ	a	0.833
k	k	0.808
ʀ	ɾ	0.8
ˈu	ˈo	0.762
ˈœ	ˈo	0.75
ˈɔ	ˈe	0.696
ˈĩ	ˈi	0.667
ˈẽ	j_ˈe	0.667
ɡ	ɡ	0.636
ˈa_w	ˈo	0.625
#>	o_#>	0.619
u	o	0.6
s	θ	0.6
ˈe	j_ˈe	0.565
d	d	0.556
b	b	0.556
l	l	0.538
w	w	0.537
ˈũ	ˈo	0.5
ˈũ	-	0.5
ˈe_j	ˈe_j	0.5
ʀ_ə	ˈe_ɾ	0.5
ʀ_ə	ɾ	0.5
ŋ	n	0.5
z	θ	0.5
z	-	0.5
<#_ʤ	<#_x	0.5
<#_ʤ	<#	0.5
ə	e	0.487
b	β	0.444
u	u	0.4
s	s	0.4
ˈa_w	ˈa_l	0.375
ˈĩ	-	0.333
ˈẽ	ˈe	0.333
ə	o	0.282
d	ð	0.278
ˈœ	ˈu	0.25
ˈe_j	ˈe	0.25
ˈe_j	ˈa	0.25
ʤ	β_j	0.25
ʤ	ɣ	0.25
ʤ	ɟ͡ʝ	0.25
ʤ	-	0.25
j	o	0.25
j	-	0.25
l	ʝ	0.231
#>	ɾ_#>	0.227
ŋ	n_t	0.222
w	ˈo	0.22
ˈɔ	-	0.217
ˈe	ˈe	0.217
ɡ	ɣ_w	0.182
ɡ	ɣ	0.182
ɒ	-	0.167
ŋ	ŋ	0.167
j	ʧ_o	0.167
j	ʧ_e	0.167
j	e	0.167
d	-	0.167
#>	e_#>	0.155
ˈɪ	-	0.154
w	β	0.146
ˈu	ˈu	0.143
ʎ	-	0.143
ˈe	ˈi	0.13
ʧ	t	0.12
n	-	0.118
k	ɡ	0.115
ə	ɾ_o	0.103
ˈu	ˈo_ð	0.095
ˈɔ	ˈe_s	0.087
ˈe	ˈa	0.087
t	ʧ	0.087
ʀ	ɾ_n	0.086
ɔ	o	0.085
ə	-	0.077
l	ɾ	0.077
l	ɟ͡ʝ	0.077
l	m_ˈo	0.077
k	k_w	0.077
m	ɲ	0.071
ɔ	-	0.068
ˈa	a	0.067
ʀ	r	0.057
ʀ	-	0.057
ŋ	o	0.056
ŋ	-	0.056
ə	ɾ	0.051
