East Franconian	Palatine German	probability
β	β	1.0
ˈɪ	ˈɪ	1.0
ˈɘ	ˈɛ_ɐ	1.0
ˈɒː	ˈɑ	1.0
ˈiː_n	ˈĩː	1.0
ˈa	ˈɑ	1.0
ʦ	ʣ̥	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɪ	ɪ	1.0
ɣ	ɣ̊	1.0
ɡ̊	ɡ̊	1.0
ə	-	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
z̥	s	1.0
x	x	1.0
v̥	f	1.0
v	β	1.0
s_d̥	ʃ_d̥	1.0
s	s	1.0
r	r	1.0
n_ʃ	n_ʃ	1.0
n_ɐ	n_ɐ	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥_ɐ	d̥_ɐ	1.0
b̥͡v̥	b̥	1.0
b̥	b̥	1.0
ˈɒ	ˈɑ	0.952
d̥	d̥	0.952
ˈaɪ̯	ˈaɪ̯	0.937
ˈaʊ̯	ˈau̯	0.935
ˈɛ	ˈɛ	0.934
ç	ʃ	0.912
ˈʊ	ˈu	0.874
m	m	0.873
ˈɔ	ˈɔ	0.842
ˈɛː	ˈɛː	0.821
n	n	0.694
ɐ_n	ɐ_n	0.629
ˈiː	ˈiː	0.626
ˈuː	ˈuː	0.549
a	ə	0.537
ɣ̊	-	0.532
ŋ	ŋ	0.528
ɣ̊	ɣ̊	0.468
ˈoː	ˈoː	0.465
a	-	0.423
ˈuː	ˈoː	0.414
ˈaː	ˈɑː	0.404
ˈoː	ˈɑː	0.4
ˈeː	ˈɛ	0.389
ˈeː	ˈeː	0.372
ɐ_n	r_ə	0.371
ˈaː	-	0.31
ˈaː	ˈɛː	0.286
ˈeː	ˈẽː	0.239
ˈiː	ˈɪ	0.207
ŋ	ə	0.198
ˈɛː	ˈɑːɪ̯	0.179
ŋ	j	0.167
n	ə	0.165
ˈɔ	-	0.158
n	-	0.14
ˈʊ	ˈɔ	0.126
ŋ	-	0.107
ˈoː	ˈɑ̃ː	0.104
ˈiː	ˈeː	0.096
ç	ɪ_ʃ	0.088
m	β_ə	0.076
ˈiː	ˈi	0.071
ˈɛ	ˈɛː	0.066
ˈaʊ̯	ˈau̯̯	0.065
ˈaɪ̯	ˈɑ̃ɪ̯	0.063
m	-	0.051
