Ukrainian	Štokavian	probability
b	b	1.0
bʲ	b	1.0
j	j	1.0
kʲ	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
tʲ	t	1.0
w	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɦ	ɡ	1.0
ɪ	i	1.0
ʋ	ʋ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈa	a	1.0
ˈu	ûː	1.0
d	d	0.951
r	r	0.921
ɔ	ô	0.071
ˈi	êː	0.21
i	e	0.22
ˈɛ	ê	0.722
ɛ	e	0.653
ˈɔ	a	0.23
lʲ	l	0.614
ɐ	ěː	0.084
ˈi	j_êː	0.114
ˈi	e	0.114
e	-	0.825
nʲ	n	0.955
ɔ	o	0.375
ʋʲ	ʋ	0.055
ʋʲ	ʋ_j	0.945
ˈɑ	â	0.175
ˈɔ	ôː	0.075
ˈɪ	i	0.25
lʲ	ʎ	0.386
ɔ	ě	0.076
ɔ	ǒ	0.366
ɫ	o	0.086
ˈi	ê	0.146
ˈi	ôː	0.246
ˈɔ	o	0.056
ˈɔ	â	0.196
ˈɔ	ô	0.276
ˈɪ	îː	0.076
ˈɪ	î	0.236
e	i	0.167
k	k	0.977
ɐ	a	0.637
ɛ	ě	0.347
ˈɑ	e	0.127
ˈɪ	-	0.437
i	j_ěː	0.78
r	r̂ː	0.058
ɐ	eː	0.238
ˈɑ	a	0.698
ˈɛ	â	0.278
ɫ	l	0.889
ˈi	j_ê	0.079
ˈi	ô	0.09
ˈɔ	ê	0.059
ˈɔ	-	0.109
