Afrikaans	Middle English	probability
ˈʊə̯_r	ˈɔ	1.0
ˈɪø̯	ˈu	1.0
ˈɛː	ə_n	1.0
ˈyː	-	1.0
ˈoː	ˈɛː	1.0
ˈi_χ	ˈiː_ə	1.0
ɫ_k	ɫ_k	1.0
ɦ	h	1.0
ə_χ	iː	1.0
ə_ŋ	r_n	1.0
ə_r	r_ə	1.0
w	ˈɔu̯	1.0
v̥	f	1.0
t	t	1.0
s_k	ʃ	1.0
p	p	1.0
m	m	1.0
i	eː	1.0
b	b	1.0
d̥	d	0.906
r	r	0.878
v	w	0.766
k	k	0.735
ˈœɪ̯	ˈuː	0.734
s	s	0.732
d	θ	0.729
ə	ə	0.715
n	n	0.715
ˈa	ˈa	0.7
ˈɔ	ˈu	0.652
ˈœu̯	-	0.637
ɫ	l	0.62
ˈəɪ̯	ˈiː	0.611
ˈi	ˈeː	0.587
ˈə	ˈi	0.572
ˈœ	ˈi	0.557
ˈu	ˈoː	0.533
j	j	0.531
ˈa_n	ˈɔː_n	0.512
ˈɛ	ˈɛ	0.5
ˈɛ	ˈi	0.5
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
ˈæ	ˈɛ	0.5
ˈa_n	ˈoː	0.488
ŋ	ŋ_ɡ	0.483
j	-	0.469
ˈu	ˈeː	0.467
ˈœ	ˈu	0.443
ˈʊə̯	ˈɛː	0.429
ˈɑː	ˈɛː	0.382
ˈɪə̯	ˈɔː	0.37
ˈœu̯	ˈɔː	0.363
ˈæ	ˈi	0.357
ŋ	ŋ	0.343
ɫ	ɫ	0.339
χ	ɡ	0.295
ˈə	ˈiː	0.289
ˈi	-	0.281
ˈɑː	ˈaː	0.28
ˈəɪ̯	ˈɔː	0.277
ˈœɪ̯	-	0.266
ˈɔ	ˈɔ	0.257
ˈʊə̯	-	0.233
χ	x	0.225
k	ʧ	0.225
d	d	0.224
ˈɪə̯	ˈɛ	0.222
ˈʊə̯	ˈeː	0.213
n	n_ə	0.192
ˈɪə̯	ˈɛː	0.188
χ	ʤ	0.179
ŋ	n_ɡ	0.175
χ	ç_t	0.164
ˈɪə̯	-	0.149
v	ʍ	0.144
ˈæ	ɛ	0.143
ˈə	-	0.14
ə	-	0.14
ˈɑː	-	0.133
ˈi	ˈɔu̯	0.132
ˈʊə̯	ˈu	0.125
ˈa	ˈɛ	0.122
ˈəɪ̯	-	0.113
ˈɑː	ˈoː	0.104
ˈɑː	ˈɛ	0.101
d̥	ɫ_d	0.094
n	-	0.093
ˈɔ	-	0.091
v	-	0.089
r	r_ə	0.079
ə	ɡ_ə	0.078
s	ʃ	0.077
ˈa	-	0.075
χ	j	0.073
ˈɪə̯	ˈi	0.072
ə	iː	0.067
χ	ə	0.063
s	-	0.059
ˈa	ˈi	0.053
s	z	0.051
