West Frisian	West Frisian	probability
χ_t	d	1.0
χ_#>	ɡ_#>	1.0
χ	x	1.0
ˈɛː	-	1.0
ˈɔː	ˈa	1.0
ˈøə̯	ˈae̯	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈiə̯	1.0
ˈu	ˈo	1.0
ˈi_t	s	1.0
ˈeː	-	1.0
ʦ	-	1.0
ʋ	ʋ	1.0
ɪ	i	1.0
ɣ	ɡ	1.0
ə_r	ʌ	1.0
ŋ	ŋ	1.0
v_ə	f	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ə	x	1.0
k_#>	#>	1.0
j_ˈɪ	ˈiə̯	1.0
j_ˈuə̯	ˈəi̯	1.0
j_ɪ	eə̯	1.0
j_ə	a	1.0
h	h	1.0
d	d	1.0
b	b	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_ɡ	<#_ɡ	1.0
<#_r	<#_ʁ	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#	<#_ˈɛ	1.0
f	f	0.917
n	n	0.861
d̥	d	0.833
j	-	0.778
ˈoː	-	0.75
ˈoə̯	-	0.714
ˈa	ˈa	0.714
#>	d_#>	0.643
ˈuː	ˈao̯	0.636
v	ʋ	0.636
ˈiə̯_n	ˈɔe̯	0.6
ə	a	0.578
ˈɛ	ˈɛ	0.545
ˈuə̯	ˈuə̯	0.545
ˈiː	-	0.545
s	ʃ	0.536
ˈiə̯	-	0.5
ˈaː	-	0.5
z	ɡ	0.5
z	-	0.5
r	ʁ	0.5
p	f	0.5
s	s	0.464
ˈuə̯	-	0.455
ˈiː	ˈəi̯	0.455
k	ç	0.455
ˈɛi̯	ɡ	0.429
ˈiə̯_n	ˈeə̯	0.4
ˈi	-	0.4
ˈɔ	ˈo	0.389
t	d	0.386
ˈuː	-	0.364
k	ɡ	0.364
ˈɔ	-	0.333
p	-	0.333
ˈɪ	-	0.318
t	s	0.318
ˈɪə̯	ˈoː	0.3
ˈi	ˈəi̯	0.3
ˈi	ˈi	0.3
ə	-	0.289
ˈɛi̯	ˈaː_ɡ	0.286
ˈɛi̯	-	0.286
ˈoə̯	ˈɔ_ʕ	0.286
ˈa	-	0.286
ˈɛ	-	0.273
t	ʦ	0.273
r	ʕ	0.265
ˈɪə̯	ˈa	0.25
ˈɪə̯	-	0.25
ˈoː	ˈɔə̯	0.25
ˈiə̯	ˈɔː	0.25
ˈiə̯	ˈiː	0.25
ˈaː	ˈɔe̯	0.25
ˈaː	ˈa	0.25
r	ʌ	0.235
ˈɪ	ˈi	0.227
j	ˈəi̯	0.222
#>	b_#>	0.214
ˈɪ	ˈe	0.182
ˈɛ	ˈae̯	0.182
v	b	0.182
v	-	0.182
k	x	0.182
ˈɔ	ˈɔ	0.167
p	p͡f	0.167
d̥	l_d	0.167
#>	n_#>	0.143
ˈɪ	ˈɪ	0.136
ˈɪ	ˈɛ	0.136
ˈɔ	ˈu	0.111
ˈɪə̯	ˈɛː	0.1
ˈɪə̯	ˈao̯	0.1
n	d	0.083
f	b	0.083
n	-	0.056
