Ukrainian	Belarusian	probability
ˈ	ˈ	1.0
ʧʲ	ʧ	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ_ɛ	ʦ_a	1.0
ʤ	ʧ	1.0
ʒʲ	ʐ_ɨ	1.0
ʍ	w	1.0
ʋʲ	vʲ	1.0
ʊ	u	1.0
ʃʲ	ʂ	1.0
ɪ_ˈ	ɨ	1.0
ɦʲ	ɣ	1.0
ɦ_e	ɣʲ	1.0
ɦ	ɣ	1.0
ɔ_ˈ	o_ˈ	1.0
ɔ_r	a_r	1.0
ɔ_d	a_d	1.0
ɑ_ˈ	a_ˈ	1.0
zʲ	zʲ	1.0
w	v	1.0
tʲ	ʦʲ	1.0
t_e	ʦʲ	1.0
s_ɑ	s_a	1.0
rʲ_i	r_a	1.0
rʲ	r	1.0
r	r	1.0
pʲ	pʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
lʲ	lʲ	1.0
kʲ	k	1.0
k_e	kʲ	1.0
j_ɑ	æ	1.0
j	i	1.0
e_j	ɨ	1.0
dʲ	ʣʲ	1.0
a	a	1.0
ɫ	ɫ	0.844
u	u	0.827
sʲ	sʲ	0.818
k	k	0.802
ʋ	v	0.772
s	s	0.769
t	t	0.759
ɔ	a	0.667
nʲ	nʲ	0.65
r_ɛ	r_o	0.642
m	m	0.637
ʒ	ʐ	0.614
d	d	0.577
x	x	0.574
ɪ	ɨ	0.568
ɛ	e	0.563
z	z	0.553
ɐ	æ	0.544
ɑ	æ	0.541
p	pʲ	0.507
p	p	0.493
i	e	0.478
ɑ	a	0.459
ɐ	a	0.456
e	i	0.433
ɪ	i	0.432
b	b	0.427
x	xʲ	0.426
d	ʣʲ	0.423
b	bʲ	0.4
ʒ	ʐ̊	0.386
m	mʲ	0.363
r_ɛ	r_a	0.358
ɛ	ɵ	0.351
nʲ	n	0.35
z	zʲ	0.331
e	ɨ	0.302
i	o	0.29
e	-	0.265
t	ʦʲ	0.241
s	sʲ	0.231
ɔ	ʌ	0.229
ʋ	w	0.228
sʲ	s	0.182
u	-	0.173
b	b̥	0.172
ɫ	lʲ	0.156
i	-	0.126
k	kʲ	0.121
z	z̥	0.116
ɔ	o	0.104
ɛ	æ	0.086
k	-	0.076
i	ɛ	0.059
