Swabian	Swabian	probability
ˈʌ	ˈiː_ɐ	1.0
ˈɔə̯	ˈu	1.0
ˈɔe̯	ˈeː	1.0
ˈuː	ˈu	1.0
ˈiə̯	ˈɜɪ̯	1.0
ˈeə̯	-	1.0
ˈaː_ɡ	ˈoː	1.0
ˈa_ʕ	ˈaː	1.0
ʦ	ʦ	1.0
ʣ	ʦ	1.0
ʕ_n_#>	ʀ_#>	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʃ	ʃ	1.0
ʁ	ʀ	1.0
ɪ_ɡ	ə_ɕ	1.0
ɡ_#>	#>	1.0
ŋ	ŋ	1.0
ç	ɕ	1.0
t	-	1.0
p͡f	pʰ	1.0
n_d	n	1.0
m	m	1.0
l_e	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	e	1.0
h	h	1.0
f	f	1.0
eə̯	e_ŋ	1.0
d_#>	#>	1.0
b̥͡f	-	1.0
b_ʌ	v_ɐ	1.0
<#_ˈo	<#	1.0
<#_n	<#_n	1.0
n	n	0.9
a	ə_n	0.791
ˈɛː	-	0.714
ˈe	ˈɑ	0.714
ʋ	v	0.708
b	b	0.692
ˈəi̯	ˈæːɪ̯	0.667
ˈiː	-	0.667
ˈoː	ˈəʊ̯	0.636
ˈɔː	ˈoː	0.625
ˈo	ˈo	0.6
ˈaː	ˈaː	0.6
ˈa	ˈaː	0.583
ˈi	ˈə	0.562
ˈɪ	ˈɑ	0.5
ˈɪ	-	0.5
x	χ	0.5
#>	ɡ̊_#>	0.5
#>	d̥_#>	0.5
ˈɔ	-	0.429
ˈae̯	-	0.417
ɡ	ɡ	0.406
ˈo	-	0.4
ˈaː	ˈɑ_n	0.4
ˈao̯	ˈæːʊ̯	0.4
d	d	0.392
s	s	0.388
ˈɔː	-	0.375
ˈu	ˈo	0.375
ˈu	ˈe	0.375
ˈeː	ˈɜɪ̯	0.375
ˈeː	-	0.375
ˈoː	-	0.364
s	z	0.347
ˈəi̯	ˈɑɪ̯	0.333
ˈuə̯	ˈʊ	0.333
ˈiː	ˈɜɪ̯	0.333
ˈɛ	-	0.3
x	ɕ	0.3
ˈa	ˈɑ	0.292
ʋ	w	0.292
ˈɛː	ˈɜɪ̯	0.286
ˈɔ	ˈo	0.286
ˈɔ	ˈaː	0.286
ˈe	-	0.286
d	d̥	0.284
ɡ	k	0.281
d	t	0.27
ˈao̯	ˈɑʊ̯	0.267
ˈu	-	0.25
ˈi	ˈiː	0.25
ˈeː	ˈi	0.25
ˈae̯	ˈæːɪ̯	0.25
s	z̥	0.224
ˈuə̯	ˈəʊ̯	0.222
ˈuə̯	ˈu	0.222
ˈuə̯	-	0.222
ˈɛ	ˈɛː	0.2
ˈao̯	ˈaː	0.2
x	ˈuə̯_ɕ	0.2
ˈi	-	0.188
ˈae̯	ˈɑɪ̯	0.167
ˈae̯	ˈeː	0.167
b	v̥	0.154
ˈɛ	ˈɛ	0.15
ˈɛ	ˈæ	0.15
a	n	0.14
ˈao̯	-	0.133
ˈa	-	0.125
ɡ	ə	0.125
ˈɛ	ˈɑ	0.1
ˈɛ	ˈiː	0.1
n	-	0.1
ɡ	ɕ	0.094
ɡ	-	0.094
b	v	0.077
b	-	0.077
a	-	0.07
