French	Ladin	probability
a	a	0.341
a	ˈa	0.241
a	j	0.208
a	-	0.057
b	b	0.842
b	m	0.091
b	-	0.067
d	d	1.0
e	ˈe	0.616
e	ˈa	0.26
e	ˈɛ	0.072
e	i	0.052
f	f	0.966
i	ˈi	0.45
i	ˈɛ	0.136
i	j_ˈɛ	0.125
i	-	0.077
i	j	0.071
i	ˈe	0.057
j	j	0.504
j	-	0.183
j	ˈɛ	0.1
j	a	0.089
j	ˈɛ_d	0.053
j	w	0.051
k	k	0.861
k	ʃ_k	0.114
l	l	0.916
m	m	0.987
n	n	0.917
o	ˈɛ	0.397
o	ˈɔ	0.239
o	ˈa_w	0.211
o	ˈa	0.085
o	ˈɔ_s	0.067
p	p	0.829
p	ʃ_p	0.126
s	s	0.609
s	ʨ	0.122
s	ʧ	0.109
s	-	0.082
t	t	0.897
t	s_t	0.103
u	ˈo	0.317
u	o	0.152
u	ˈɔ	0.095
u	ˈi	0.093
u	ˈu	0.093
u	ˈe	0.092
u	-	0.066
v	v	0.855
v	-	0.099
w	ˈe	0.652
w	-	0.117
w	ˈo	0.112
w	ˈi	0.052
y	ˈu	0.707
y	ˈe	0.136
y	ˈo	0.081
z	ʒ	0.755
z	ʧ	0.114
z	d	0.097
ø	ˈɛ	0.624
ø	w_ˈɛ	0.159
ø	ˈo	0.135
œ	w	0.414
œ	w_ˈɛ	0.389
œ	ˈo	0.132
œ	ˈɔ	0.065
ɑ̃	ˈɛ_n	0.41
ɑ̃	ˈa	0.187
ɑ̃	ˈa_ŋ	0.126
ɑ̃	n	0.085
ɑ̃	ˈa_n	0.068
ɑ̃	ŋ	0.054
ɔ	ˈɔ	0.634
ɔ	o	0.274
ɔ	ˈo	0.091
ɔ̃	ˈo	0.432
ɔ̃	ˈɔ	0.161
ɔ̃	-	0.122
ɔ̃	ˈo_n	0.121
ɔ̃	e	0.093
ɔ̃	ˈɔ_n	0.071
ə	e	0.338
ə	a	0.308
ə	ˈe	0.23
ə	-	0.124
ɛ	ˈɛ	0.533
ɛ	ˈa	0.207
ɛ	ˈe	0.145
ɛ	-	0.079
ɛ̃	ˈa	0.271
ɛ̃	n	0.203
ɛ̃	ˈi	0.198
ɛ̃	ɲ	0.187
ɛ̃	i	0.068
ɡ	ɡ	0.803
ɡ	v	0.17
ɥ	w	0.486
ɥ	ˈu	0.306
ɥ	ʦ	0.095
ɥ	o	0.064
ɲ	ɲ	1.0
ʁ	r	0.716
ʁ	e_r	0.111
ʁ	-	0.088
ʃ	ʨ	0.867
ʃ	ʥ	0.077
ʒ	ʒ	0.47
ʒ	d	0.194
ʒ	ʥ	0.143
ʒ	-	0.06
