Sassarese	Sassarese	probability
β_i	f	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_dː	ˈe	1.0
ˈɔ_ɬ	ˈoː_ʁ	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_j	ˈo	1.0
ˈɔ_dː	ˈu	1.0
ˈo_bː	ˈy	1.0
ˈi_n	ˈĩ	1.0
ˈi_#>	#>	1.0
ˈe_tː	ˈɛ_t	1.0
ˈa_tː	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʎ	1.0
ʧ	k	1.0
ʦ_i_#>	#>	1.0
ʤː	-	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	-	1.0
ɬ	-	1.0
ɡː	-	1.0
ŋ	-	1.0
z	-	1.0
xː	-	1.0
x	k	1.0
w	w	1.0
v	v	1.0
tː	-	1.0
sː	-	1.0
s	s	1.0
r_i	ʁ	1.0
pː	p	1.0
nː_u	ˈɑ̃	1.0
lː	l	1.0
l	l	1.0
kː	ʃ	1.0
k_ˈa	ʃ	1.0
i_ɬ	e	1.0
i_n	ə_n	1.0
i_d	ˈɛː_ð	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː_u_#>	#>	1.0
bː	v	1.0
a_ɬ	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ʦ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#_a	<#_e	1.0
#>	ə_#>	1.0
u_#>	#>	0.924
m	m	0.9
p	p	0.857
b	b	0.833
<#_ʤ	<#_ð	0.75
a_r	ʁ	0.714
a	a	0.677
dː	-	0.625
rː	ʁ	0.6
i	-	0.593
u	o	0.586
ʦː	s	0.571
ɡ	-	0.571
r	ʁ	0.548
β	v	0.545
t	t	0.545
k	k	0.517
ʦ_i	ˈe_ʃ	0.5
ʦ_i	ʃ	0.5
ɡː_u	ˈe	0.5
ɡː_u	ˈa	0.5
mː	m	0.5
mː	-	0.5
d	d	0.5
d	-	0.5
β	-	0.455
t	-	0.455
n	n	0.455
j	-	0.438
ɡ	ɡ	0.429
rː	-	0.4
ˈo	w	0.391
k	ʃ	0.379
ˈu	ˈu	0.375
ˈu	-	0.375
dː	l	0.375
ˈi	ˈi	0.37
ˈɛ	ˈɛː	0.333
ˈɔ	w	0.333
ɲː	ˈɛ̃	0.333
ɲː	ɲ	0.333
ɲː	-	0.333
j	l	0.312
ˈa	ˈa	0.31
ʦː	-	0.286
a_r	a_ð	0.286
ˈɛ	ˈe	0.278
r	l	0.262
ˈo	ˈoː	0.261
ˈu	w	0.25
j	ʁ	0.25
<#_ʤ	<#	0.25
u	-	0.241
n	ˈɔ̃	0.227
ˈi	-	0.222
ˈe	ˈɛː	0.217
ˈe	j	0.217
ˈɔ	ˈɔ	0.2
ˈa	ˈe	0.19
n	ˈɛ̃	0.182
a	ə	0.169
ˈɛ	ˈɛ	0.167
b	v	0.167
ˈi	ˈe	0.148
ˈa	ˈaː	0.143
ˈa	-	0.143
ʦː	ʦ	0.143
p	-	0.143
n	-	0.136
ˈɔ	ˈø	0.133
ˈo	ˈø	0.13
ˈo	j	0.13
ˈe	ˈɛ	0.13
ˈe	ˈi	0.13
ˈe	-	0.13
ˈa	ˈɑ̃	0.119
r	-	0.119
ˈɛ	ˈɛ̃	0.111
ˈɛ	-	0.111
ˈi	ʁ_ə	0.111
u	ɔ	0.103
k	-	0.103
ˈɔ	ˈoː	0.1
ˈɔ	ˈo	0.1
m	-	0.1
ˈa	ˈɑː	0.095
i	ə	0.093
ˈo	ˈo	0.087
ˈe	ˈɛː_ʁ	0.087
ˈe	ˈe	0.087
u_#>	l_#>	0.076
ˈi	ə	0.074
ˈi	j	0.074
i	ˈi	0.074
i	ʁ	0.074
r	ð	0.071
u	ˈe	0.069
ˈɔ	ˈu	0.067
ˈɔ	-	0.067
i	ˈɛː	0.056
