Asturian	Ladin	probability
ˈo_n	ˈɔ_n	1.0
ˈe_ɾ	e	1.0
ˈe_u	ˈɛ_k	1.0
ˈe_n	ˈɛ_n	1.0
ˈa_ɾ	ˈe	1.0
ˈa_ð	ˈɛ	1.0
ˈa_l	ˈa_w	1.0
ʧ	t	1.0
ʝ_a	a	1.0
ʎ_ˈe	l_ˈe	1.0
ʎ_e	l_j	1.0
ɾ_u	e_r	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_m	ˈɛ	1.0
ɾ_e	e_r	1.0
ɣ_u	k	1.0
ɣ	ɡ	1.0
ɟ͡ʝ	-	1.0
ŋ	ŋ	1.0
w_ˈe	ˈɔ	1.0
w_a	a	1.0
w	w	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_w	k	1.0
k_u	k	1.0
j_ˈo	j_ˈɛ	1.0
j_ˈe	ˈɛ	1.0
f_e	b	1.0
f	f	1.0
e_s	ʃ	1.0
a_m	a_m	1.0
n	n	0.977
a	a	0.912
ˈi	ˈi	0.887
d	d	0.871
s	s	0.833
ʎ	l	0.756
ˈa	ˈa	0.746
ɾ	r	0.737
ˈu	ˈu	0.693
ð	d	0.681
ɲ	ɲ	0.667
ɡ	ɡ	0.611
ˈo	ˈo	0.609
k	ʨ	0.599
o	o	0.584
e	e	0.578
i	-	0.548
u	j_t	0.545
b	v	0.534
j	-	0.524
u	a	0.455
j	j	0.452
i	i	0.452
ʃ	ʒ	0.451
k	k	0.401
ʝ	d	0.397
ɡ	k	0.389
ʃ	-	0.378
β	v	0.351
b	b	0.346
ʝ	-	0.343
ɲ	n	0.333
ð	t	0.319
ˈe	ˈe	0.295
β	f	0.27
ˈe	ˈɛ	0.27
ʝ	j	0.26
θ	ʨ	0.259
ˈa	ˈɛ	0.254
o	-	0.236
θ	ʒ	0.229
ˈu	ˈo	0.204
β	-	0.192
e	a	0.19
o	ˈɔ	0.18
ʃ	ɡ	0.171
θ	-	0.17
ˈe	ˈe_j	0.141
e	-	0.14
ˈo	ˈɔ	0.137
θ	ʃ	0.135
θ	d	0.135
ʎ	k_l	0.134
d	-	0.129
ˈe	ˈi	0.126
ˈi	ˈe	0.113
ʎ	p_l	0.11
ɾ	e	0.109
ˈu	-	0.103
ˈo	ˈo_w	0.097
e	j	0.093
β	ˈɛ_v	0.087
b	-	0.082
ˈo	-	0.08
a	-	0.079
ˈo	ˈa_w	0.077
s	-	0.072
θ	ʦ	0.071
ɾ	ˈe	0.07
β	b	0.055
s	z	0.05
