Icelandic	Pennsylvania German	probability
a	ə	0.616
a	-	0.381
b̥	b	0.945
b̥	-	0.058
b̥_j	b	1.0
c	ç	0.185
c	k	0.185
cʰ	kʰ	0.494
d̥	d	0.67
d̥	t	0.193
d̥	ʦ	0.072
d̥	-	0.057
d̥_ʏ	t	1.0
f	f	0.948
f	p	0.055
h	h	1.0
j	-	0.371
j	ˈiː	0.206
j	ˈɪ	0.148
j	ˈɛ	0.083
j	ɣ	0.071
j_a	ə	1.0
j_ˈoːu̯	ˈiː	0.538
j_ˈoːu̯	ˈeː	0.457
j_ˈɛ	ˈɛ	1.0
k	ç	0.398
k	k	0.339
k	x	0.223
kʰ	kʰ	0.608
kʰ	ʋ	0.257
kʰ	-	0.107
l	l	0.99
l	-	0.033
l_ʏ	l	1.0
l̥	l	1.0
l̥_ʏ	l	0.494
m	m	0.923
m	n	0.076
m_ʏ	m	1.0
n	n	0.86
n	-	0.137
nː	n	0.747
nː	-	0.248
nː_ʏ	n	1.0
n̥	-	0.399
n̥	n	0.249
n̥	ə	0.224
n̥	j	0.112
p	f	0.71
p	m	0.263
p_ʏ	f	1.0
r	ɾ	0.736
r	-	0.216
r	ɑ	0.046
r_a	ɑ	0.494
r_j	ɾ	1.0
r_t	ɑ	1.0
r_ð	t	1.0
rː̥	k	0.326
rː̥	ɑ	0.161
r̥	-	0.774
r̥	ɑ	0.082
r̥	ç	0.061
r̥	ɾ	0.045
s	s	0.592
s	ʃ	0.386
s	-	0.031
s_c	ʃ	1.0
s_k	ʃ	1.0
sː	s	1.0
t	-	0.352
t	s	0.313
t	t	0.219
t	ʦ	0.081
t	d	0.034
tʰ	ʦ	0.91
tʰ	b	0.076
u	ˈa	0.5
u	ɪ	0.5
v	ʋ	0.425
v	v	0.239
v	-	0.186
v	s	0.053
v	p	0.048
v_ʏ	p	0.5
v_ʏ	f	0.5
x	ç	0.494
ç	h	1.0
ð	t	0.495
ð	d	0.355
ð	-	0.096
ð	s	0.049
ð_ʏ	t	1.0
ŋ	ŋ	0.833
ŋ	n	0.102
ŋ	-	0.054
ɑu̯	ɪ	0.121
ɛ	-	1.0
ɛː	ɪ	1.0
ɟ̊	ɡ	0.514
ɟ̊	-	0.231
ɟ̊	j	0.114
ɟ̊	k	0.081
ɡ̊	-	0.534
ɡ̊	ɡ	0.256
ɡ̊	k	0.09
ɡ̊	ɣ	0.09
ɡ̊	ç	0.036
ɡ̊_ʏ	ɪ	1.0
ɣ	ç	0.361
ɣ	s	0.361
ɣ	k	0.205
ɣ_ʏ	k	1.0
ɪ	ɑ	0.545
ɪ	-	0.366
ɪ	ɪ	0.057
ɲ	ŋ	0.494
ʏ	-	0.943
ʏ	ə	0.057
ʏ_r̥	ɑ	1.0
ʏ_ð	t	0.494
ʰk	ŋ_k	0.723
ʰk	k	0.205
ʰp	p	0.121
ʰt	x	0.574
ʰt	-	0.357
ʰt	s	0.055
ˈa	ˈa	0.456
ˈa	ˈɔː	0.159
ˈa	ˈaː	0.121
ˈa	ˈɛ	0.118
ˈa	ˈɛː	0.118
ˈai̯	ˈaɪ̯	0.171
ˈai̯	ˈiː	0.149
ˈai̯	ʋ	0.084
ˈaː	ˈa	0.522
ˈaː	ˈɔː	0.361
ˈaː	ˈaː	0.089
ˈaːi̯	ˈiː	0.345
ˈaːi̯	ˈa	0.301
ˈaːu̯	ˈoː	0.758
ˈaːu̯	ə	0.092
ˈeːi̯	ˈɔː	0.574
ˈeːi̯	ˈeː	0.284
ˈi	ˈɪ	0.811
ˈi	ˈaɪ̯	0.15
ˈiː	ˈaɪ̯	0.78
ˈiː	ˈaʊ̯	0.074
ˈiː	ˈuː	0.06
ˈiː	ˈiː	0.059
ˈiː	-	0.042
ˈou̯	ˈɛ	0.392
ˈou̯	ˈɔ	0.223
ˈou̯	ˈeː	0.223
ˈoːu̯	ˈuː	0.556
ˈoːu̯	ˈʊ	0.372
ˈoːu̯	ɾ	0.067
ˈu	ʋ	0.478
ˈu	ˈʊ	0.319
ˈuː	ˈaʊ̯	0.693
ˈuː	j	0.097
ˈuː	-	0.094
ˈuː	ˈuː	0.094
ˈœ	ɑ	0.232
ˈœ	ˈɔː	0.232
ˈœ	ˈɛː	0.232
ˈœ	ˈa	0.216
ˈœy̯	ˈeː	1.0
ˈœː	ˈeː	0.228
ˈœː	ˈɔː	0.183
ˈœː	ˈɛ	0.183
ˈœː	ə	0.113
ˈœːy̯	ˈɔː	0.54
ˈœːy̯	ˈoː	0.443
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈoː	0.624
ˈɑːu̯	ˈɔː	0.179
ˈɑːu̯	ˈeː	0.122
ˈɑːu̯	ə	0.043
ˈɔ	ˈʊ	0.257
ˈɔ	ˈɔ	0.257
ˈɔ	ˈaː	0.158
ˈɔ	ʋ_ˈaː	0.103
ˈɔ	ˈa	0.097
ˈɔ_r	ˈaː	1.0
ˈɔu̯	ˈa	0.304
ˈɔu̯	ˈuː	0.304
ˈɔu̯	ˈɔ	0.173
ˈɔu̯	-	0.106
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.413
ˈɛ	ˈɛː	0.171
ˈɛ	ˈaɪ̯	0.126
ˈɛ	ˈa	0.079
ˈɛ	ˈɪ	0.077
ˈɛi̯	ˈeː	1.0
ˈɛː	ˈɛ	0.352
ˈɛː	ˈɔː	0.333
ˈɛː	-	0.172
ˈɛː	ˈeː	0.095
ˈɛːi̯	ˈeː	0.612
ˈɛːi̯	ˈɔː	0.123
ˈɛːi̯	ˈoː	0.09
ˈɛːi̯	ˈaʊ̯	0.084
ˈɪ	ˈɪ	0.662
ˈɪ	ˈa	0.111
ˈɪ	ʋ	0.079
ˈɪ	ˈɔ	0.079
ˈɪ	ˈɛː	0.06
ˈɪː	ˈɪ	0.715
ˈɪː	ˈɛ	0.28
ˈʏ	ˈʊ	0.4
ˈʏ	ˈɔ	0.129
ˈʏ	ˈaɪ̯	0.097
ˈʏ	ˈɛ	0.097
ˈʏ	ˈɪ	0.094
ˈʏ_t	ˈɔ	1.0
ˈʏː	ˈɔ	0.37
ˈʏː	ˈeː	0.228
ˈʏː	ˈaɪ̯	0.119
ˈʏː	ˈʊ	0.074
θ	d	1.0
