Icelandic	Pennsylvania German	probability
a	ə	0.963
aːu̯	eː	1.0
b̥	b	0.908
b̥	-	0.092
c	-	0.62
c	ç	0.247
c	x	0.133
cʰ	kʰ	1.0
d̥	d	0.49
d̥	t	0.355
d̥	-	0.146
f	f	0.98
h	h	0.964
j	-	0.578
j	ˈiː	0.185
j	ˈɪ	0.092
j	ˈeː	0.087
k	-	0.357
k	ç	0.299
k	x	0.255
k	k	0.088
kʰ	kʰ	0.843
kʰ	-	0.157
l	l	0.979
l̥	l	1.0
m	m	0.858
m	-	0.102
n	n	0.939
n	-	0.061
nː	n	0.909
nː	-	0.091
n̥	n	0.5
n̥	ə	0.266
n̥	j	0.122
n̥	-	0.113
p	f	0.879
p	m	0.121
r	ɾ	0.575
r	ɑ	0.24
r	-	0.186
rː̥	ɑ	0.669
rː̥	k	0.331
r̥	-	0.802
r̥	ɑ	0.146
r̥	ɾ	0.053
s	s	0.512
s	ʃ	0.474
sː	s	1.0
t	s	0.48
t	-	0.31
t	t	0.131
t	ʦ	0.065
tʰ	ʦ	0.933
tʰ	b	0.067
u	ɪ	0.5
u	ˈa	0.5
v	ʋ	0.528
v	v	0.239
v	p	0.105
v	-	0.064
v	f	0.057
x	ç	1.0
ç	h	1.0
ð	t	0.588
ð	d	0.293
ð	-	0.086
ŋ	ŋ	0.767
ŋ	-	0.173
ŋ	ɪ	0.06
ɑu̯	ɪ	1.0
ɛ	-	1.0
ɛː	ɪ	1.0
ɟ̊	ɡ	0.715
ɟ̊	-	0.228
ɟ̊	j	0.057
ɟ̊ː	k	0.669
ɟ̊ː	-	0.331
ɡ̊	-	0.461
ɡ̊	ɡ	0.302
ɡ̊	ç	0.169
ɡ̊	ɣ	0.059
ɡ̊ː	-	0.5
ɡ̊ː	k	0.5
ɣ	k	0.758
ɣ	ç	0.212
ɪ	ɑ	0.692
ɪ	-	0.308
ɲ	ŋ	1.0
ʏ	-	0.961
ʰc	k	1.0
ʰk	k	0.638
ʰk	ŋ_k	0.362
ʰp	f	0.892
ʰp	p	0.108
ʰt	ç	0.396
ʰt	ʦ	0.341
ʰt	x	0.18
ʰt	s	0.071
ˈa	ˈa	0.355
ˈa	ˈɛː	0.206
ˈa	ˈɔː	0.163
ˈa	ˈaː	0.162
ˈa	ˈɛ	0.113
ˈai̯	ˈaɪ̯	0.501
ˈai̯	ˈɛː	0.217
ˈai̯	ʋ	0.154
ˈai̯	ˈiː	0.128
ˈau̯	ˈɛ	0.486
ˈau̯	ˈeː	0.383
ˈau̯	ˈa	0.131
ˈaː	ˈa	0.467
ˈaː	ˈɔː	0.344
ˈaː	ˈeː	0.104
ˈaː	ˈaː	0.085
ˈaːi̯	ˈa	0.483
ˈaːi̯	ˈuː	0.375
ˈaːi̯	ˈiː	0.142
ˈaːu̯	ˈoː	0.556
ˈaːu̯	ˈeː	0.349
ˈaːu̯	ə	0.095
ˈeːi̯	ˈɔː	0.835
ˈeːi̯	ˈeː	0.165
ˈi	ˈɪ	0.977
ˈiː	ˈaɪ̯	0.66
ˈiː	ˈiː	0.111
ˈiː	ˈuː	0.085
ˈiː	-	0.077
ˈou̯	ˈeː	0.629
ˈou̯	ˈɔ	0.281
ˈou̯	ˈɛ	0.09
ˈoːu̯	-	0.492
ˈoːu̯	ˈuː	0.255
ˈoːu̯	ˈʊ	0.164
ˈoːu̯	ɾ	0.064
ˈu	ˈʊ	0.584
ˈu	j	0.276
ˈu	ʋ	0.081
ˈu	ˈɔ	0.058
ˈuː	ˈaʊ̯	0.504
ˈuː	-	0.422
ˈœ	ˈɛː	0.345
ˈœ	ˈa	0.333
ˈœ	-	0.187
ˈœ	ˈɔː	0.096
ˈœː	ə	0.416
ˈœː	ˈɛ	0.398
ˈœː	ˈeː	0.082
ˈœː	ˈɔː	0.082
ˈœːy̯	ˈɔː	0.444
ˈœːy̯	ˈoː	0.402
ˈœːy̯	ˈeː	0.154
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈoː	0.522
ˈɑːu̯	ˈɔː	0.219
ˈɑːu̯	j	0.142
ˈɑːu̯	ə	0.082
ˈɔ	ˈaː	0.743
ˈɔ	ˈɔː	0.118
ˈɔ	ˈa	0.057
ˈɔ	ˈʊ	0.052
ˈɔu̯	ˈɪ	0.541
ˈɔu̯	ˈuː	0.27
ˈɔu̯	ˈa	0.094
ˈɔu̯	ˈɔ	0.094
ˈɔː	ˈoː	0.59
ˈɔː	ˈʊ	0.41
ˈɛ	ˈɛ	0.303
ˈɛ	ˈɛː	0.265
ˈɛ	ˈaɪ̯	0.222
ˈɛ	-	0.079
ˈɛ	ˈɔɪ̯	0.077
ˈɛi̯	ˈeː	1.0
ˈɛː	ˈiː	0.3
ˈɛː	ˈɛ	0.252
ˈɛː	ˈɔː	0.247
ˈɛː	ˈɪ	0.132
ˈɛːi̯	ˈeː	0.689
ˈɛːi̯	ˈɔː	0.132
ˈɛːi̯	ˈoː	0.127
ˈɛːi̯	ˈaʊ̯	0.052
ˈɪ	ˈɪ	0.731
ˈɪ	ˈɛː	0.08
ˈɪ	ˈa	0.079
ˈɪː	ˈɪ	0.459
ˈɪː	ˈɛ	0.358
ˈɪː	ˈeː	0.135
ˈʏ	ˈʊ	0.558
ˈʏ	ˈɔ	0.113
ˈʏ	ˈɛ	0.089
ˈʏ	ˈɪ	0.089
ˈʏ	ˈaʊ̯	0.073
ˈʏː	ˈʊ	0.743
ˈʏː	ˈɔ	0.091
ˈʏː	ˈeː	0.086
ˈʏː	ˈaɪ̯	0.079
θ	d	1.0
