Eastern Lombard	Brazilian Portuguese	probability
w	w	1.0
ŋ	-	1.0
ʧ	ʃ	1.0
d	-	0.221
f	f	0.651
k	k	0.731
l	-	0.071
r	-	0.311
s	j_ʃ	0.111
t	t	0.411
ɡ	ɡ	0.951
ɲ	j̃_ɐ	0.151
ɲ	j̃_u	0.371
ʤ	ʎ	0.641
ˈa	ˈa	0.381
ˈe	ˈe	0.41
ˈi	ˈĩ_j̃	0.081
ˈo	ˈo_w	0.211
i	e	0.62
j	ˈi_ʎ	0.172
t	ʧ_i	0.142
t	d	0.142
ʋ	b	0.362
ʤ	ʒ	0.12
ˈe	ˈẽ	0.2
ˈi	ˈi	0.342
ˈu	ˈõ	0.072
ˈɛ	ˈẽ	0.222
a	a	0.143
a	ɐ	0.743
d	d	0.663
e	j	0.13
e	-	0.183
l	w	0.303
m	m_i	0.083
p	-	0.083
p	p	0.83
r	ɾ_i	0.073
s	s	0.473
t	d_u	0.103
z	ʒ	0.803
ˈi	-	0.063
ˈo	ˈɔ	0.093
ˈu	ˈo	0.463
ˈɔ	ˈõ	0.373
ˈɛ	ˈe	0.233
j	ʎ	0.094
s	ʃ	0.264
b	v	0.325
b	b	0.675
o	-	0.405
r	ɾ_u	0.135
r	ɦ	0.155
r	ɾ	0.325
ˈe	ˈi	0.175
ˈe	ˈɛ	0.215
ˈy	ˈu	0.955
ˈø	ˈu	0.05
ˈɛ	ˈɛ	0.355
f	ʃ	0.056
f	v_i	0.126
j	-	0.316
k	k_u	0.076
l	l	0.476
t	-	0.06
ˈa	ˈɐ̃_w̃	0.106
ˈa	ˈa_h	0.206
ˈa	ˈɐ̃	0.236
ˈø	ˈũ	0.196
ˈɛ	ˈe_j	0.086
d	h	0.107
e	a	0.07
e	u	0.167
ˈi	ˈe	0.17
ˈi	ˈĩ	0.277
ˈo	ˈo	0.647
ˈu	ˈu	0.087
ˈu	ˈɔ	0.257
ˈɔ	ˈo	0.447
e	e	0.208
f	v_u	0.058
i	i	0.38
m	m	0.88
n	n	0.438
z	-	0.078
ɲ	j̃	0.478
ʋ	v	0.638
ˈø	ʎ_u	0.068
ˈø	ˈo	0.238
ˈɔ	ˈɔ	0.18
e	i	0.149
f	-	0.109
j	u	0.419
k	ɡ_u	0.089
l	l_u	0.149
n	j̃	0.09
n	-	0.429
o	o	0.549
s	-	0.079
z	z	0.119
ʤ	-	0.239
ˈu	ˈɐ̃	0.089
ˈø	ˈɔ	0.169
ˈø	u	0.279
ˈɛ	ˈĩ	0.059
