Eastphalian	Mainland North Frisian	probability
ˈɛɪ̯_ŋ	w	1.0
ˈɛə̯	ˈeː	1.0
ˈɛ_l	l	1.0
ˈøː	-	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈuː	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɡ	-	1.0
ɒː	ɛi̯	1.0
ŋ	ŋ	1.0
ç	x	1.0
w	v	1.0
v_ˈʊ	ˈʊ	1.0
t_n	z_ə	1.0
s_w	s	1.0
s	s	1.0
p	p	1.0
n_n	n_ə	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_d̥	lʲ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
b_m	p_ə	1.0
b	b	1.0
r	ʀ	0.919
l	l	0.918
ˈɛɪ̯	ˈiː	0.872
ˈiː	ˈi	0.855
v	v	0.807
z	s	0.8
ˈʊ	ˈʊ	0.789
t	t	0.738
x	x	0.651
ɐ	ʀ	0.637
ə	-	0.632
ˈɔʏ̯	ˈɛ	0.63
d	d	0.611
ˈɛː	-	0.548
n	n	0.536
ˈeː	-	0.535
ˈuː	ˈʏ	0.518
ˈaʊ̯	ˈœ	0.516
ˈeo̯	ˈuː	0.515
ɣ	ɡ	0.512
ˈɔ	-	0.501
ˈœ	ˈa	0.5
ˈœ	-	0.5
ˈeː	ˈɛː	0.465
ˈɛː	ˈɛː	0.452
d̥	dʲ	0.433
ˈɒː	-	0.424
ˈʏ	ˈʏ	0.42
ˈoː	ˈuː	0.406
j	-	0.39
d̥	d̥	0.38
ˈoː	ˈaː	0.378
ˈɛ	-	0.377
ˈɔʏ̯	ˈɛi̯	0.37
ɐ	ə_ʀ	0.363
j	ɡ	0.362
x	-	0.349
n	ə	0.341
ˈʏ	ˈeː	0.335
ˈɛ	ˈeː	0.328
ˈɔ	ˈœ	0.327
ˈeo̯	ˈyː	0.324
d	t	0.324
ˈɪ	ˈi	0.31
ˈɛ	ˈɒ	0.296
ˈuː	ˈœː	0.273
ɣ	-	0.269
ə	ə	0.266
j	j	0.248
ˈaʊ̯	ˈœi̯	0.247
ˈʏ	ˈa	0.246
ˈa	ˈœ	0.239
ˈaʊ̯	-	0.237
ˈɪ	ˈa	0.229
ˈɒː	ˈɔu̯	0.228
ɣ	j_ə	0.219
ˈoː	ˈɔ	0.217
ˈʊ	-	0.211
ˈuː	-	0.209
z	z	0.2
ˈɪ	ˈʊ	0.194
v	-	0.193
ˈa	ˈɒ	0.192
d̥	z̥	0.188
ˈɒː	ˈɛi̯	0.174
ˈɒː	ˈɒː	0.174
ˈɔ	ˈɔː	0.172
t	tʲ	0.165
ˈeo̯	-	0.162
ˈɪ	-	0.158
ˈiː	-	0.145
ˈa	ˈʊ	0.117
ˈɪ	ˈai̯	0.109
ˈa	ˈa	0.103
ə	ç	0.102
ˈa	ˈuː	0.101
ˈa	ˈeː	0.096
ˈa	ˈɔː	0.09
r	ʀ_ˈɔu̯	0.081
n	nʲ	0.078
ˈɛɪ̯	ˈɛi̯	0.067
d	-	0.064
t	-	0.062
ˈɛɪ̯	ˈɔu̯	0.061
ˈa	ˈɒː	0.06
