Romansch	Romansch	probability
ˈuɔ̯	-	1.0
ˈo	ˈɔ	1.0
ˈa_w	ˈa	1.0
ʧ	-	1.0
ʒ	-	1.0
ɲ	ɲː	1.0
ŋ_ɡ	ɲː	1.0
z	-	1.0
w_r	r_u	1.0
u_d	u_d	1.0
s_ˈa	s	1.0
s_#>	#>	1.0
r_ʨ	xː	1.0
r_ə	r_a	1.0
r_s	sː	1.0
r_n	rː	1.0
p_#>	p_u_#>	1.0
l_ə	dː_a	1.0
k_o	k_u	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɔ_ɡː	1.0
e	i	1.0
b	b	1.0
a	a	1.0
<#_ˈa	<#_ˈo	1.0
<#_ʧ	<#_ʦ	1.0
<#_ʃ	<#_i	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_i	1.0
ˈaː	ˈa	0.905
r_#>	#>	0.905
p	p	0.88
n	n	0.833
ə	a	0.829
ˈa	ˈa	0.828
ɡ	ɡ	0.8
f	f	0.773
ʨ	k	0.76
ˈiː	ˈi	0.75
m	m	0.741
ˈa_j	ˈe	0.714
ˈɛ	ˈɛ	0.684
ʦ	ʦː	0.667
u	u	0.667
i	i	0.667
#>	u_#>	0.646
r	r	0.636
d	d	0.625
ˈɔ	ˈɔ	0.615
j	-	0.615
ˈɔː	ˈɔ	0.6
ˈi	ˈi	0.588
ə_r	ˈi	0.571
ˈu	ˈo	0.567
k	k	0.562
ˈɛː	ˈɛ	0.556
v	v	0.556
ˈuː	ˈo	0.545
w	u	0.538
ˈiə̯	ˈe	0.5
ˈiə̯	-	0.5
ˈeː	ˈe	0.5
ˈeː	-	0.5
ŋ	ŋ_ɡ	0.5
ŋ	ŋ	0.5
t	t	0.5
l	r	0.458
ʃ	ʦ	0.45
ʥ	ʤ	0.444
ʎ	ʎː	0.444
ə_r	r	0.429
ˈɔ	ˈa	0.385
w	-	0.385
j	ˈe	0.385
s	s	0.379
#>	i_#>	0.336
ˈe	ˈɛ	0.333
ˈe	ˈe	0.333
ˈe	-	0.333
ʦ	ʣ	0.333
ʥ	-	0.333
ʎ	ʧː	0.333
u	-	0.333
i	u	0.333
ˈi	ˈu	0.294
ˈa_j	ˈɛ	0.286
ˈuː	-	0.273
m	mː	0.259
ˈiː	ˈu	0.25
ˈu	ˈɔ	0.233
ˈɛː	ˈɛ_dː	0.222
ˈɛː	-	0.222
ʥ	ʤː	0.222
ʎ	l	0.222
l	j	0.208
d	dː	0.208
ˈɔː	ˈo	0.2
ˈɔː	-	0.2
ˈu	ˈu	0.2
ɡ	-	0.2
t	tː	0.2
ˈuː	ˈɔ	0.182
ˈa	-	0.172
t	dː	0.167
d	-	0.167
ʨ	tː	0.16
ˈɛ	ˈi	0.158
ˈɛ	ˈe	0.158
ʃ	ʤ	0.15
v	β	0.148
v	b	0.148
v	-	0.148
s	sː	0.138
f	β_i	0.136
l	dː	0.125
l	-	0.125
k	u	0.125
k	k_w	0.125
k	-	0.125
p	pː	0.12
ˈi	-	0.118
ə	i	0.114
s	ɬ	0.103
s	z	0.103
s	j	0.103
s	i	0.103
ʃ	ʒ	0.1
ʃ	ʃː	0.1
ʃ	ɬ	0.1
ʃ	-	0.1
ˈaː	ˈa_ɡ	0.095
r_#>	u_#>	0.095
r	j	0.091
r	a_r	0.091
f	β	0.091
n	nː	0.083
l	lː	0.083
ʨ	kː	0.08
w	ɮ	0.077
s	-	0.069
t	d_u	0.067
t	-	0.067
k	x	0.062
r	ˈi	0.061
r	ɬ	0.061
r	rː	0.061
