Campidanese	Eastern Lombard	probability
f	f	1.0
j	-	1.0
p	p	1.0
s	s	1.0
sː	s	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʃː	s	1.0
ʒ	z	1.0
ʦ	s	1.0
b	z	0.401
e	-	0.331
i	i	0.091
l	-	0.151
t	t	0.941
ð	d	0.761
ŋ	-	0.241
ɣ	ɡ	0.651
ʣ	-	0.321
ʤ	ʤ	0.91
ˈi	ˈɛ	0.271
ˈu	ˈø	0.281
β	ʋ	0.461
i	-	0.342
m	m	0.962
r	r	0.552
u	o	0.562
w	w	0.82
ˈo	ˈo	0.252
n	n	0.73
nː	n	0.473
rː	r_n	0.353
u	e	0.173
ð	-	0.083
ʧ	ʧ	0.183
ˈu	-	0.053
i	e	0.464
u	-	0.264
ɡ	ɡ	0.854
ˈa	ˈa	0.894
ˈe	ˈɛ	0.574
ˈi	ˈø	0.054
ˈu	ˈu	0.154
ˈu	ˈy	0.354
i	ˈi	0.095
k	k	0.955
o	o	0.755
r	-	0.35
z	s	0.115
z	-	0.885
ð	t	0.155
d	d	0.976
e	a	0.076
o	-	0.186
ɡ	k	0.146
ˈe	ˈi	0.06
ˈe	ˈe	0.306
ˈo	ˈu	0.226
ˈo	ˈø	0.236
ˈo	ˈɔ	0.286
a	-	0.07
nː	ɲ	0.527
rː	r	0.647
ʧ	s	0.817
ˈi	ˈe	0.147
ˈi	ˈi	0.527
ˈu	ˈo	0.157
n	-	0.258
w	-	0.18
a	a	0.889
b	b	0.599
e	e	0.549
l	l	0.849
o	u	0.059
r	j	0.089
t	-	0.059
ŋ	ŋ	0.759
ɣ	-	0.349
ʣ	j	0.679
ʤ	f_#>	0.09
β	-	0.539
