Westphalian	North Frisian	probability
b	b	0.889
b	p	0.062
b	v	0.052
d	d	0.475
d	-	0.184
d	t	0.144
d	dʲ	0.112
d	tʲ	0.049
f	f	0.824
f	ə_v	0.093
f	v_ə	0.046
f	v	0.042
h	h	1.0
j	j	0.5
j	ˈiː	0.5
k	k	0.81
k	ʃ	0.083
k	-	0.053
k	h	0.053
l	l	0.916
l	lʲ	0.049
l	-	0.031
l	j	0.03
l_t	lʲ	0.494
m	m	0.878
m	-	0.061
m	n	0.061
n	n	0.544
n	ə	0.345
n	nʲ	0.048
n	-	0.044
n_d	nʲ	1.0
p	p	0.814
p	d	0.096
p	v	0.072
r	r	0.956
r	j	0.048
s	s	0.846
s	r_s	0.069
s	ʃ	0.045
s	z	0.04
t	t	0.678
t	tʲ	0.13
t	d	0.087
t	z	0.042
t	-	0.03
v	v	0.848
v	-	0.152
w	v	0.843
w	-	0.079
w	ˈuː	0.072
w_ˈʊ	ˈʊ	1.0
x	ɡ	0.571
x	x	0.2
x	j	0.106
x	-	0.058
x	k	0.048
z	z	0.683
z	s	0.222
ç	-	0.389
ç	x	0.257
ç	j	0.156
ç	ŋ	0.156
ŋ	ŋ	0.844
ŋ	n	0.096
ŋ	-	0.06
ɐ	r	0.536
ɐ	ə	0.46
ə	-	0.78
ə	ə	0.217
ɡ	j_ə	0.477
ɡ	d	0.315
ɡ	j	0.119
ɣ	w	0.683
ɣ	-	0.222
ɪ	i	1.0
ʃ	s	0.649
ʃ	ʃ	0.35
ʃ_k	ʃ	1.0
ˈa	ˈœ	0.197
ˈa	ˈɒ	0.17
ˈa	ˈeː	0.104
ˈa	ˈa	0.101
ˈa	ˈɒː	0.096
ˈaɪ̯	ˈiː	0.857
ˈaɪ̯	ˈɛi̯	0.106
ˈaɪ̯	ˈɔi̯	0.037
ˈaʊ̯	ˈuː	0.642
ˈaʊ̯	ˈyː	0.23
ˈaʊ̯	ˈiː	0.113
ˈaː	ˈɒː	0.398
ˈaː	ˈɛː	0.223
ˈaː	ˈɒ	0.223
ˈaː	ˈʊ	0.094
ˈeː	ˈiː	0.416
ˈeː	ˈɔu̯	0.234
ˈeː	ˈɛː	0.087
ˈeː	ˈai̯	0.087
ˈeː	ˈɒː	0.087
ˈiə̯	ˈaː	0.494
ˈiɛ̯	ˈeː	1.0
ˈiː	ˈi	0.445
ˈiː	ˈiː	0.225
ˈiː	ˈeː	0.185
ˈiː	ˈyː	0.067
ˈiː	ˈai̯	0.067
ˈoː	ˈœ	0.736
ˈoː	ˈɔu̯	0.219
ˈoː	ˈyː	0.043
ˈuə̯	ˈœ	0.326
ˈuə̯	ˈøː	0.161
ˈuː	ˈyː	0.739
ˈuː	ˈøː	0.131
ˈuː	ˈuː	0.081
ˈuːə̯	ˈɔu̯	0.257
ˈuːə̯	ˈʊ	0.175
ˈuːə̯	ˈɔː	0.158
ˈuːə̯	ˈɔ	0.103
ˈuːə̯	ˈaː	0.097
ˈyə̯	ˈɔː	0.494
ˈyː	ˈøː	0.561
ˈyː	ˈʏ	0.277
ˈyːœ̯	ˈɔu̯	1.0
ˈø	ˈyː	0.494
ˈøː	ˈɛ	0.422
ˈøː	ˈɛi̯	0.32
ˈøː	ˈiː	0.242
ˈœː	ˈiː	0.574
ˈœː	ˈɔ	0.284
ˈɒː	ˈɒː	0.494
ˈɔ	ˈɔː	0.411
ˈɔ	ˈɒ	0.231
ˈɔ	ˈyː	0.15
ˈɔ	ˈœ	0.098
ˈɔː	ˈɛi̯	0.282
ˈɔː	ˈɛː	0.154
ˈɔː	-	0.102
ˈɔː	ˈɔu̯	0.102
ˈɔː	ˈeː	0.078
ˈɛ	ˈeː	0.339
ˈɛ	ˈʊ	0.201
ˈɛ	ˈa	0.201
ˈɛ	ˈɔu̯	0.133
ˈɛ	ˈɛi̯	0.07
ˈɛː	ˈa	0.594
ˈɛː	ˈeː	0.194
ˈɛː	ˈɔː	0.073
ˈɪ	ˈi	0.34
ˈɪ	ˈa	0.206
ˈɪ	ˈʊ	0.175
ˈɪ	ˈai̯	0.104
ˈɪ	ˈaː	0.069
ˈɪə̯	ˈɔː	0.53
ˈɪə̯	ˈyː	0.265
ˈɪə̯	ˈeː	0.163
ˈɪɛ̯	ˈɛː	0.312
ˈɪɛ̯	ˈɔː	0.116
ˈɪɛ̯	ˈa	0.116
ˈɪɛ̯	ˈiː	0.116
ˈɪɛ̯	ˈøː	0.09
ˈʊ	ˈʊ	0.672
ˈʊ	ˈyː	0.319
ˈʏ	ˈœ	0.241
ˈʏ	ˈʊ	0.194
ˈʏ	ˈʏ	0.119
ˈʏ	ˈa	0.119
