Faroese	Northern Low Saxon	probability
a	-	0.515
a	n	0.376
a	d_n	0.053
a	ɪ	0.035
a	m	0.034
a_ɹ	ɐ	1.0
b̥	b	0.953
b̥	-	0.054
d̥	d	0.863
d̥	t	0.129
f	f	0.926
f	-	0.062
f	ʃ	0.038
h	h	0.981
h	-	0.039
j	-	0.519
j	ˈoː	0.159
j	ˈɛ	0.135
j	x	0.093
j	ˈɛɪ̯	0.055
k	ɡ	0.393
k	-	0.167
k_ʊ	ɡ	1.0
kʰ	kʰ	0.768
kʰ	-	0.209
l	l	0.923
l	-	0.072
l_ʊ	l	1.0
l̥	l	1.0
m	m	0.898
m	-	0.101
m_a	m	1.0
m_ʊ	m	1.0
n	n	0.942
n	m	0.042
n	t	0.035
nː	n	0.891
nː	l	0.087
n̥	n	0.281
n̥	ɐ	0.231
n̥	-	0.213
p	b	1.0
r	r	0.25
s	s	0.51
s	z	0.316
s	ʃ	0.162
s_k	ʃ	1.0
s_t	s	1.0
t	d	0.391
t	t	0.33
t	-	0.271
t_ʊ	d	1.0
tʰ	d	0.592
tʰ	tʰ	0.404
tː	b	0.063
v	v	0.693
v	-	0.11
v	m	0.067
v	f	0.065
v	x	0.057
v_a	m	1.0
v_ʊ	ç	0.561
v_ʊ	f	0.281
w	-	0.542
w	ç	0.152
w	ˈuː	0.152
w	x	0.152
ŋ	ŋ	0.706
ŋ	-	0.173
ŋ	ɪ	0.114
ə	ɐ	0.5
ɛ	ɪ	0.5
ɡ̊	-	0.594
ɡ̊	ɡ	0.403
ɡ̊_ʊ	ç	1.0
ɪ	-	0.896
ɪ	n	0.094
ɪ_ɹ	ɐ	0.5
ɲ	ŋ	1.0
ɹ	-	0.749
ɹ	r	0.159
ɹ	ɐ	0.045
ɹ	d_ɐ	0.037
ɹ_a	ɐ	1.0
ɹ_ʊ	ɐ	1.0
ɹː	ç	1.0
ʃ	ʃ	0.778
ʃ	z	0.169
ʈ	d	1.0
ʊ	-	1.0
ʊ_ɹ	ɐ	1.0
ʊ̯ˈiː	ˈiː	0.25
ʎ	l	1.0
ʤ̊	-	0.563
ʤ̊	ɡ	0.187
ʤ̊	ç	0.082
ʤ̊	n	0.077
ʤ̊	d	0.077
ʧ	ɡ	1.0
ʧʰ	kʰ	0.517
ʧʰ	d	0.45
ʧː	n	1.0
ʰk	ɡ	0.5
ʰkː	ɡ	0.683
ʰkː	k	0.225
ʰp	b	0.574
ʰp	p	0.287
ʰt	d	1.0
ʰtː	x	0.603
ʰtː	ç	0.194
ʰtː	t	0.194
ʰʧ	k	0.125
ˈa	ˈa	0.493
ˈa	ˈoː	0.205
ˈa	ˈɪ	0.085
ˈa	ˈaʊ̯	0.085
ˈa	ˈɔ	0.069
ˈa_ɹ	ˈaː	0.633
ˈa_ɹ	ˈa	0.347
ˈai̯	ˈaɪ̯	0.488
ˈai̯	ˈɪ	0.201
ˈai̯	ˈɛɪ̯	0.185
ˈaːi̯	ˈɪ	0.425
ˈaːi̯	j	0.244
ˈaːi̯	ˈaɪ̯	0.14
ˈeə̯	ˈeː	0.5
ˈeː	ˈiː	0.351
ˈeː	ˈeː	0.351
ˈeː	ˈa	0.202
ˈeː	ˈɛ	0.063
ˈiː	ˈɪ	0.725
ˈiː	ˈeː	0.11
ˈiː	ˈøː	0.069
ˈoː	ˈaʊ̯	0.25
ˈoː	ˈoː	0.063
ˈuː	ˈaɪ̯	0.315
ˈuː	ˈʏ	0.196
ˈuː	ˈɔ	0.196
ˈuː	ˈeː	0.122
ˈøː	ˈɔʏ̯	0.425
ˈøː	ˈeː	0.22
ˈøː	ˈøː	0.167
ˈøː	ə	0.119
ˈøː	ˈaɪ̯	0.044
ˈœ	ˈɔ	0.321
ˈœ	ˈa	0.135
ˈœ	ˈaʊ̯	0.135
ˈœ	ˈʊ	0.135
ˈœ	-	0.089
ˈœ_t	ɐ	0.5
ˈɔ	ˈa	0.369
ˈɔ	ˈøː	0.112
ˈɔ	ˈɔː	0.112
ˈɔ	ˈɔʏ̯	0.112
ˈɔ	ˈaː	0.083
ˈɔːi̯	ˈɔʏ̯	0.517
ˈɔːi̯	ˈaʊ̯	0.45
ˈɔːu̯	ˈaʊ̯	0.384
ˈɔːu̯	-	0.234
ˈɔːu̯	ˈeɪ̯	0.234
ˈɔːu̯	ˈaɪ̯	0.096
ˈɔːu̯_w	ˈaʊ̯	1.0
ˈɔ̯aː	ˈoː	0.543
