Alsatian	Nynorsk Norwegian	probability
ˈəi̯	ˈæɪ̯	1.0
ˈøː	ˈuː	1.0
ˈæː	-	1.0
ˈyː	ˈʉː	1.0
ˈaː	-	1.0
ʦ_#>	t_#>	1.0
ʋ_ˈo	ˈʉ	1.0
ʃ_t	s_t	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
z̥	s_e	1.0
w	ˈʏ	1.0
t_#>	#>	1.0
s_ˈɒ	s_ˈɑ	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	kʰ	1.0
j	ɡ	1.0
h	h	1.0
f_#>	#>	1.0
d̥_#>	#>	1.0
<#_ˈɒ	<#_ˈɑ	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
ʁ	ɾ	0.884
ɡ̊	ɡ	0.818
b̥	b	0.783
ʦ	tʰ	0.778
ˈeː	-	0.75
ʋ	ʋ	0.75
ə	ɑ	0.711
l	l	0.704
ˈæ	ˈeː	0.667
x	-	0.667
f	f	0.652
ˈɒ	ˈɑ	0.632
d̥	d	0.632
n	n	0.621
ˈʊː	ˈuː	0.583
ə_ʁ	e_ɾ	0.571
k	ɡː	0.571
ˈɒː	ˈɑː	0.556
ˈe	-	0.545
ˈoː	ˈoː	0.5
ˈo	ˈʊ	0.5
ˈo	-	0.5
ˈei̯	ˈæɪ̯	0.5
ˈei̯	ˈeː	0.5
i	ɡ	0.5
i	-	0.5
#>	ˈeː_#>	0.5
#>	k_#>	0.5
s	t	0.481
ˈe	ˈɛ	0.455
ʃ	s	0.45
ˈɒː	ˈɑ	0.444
s	s	0.444
t	d	0.438
ˈi	ˈɪ	0.435
ə_ʁ	ɾ	0.429
k	-	0.429
ˈu	ˈʉ	0.412
ˈiː	ˈiː	0.368
d̥	tʰ	0.368
ˈoː	ˈæʉ̯	0.357
ˈæ	-	0.333
x	ˈɔ	0.333
ˈiː	ˈyː	0.316
t	ʰtː	0.312
ʃ	k	0.3
ˈu	ˈʏ	0.294
ˈu	-	0.294
n	nː	0.276
ˈɒ	ˈɑː	0.263
ˈʊː	-	0.25
ˈeː	ˈøː	0.25
ʋ	-	0.25
ʃ	ʂ	0.25
t	-	0.25
ʦ	tː	0.222
l	lː	0.222
ˈi	ˈɛ	0.217
f	p	0.217
ɡ̊	j	0.182
ˈi	ˈiː	0.174
ˈi	-	0.174
ˈʊː	ˈæʉ̯	0.167
ˈiː	ˈøː	0.158
ˈiː	-	0.158
ə	-	0.158
ˈoː	-	0.143
ə	ə	0.132
f	ʋ	0.13
b̥	-	0.13
ˈɒ	-	0.105
n	-	0.103
b̥	ʋ	0.087
s	-	0.074
l	ˈoː_l	0.074
ʁ	-	0.07
