Palatine German	Palatine German	probability
ˈɪ_ɡ̊	ˈɛ_ç	1.0
ˈɛ̃ː	ˈʊ_ŋ	1.0
ˈɑ̃ː	-	1.0
ˈõː	ˈeː_n	1.0
ˈo	ˈeː	1.0
ˈĩː	ˈeː_n	1.0
ˈi	ˈøː	1.0
ˈẽː	ˈiː_n	1.0
ˈaɪ̯_s	ˈɪ_t	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈau̯̯	ˈɪ	1.0
ʣ̥_eː	aɪ̯	1.0
ʃ_β	s	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ	ɪ	1.0
ə_#>	#>	1.0
ɑ	-	1.0
ɐ_n	ɐ_n	1.0
ŋ	ŋ	1.0
r_ə	t	1.0
pʰ	pʰ	1.0
n_ə	nʲ	1.0
n_d̥	nʲ	1.0
n_#>	#>	1.0
m	m	1.0
l_d̥	lʲ	1.0
kʰ	kʰ	1.0
h	h	1.0
f_ə	p	1.0
d̥_ˈiː	d_ˈiː	1.0
d̥_ɐ	t_ɐ	1.0
b̥_#>	f_#>	1.0
β	v	0.889
l	l	0.88
n	n	0.842
f	f	0.818
b̥	b	0.81
ˈau̯	ˈʏ	0.778
ə	ə	0.7
ɐ	ɐ	0.658
s	s	0.65
r	r	0.647
j	-	0.6
<#_ˈɑ	<#_ˈɔː	0.6
ˈeː	-	0.5
ʣ̥	tʰ	0.5
ʣ̥	t	0.5
ɡ̊	ɡ	0.478
ˈiː	ˈɛ	0.462
x	x	0.462
ˈɛː	-	0.444
ˈɑː	-	0.444
ˈɪ	ˈɪ	0.429
ˈɛ	ˈɛ	0.409
j	j	0.4
<#_ˈɑ	<#	0.4
ˈiː	-	0.385
x	k	0.385
ˈɑ	ˈa	0.379
ˈaɪ̯	ˈɪ	0.353
ˈɛː	ˈeː	0.333
ˈoː	ˈɔa̯	0.333
ʃ	s_k	0.333
ə	ə_n	0.3
ˈɑː	ˈoː	0.278
d̥	d	0.27
ɡ̊	k	0.261
ˈɪ	ˈɛ	0.25
ˈɔ	ˈuː	0.25
ˈɔ	-	0.25
ˈuː	ˈʊ	0.25
ˈuː	ˈɔ	0.25
ˈu	ˈʏ	0.25
ˈu	ˈʊ	0.25
ˈeː	ˈiː	0.25
ˈeː	ˈeː	0.25
r	ɾ	0.235
ˈɛ	-	0.227
ˈɛː	ˈiː	0.222
ˈau̯	ˈyː	0.222
ˈɑ	ˈɔː	0.207
ˈoː	ˈɔː	0.2
ˈoː	-	0.2
s	t	0.2
ʃ	ç	0.194
ʃ	s	0.194
d̥	ɾ	0.19
b̥	-	0.19
ˈɔ	ˈʊ	0.188
ˈɔ	ˈɔ	0.188
ˈu	ˈɔ	0.188
ˈu	ˈœ	0.188
f	p	0.182
ˈaɪ̯	ˈʏ	0.176
ˈaɪ̯	ˈyː	0.176
ˈaɪ̯	-	0.176
d̥	-	0.175
ˈɑː	ˈɔː	0.167
ˈuː	ˈʏ	0.167
ˈuː	ˈœ	0.167
ˈuː	-	0.167
ʃ	k	0.167
d̥	t	0.159
ˈiː	ˈeː	0.154
x	ç	0.154
ˈɪ	ˈʊ	0.143
ˈɑ	-	0.138
ˈɛ	ˈeː	0.136
ˈɛ	ˈa	0.136
ˈoː	ˈuː	0.133
ˈoː	ˈiː	0.133
d̥	tʰ	0.127
ˈɔ	ˈœ	0.125
ˈu	ˈoː	0.125
ˈaɪ̯	ˈiː	0.118
β	-	0.111
ˈɑː	ˈa	0.111
ˈɪ	-	0.107
ɐ	r_ə	0.105
n	-	0.105
ˈɑ	ˈʊ	0.103
ˈɑ	ˈuː	0.103
ˈɛ	ˈɛː	0.091
ɡ̊	ç	0.087
ɡ̊	x	0.087
ɡ̊	-	0.087
ɐ	ɐ_x	0.079
s	d	0.075
ˈɪ	ˈœ	0.071
ˈɑ	ˈœ	0.069
d̥	x_t	0.063
l	ə_l	0.06
l	l_ə	0.06
r	ɐ	0.059
r	r_ˈɛ	0.059
ʃ	ʃ	0.056
ʃ	ŋ	0.056
ɐ	ə	0.053
ɐ	x	0.053
ɐ	r	0.053
n	n_ˈøː	0.053
