Slovenian	Slovenian	probability
́_x	i_ˈ	1.0
́_#>	#>	1.0
̀_z	z	1.0
̀_l	lʲ	1.0
ʧ	ʧ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʋ_a	v_a	1.0
ə_r	r_ɨ	1.0
ə_n	n_ɨ	1.0
ə_k	kʲ_i	1.0
ɔː_̀	a	1.0
ɔː	o	1.0
ɔ_#>	a_#>	1.0
ɔ	o	1.0
z̥	-	1.0
x	x	1.0
uː	u_xʲ	1.0
t_i	ʦʲ	1.0
s_ə	s	1.0
s_#>	s_#>	1.0
r_j	r	1.0
r_#>	r_#>	1.0
r	r	1.0
o	v_o	1.0
m_ə	mʲ_e	1.0
k	k	1.0
iː_́	ˈ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
<#_t	<#_ʦʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#	<#_v	1.0
ɡ	ɣ	0.846
̀	ˈ	0.818
a	a	0.808
́	ˈ	0.806
ɡ̊	x	0.8
aː_̀	a_ˈ	0.727
#>	ˈ_#>	0.724
ʦ	ʦ	0.714
ɛː	æ	0.714
l	ɫ	0.714
i	ɨ	0.714
m	m	0.684
eː_̀	a	0.667
s	s	0.645
t	t	0.64
d	d	0.619
b	b	0.615
n	n	0.611
j	j	0.6
iː	ɨ	0.583
w_#>	ɫ_#>	0.571
w	w	0.571
z	zʲ	0.538
ɛ	e	0.5
p	pʲ	0.5
p	p	0.5
oː	o	0.5
e	e	0.5
e	-	0.5
aː	o	0.5
aː	a	0.5
ʋ	vʲ	0.462
z	z	0.462
w_#>	lʲ_#>	0.429
w	ɫ_ɨ	0.429
eː	e	0.419
iː	i	0.417
j	-	0.4
n	nʲ	0.389
b	bʲ	0.385
t	ʦʲ	0.36
s	sʲ	0.355
ə	-	0.35
eː_̀	æ	0.333
d	ʣʲ	0.333
oː	u	0.321
m	mʲ	0.316
ɛ	-	0.312
ʋ	v	0.308
ʦ	-	0.286
ɛː	-	0.286
l	lʲ	0.286
i	i	0.286
aː_̀	a	0.273
eː	æ	0.226
ɡ̊	ɣʲ	0.2
ə	ɵ	0.2
ɛ	æ	0.188
̀	-	0.182
oː	a	0.179
#>	ɨ_#>	0.172
ɡ	ɣ_o	0.154
ə	o_ˈ	0.15
ə	o	0.15
ə	e	0.15
́	-	0.139
eː	-	0.129
ʋ	w	0.115
ʋ	v_ɨ	0.115
a	-	0.115
#>	a_#>	0.103
eː	a	0.097
a	a_ˈ	0.077
eː	ɵ	0.065
eː	ɛ	0.065
