East Franconian	Northern Low Saxon	probability
β	-	1.0
ˈʊ_ɐ	ˈɔː	1.0
ˈɘ	-	1.0
ˈɒː	ˈoː	1.0
ˈɒ_l	ˈaː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈaː	1.0
ɪ	ɪ	1.0
ɣ	ɡ	1.0
ɡ̊_n	ç	1.0
ə	ˈɔʏ̯_ç	1.0
ɐ_ʦ	d	1.0
ç_d̥	ç	1.0
z̥_n	d_n	1.0
v̥_n	b_m	1.0
v_ˈɔ	v	1.0
v	v	1.0
n_ˈiː	n_ˈaɪ̯	1.0
n_d̥	n	1.0
l_ˈaː	l	1.0
l_n	l	1.0
l_d̥	l_d	1.0
l	l	1.0
kʰ	kʰ	1.0
j	ʒ	1.0
i	ɪ	1.0
h	h	1.0
eː	aɪ̯_n	1.0
d̥_ˈɪ	d_ˈɪ	1.0
d̥_ˈiː	d_ˈaɪ̯	1.0
d̥_ˈaɪ̯	d_ˈyː	1.0
a	-	1.0
b̥	b	0.95
r	r	0.939
m	m	0.939
ɐ	ɐ	0.936
ɡ̊	ɡ	0.924
f	f	0.918
ʃ	ʃ	0.888
d̥	d	0.842
n	n	0.822
ŋ	ŋ	0.764
ˈuː	ˈaʊ̯	0.76
ˈɒ	ˈa	0.716
ɣ̊	x	0.661
ˈʊ	ˈʊ	0.647
ˈɪ	ˈɪ	0.64
ˈoː	ˈoː	0.64
x	ɡ	0.606
ç	ç	0.583
ˈaɪ̯	ˈiː	0.579
ɾ	l	0.555
n_a	n_n	0.539
ʦ	tʰ	0.525
s	z	0.512
ˈɛː	ˈoː	0.5
ˈɛː	-	0.5
b̥͡v̥	pʰ	0.5
b̥͡v̥	b	0.5
ˈaː	ˈaɪ̯	0.484
n_a	n	0.461
ˈɔ	ˈʊ	0.449
ɾ	d	0.445
z̥	z̥	0.43
ˈeː	-	0.426
ç	ɡ	0.417
z̥	z	0.408
ˈiː	ˈaɪ̯	0.394
x	x	0.394
ˈaː	ˈaʊ̯	0.36
ɣ̊	ç	0.339
ˈeː	ˈɔʏ̯	0.316
s	d	0.313
ˈɛ	ˈeː	0.295
ˈɔ	ˈɔ	0.29
ʦ	d	0.277
ˈɛ	ˈɛ	0.269
ˈɔ	ˈaʊ̯	0.261
ˈeː	ˈɛ	0.258
ˈaɪ̯	-	0.244
ˈiː	ˈɪ	0.231
ˈoː	-	0.211
ˈɛ	-	0.201
ʦ	t	0.198
ˈɪ	ˈʏ	0.194
ˈiː	ˈɔʏ̯	0.194
ˈiː	-	0.18
ˈɪ	-	0.165
z̥	d	0.162
ˈaː	ˈɪ	0.156
ˈʊ	-	0.153
ŋ	ɡ_n	0.15
ˈoː	ˈa	0.148
ˈɛ	ˈœː	0.131
ˈɒ	ˈaʊ̯	0.119
ˈʊ	ˈɔ	0.114
ʃ	s	0.112
ˈɒ	ˈoː	0.111
s	z_ˈøː	0.105
ˈɛ	ˈœ	0.103
d̥	t	0.098
ˈaɪ̯	ˈyː	0.096
n	-	0.091
ˈʊ	ˈʏ	0.086
ŋ	n	0.085
f	-	0.082
ˈaɪ̯	ˈɪ	0.081
ˈuː	ˈuː	0.08
ˈuː	-	0.08
ˈuː	ˈoː	0.079
s	s	0.069
n	ˈʏ_n	0.064
r	-	0.061
m	-	0.061
d̥	-	0.061
ɐ	-	0.056
ˈɒ	ˈɔ	0.054
