Ripuarian	Ripuarian	probability
ˈʊ	ˈʊ	1.0
ˈɛ_d	ˈeːe̯	1.0
ˈɔː	ˈoː_ɐ	1.0
ˈøʏ̯	ˈɛːɪ̯	1.0
ˈu	-	1.0
ˈiː_#>	ˈɛːɪ̯_#>	1.0
ʦ_#>	ɐ_t_#>	1.0
ʦ	t	1.0
ʃ_#>	s_k_#>	1.0
ɪ	-	1.0
ɣ̊	ɣ̊	1.0
ɣ	ɡ	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
ŋ_ə	n_n	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
t	t	1.0
p	p	1.0
n_z̥_#>	s_#>	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
k_#>	ɣ̊_#>	1.0
k	k	1.0
h	h	1.0
f_#>	p_#>	1.0
e	ɑɪ̯	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ɐ	ɐ	1.0
d	d	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_n	<#_n	1.0
ɫ	l	0.96
n	n	0.943
ɐ	ɐ	0.938
f	f	0.897
j	ɡ	0.875
ʀ	r	0.871
ʋ	v	0.808
s	t	0.789
ə	n	0.783
v	v	0.75
ˈe	ˈɪ	0.684
ˈʏ	-	0.667
ʃ	s	0.652
ˈɪ	ˈɪ	0.636
ˈeː	ˈæɪ̯	0.6
ˈeɪ̯	ˈæɪ̯	0.6
#>	t_#>	0.571
ŋ	n	0.56
ˈɛː	ˈeː	0.556
ˈøː	-	0.556
ˈa	ˈɑ	0.519
ˈyː	ˈøː	0.5
ˈyː	-	0.5
ˈiː	ˈiː	0.5
x	χ	0.5
x	k	0.5
ˈo	-	0.462
ˈœ	ˈʏ	0.444
ŋ	ŋ	0.44
#>	d̥_#>	0.429
ˈɔ	ˈɔ	0.417
ˈuː	ˈoː	0.4
ˈeɪ̯	ˈɛːɪ̯	0.4
ˈo	ˈʊ	0.385
ˈɛ	ˈɑː	0.375
ˈɔʊ̯	ˈɑːʊ̯	0.375
ˈɔʊ̯	ˈoː	0.375
ɕ	k	0.368
ʃ	s_k	0.348
ˈʏ	ˈøː	0.333
ˈɔ	-	0.333
ˈœ	ˈʏə̯	0.333
ˈøː	ˈœy̯	0.333
ˈuː	ˈuː	0.333
ˈaː	ˈɒː	0.333
ˈaː	-	0.333
ˈoː	ˈɑʊ̯	0.32
ɕ	ɣ̊	0.316
ˈɛ	-	0.25
ˈɔʊ̯	ˈuː	0.25
ˈɔ	ˈʊ	0.25
ˈeː	-	0.25
ˈaː	ˈɑ	0.25
v	-	0.25
ˈɛː	ˈɛ	0.222
ˈɛː	-	0.222
ˈœ	-	0.222
ɕ	χ_t	0.211
s	s	0.211
ˈoː	ˈɒː	0.2
ʋ	w	0.192
ˈɛ	ˈɛ	0.188
ˈɛ	ˈeː	0.188
ˈɪ	ˈɪə̯	0.182
ˈɪ	ˈiː	0.182
ə	-	0.174
ˈiː	ˈæːɪ̯	0.167
ˈiː	ˈæː	0.167
ˈiː	-	0.167
ˈo	ˈɔ	0.154
ˈa	ˈɑːɑ̯	0.148
ˈuː	ˈuːu̯	0.133
ˈuː	-	0.133
ʀ	-	0.129
j	j	0.125
ˈøː	ˈøy̯	0.111
ˈe	ˈɛ	0.105
ˈe	ˈæɪ̯	0.105
ˈe	-	0.105
ɕ	ɐ_ɣ̊	0.105
f	p	0.103
ˈeː	ˈæːɪ̯	0.1
ˈaː	ˈɛə̯	0.083
ˈoː	ˈɔː	0.08
ˈoː	ˈɒːɒ̯	0.08
ˈoː	ˈœ	0.08
ˈoː	ˈøː	0.08
ˈoː	-	0.08
ˈa	ˈɪ	0.074
ˈa	ˈɔ	0.074
ˈa	ˈɒː	0.074
ˈa	-	0.074
ɐ	-	0.062
n	ˈɒː_n	0.057
