Friulian	Romansch	probability
f	f	1.0
m	m	1.0
p	p	1.0
z	ʃ	1.0
ɟ	ʥ	1.0
ˈeː	ˈa_j	1.0
d	-	0.11
i	i	0.121
j	-	0.451
t	ʨ	0.071
t	t	0.811
ʧ	-	0.121
ˈaː	ˈaː_r	0.521
ˈi	ˈiː	0.341
a	-	0.212
n	n	0.972
ɡ	-	0.202
ˈo	ˈuː	0.142
ˈu	ˈu	0.692
ˈɔ	ˈo	0.12
r	r	0.913
s	s	0.753
t	-	0.073
v	v	0.883
w	-	0.363
ʤ	ʥ	0.093
ˈi	ˈi	0.333
ˈo	ˈu	0.753
ˈɔ	-	0.143
ˈɔ	ˈa_w	0.213
ˈɛ	ˈɛː	0.273
i	ə_r	0.414
u	i	0.184
ŋ	ŋ	0.064
ˈaː	ˈaː	0.084
ˈaː	ˈa	0.394
ˈoː	ˈu	0.814
ˈu	ˈi	0.124
ˈu	ˈiː	0.184
ˈɔ	ˈɔ	0.154
b	b	0.985
d	d	0.875
i	ə	0.255
k	ʨ	0.195
k	k	0.805
o	o	0.285
o	u	0.715
ʧ	ʧ	0.5
ˈa	ˈɔ	0.255
ˈe	ˈa_j	0.675
ˈuː	ˈiː	0.45
ˈuː	ˈɔ	0.55
e	ə	0.886
j	ˈiə̯	0.06
ŋ	w_n	0.206
ɲ	ɲ	0.966
ˈiː	ˈiə̯	0.306
ˈiː	ˈi	0.376
ˈo	-	0.066
ˈoː	ˈu_s	0.186
ˈɛ	ˈɛ	0.276
e	ʎ_ə	0.07
s	ʃ	0.247
u	ə	0.177
v	-	0.117
w	w	0.637
ˈi	ˈɛ	0.327
ˈiː	ˈiː_r	0.317
ˈɛ	ˈa_j	0.057
ˈɛ	ˈeː	0.087
ˈɛ	-	0.307
a	ə	0.788
i	-	0.178
l	l	0.908
ɡ	ɡ	0.798
ʤ	-	0.298
ʧ	ʦ	0.308
ˈa	ˈa	0.528
ˈe	ˈe	0.278
c	ʨ	0.979
j	j	0.489
u	u	0.639
ŋ	n	0.729
ʤ	ʃ	0.609
ˈa	ˈaː	0.179
ˈɔ	ˈu	0.369
