Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈoː	1.0
ˈæː	ɐ	1.0
ˈuː_t	ˈyːʏ̯	1.0
ˈeː_#>	ˈɛːɪ̯_#>	1.0
ʋ_#>	v̥_#>	1.0
ʈː	-	1.0
ʈ	-	1.0
ɾ_ə	ɐ	1.0
ɾ_#>	#>	1.0
ɳ	ɐ_n	1.0
ɪ	-	1.0
ɡ_l	ɫ	1.0
ə_ɾ	ɐ	1.0
ŋː	ŋ	1.0
ç	k	1.0
tʰ	d	1.0
t_ə	t	1.0
t	t	1.0
s_#>	z̥_#>	1.0
pː	ˈʊ_p	1.0
pʰ	p	1.0
p	p	1.0
nː_#>	n_d̥_#>	1.0
nː	n	1.0
mː_ə	m	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kː	ŋ_k	1.0
k_ə_#>	k_#>	1.0
k_#>	k_#>	1.0
h	h	1.0
f	f	1.0
d_ˈyː	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#	1.0
n	n	0.92
ˈɪ	ˈɪ	0.867
ɡ	ɡ	0.8
k	k	0.778
<#	<#_v	0.75
ˈʉ	ˈʊ	0.727
ˈœ	-	0.727
d	d	0.706
ŋ	-	0.667
nː_ə	n_n	0.667
ʋ	v	0.643
lː	l	0.636
ˈæɪ̯	ˈæɪ̯	0.625
ˈyː	ˈæɪ̯	0.625
ɡː	ɣ̊	0.6
s	s	0.587
tː	t	0.545
ˈiː	ˈiː	0.529
ˈɑ	ˈɑ	0.522
ˈɑː	ˈɒː	0.5
ʂ	z	0.5
ʂ	s_k	0.5
ə	n	0.463
tː	χ_t	0.455
ˈʉː	ˈuː	0.45
ˈʉː	-	0.45
ˈeː	-	0.444
ə	-	0.444
ˈoː	ˈɒː	0.429
ɾ	r	0.425
s	z	0.413
ˈøː	-	0.412
ˈuː	ˈɑʊ̯	0.412
ˈɔ	-	0.4
ɡː	-	0.4
ˈæɪ̯	ɡ	0.375
ˈyː	-	0.375
lː	l_d̥	0.364
ˈuː	ˈoː	0.353
ˈɛ	ˈɛ	0.35
ɾ	ɐ	0.35
ˈeː	ˈeː	0.333
ŋ	ɡ̊	0.333
nː_ə	n	0.333
ˈʏ	ˈʏə̯	0.3
ˈʏ	-	0.3
j	h	0.3
j	-	0.3
ˈiː	-	0.294
d	-	0.294
ˈoː	-	0.286
ˈʉ	-	0.273
ˈœ	ˈøː	0.273
#>	n_#>	0.271
ˈɛ	-	0.25
ˈɑː	ˈɒːɒ̯	0.25
ˈɑː	ˈɑ_d̥	0.25
<#	<#_j	0.25
#>	d̥_#>	0.25
ˈøː	ˈoː_d̥	0.235
ˈeː	ˈæɪ̯	0.222
k	χ	0.222
ˈʏ	ˈʏ	0.2
ˈʏ	ˈyː	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	ˈøː	0.2
ˈɔ	ˈoː	0.2
ɡ	ɣ̊	0.2
j	ˈeːe̯	0.2
j	ɣ̊	0.2
ʋ	w	0.179
ʋ	-	0.179
ˈøː	ˈoː	0.176
ˈiː	ˈɪ	0.176
ˈɑ	ˈɑːɑ̯	0.174
ˈɑ	ˈɑː	0.174
ˈoː	ˈɔː	0.143
ˈoː	ˈɒː_n	0.143
ˈɪ	-	0.133
ˈɑ	ˈɔ	0.13
#>	ɣ̊_#>	0.125
#>	t_#>	0.125
ˈøː	ˈoːo̯	0.118
ˈuː	-	0.118
ˈʉː	ˈøː	0.1
ˈɛ	ˈʏ	0.1
ˈɛ	ˈɪ	0.1
ˈɛ	ˈɑ	0.1
ˈɛ	ˈæɪ̯	0.1
#>	ˈɛːɪ̯_#>	0.083
n	n_ˈɒː	0.08
ɾ	-	0.075
ə	ɐ	0.074
#>	f_#>	0.062
ˈøː	ˈøy̯	0.059
ˈuː	ˈœːy̯	0.059
ˈuː	ʊ	0.059
