Latvian	Polish	probability
ʧ	ʈ͡ʂ	1.0
ʣ	ʐ	1.0
ʎ	l	1.0
ʃ	-	1.0
ɲ	-	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	j	1.0
æː	j	1.0
z̥_s	z	1.0
z̥	z̥	1.0
w	-	1.0
u	-	1.0
t_s	ɨ	1.0
r̩	r	1.0
l̩	w_ɔ	1.0
k_t	ʦ	1.0
k	k	1.0
j	a_t	1.0
iː	ɨ	1.0
iɛ̯	ɛ	1.0
e	ɔ	1.0
d̥	d̥	1.0
d_u	d̥	1.0
b̥	m_b̥	1.0
b	b	1.0
au̯	u	1.0
ai̯	-	1.0
v	v	0.806
r	r	0.703
aː	-	0.664
m	m	0.592
ʦ	-	0.581
uː	ɨ	0.574
t	t	0.565
l	w	0.548
p	p	0.54
ɛ	ɛ	0.526
d	d	0.502
d	ʥ	0.498
z	ʑ	0.482
p	-	0.46
l	l	0.452
a	ɔ	0.441
t	ʨ	0.435
uː	-	0.426
ʦ	k_ɔ	0.419
æ	ɔ	0.419
ɛ	a	0.383
z	z	0.382
i	-	0.366
a	-	0.36
æ	u	0.349
aː	a	0.336
i	ɛ	0.322
uɔ̯	w̃	0.301
uɔ̯	-	0.295
n	n	0.293
n	-	0.293
s	ɕ	0.267
s	ɨ	0.248
s	s	0.241
m	m_j	0.241
æ	j_u	0.233
n	ɲ	0.222
uɔ̯	ɔ	0.205
uɔ̯	ɛ_ŋ	0.199
a	a	0.199
n	ɛ	0.192
i	a	0.183
m	-	0.168
r	-	0.151
r	ʐ̊	0.146
s	n	0.14
z	ɡ	0.136
i	ʨ	0.129
v	-	0.105
ɛ	-	0.091
v	f	0.089
s	k	0.052
s	-	0.052
