Ladin	Campidanese	probability
b	b	1.0
f	f	1.0
i	i	1.0
ŋ	ŋ	1.0
ˈɔ	ˈo	1.0
a	a	0.801
j	ʣ	0.11
k	k_w	0.1
k	ɣ_u	0.201
o	ˈo	0.501
r	r_i	0.081
r	rː	0.111
t	t_u	0.191
t	t	0.261
v	b	0.731
ɡ	ɣ	0.051
ɡ	b	0.301
ɡ	ɡ	0.561
ʧ	-	0.471
d	ð	0.422
r	r	0.622
t	t_e	0.062
t	ð	0.102
t	t_i	0.212
v	-	0.162
w	ˈo_β	0.102
ˈe	ˈi	0.382
ˈɛ	ˈa	0.232
l	ɖː_u	0.093
m	m_i	0.103
ʃ	s	0.493
ˈɛ	ˈe	0.673
e	a	0.144
j	-	0.404
l	l	0.384
s	z	0.224
v	β	0.074
w	-	0.504
ɲ	n_ʤ	0.374
ʒ	ʒ	0.574
ʨ	k	0.774
ˈa	ˈa	0.984
ˈo	ˈo	0.534
ˈu	ˈu	0.654
k	ɡ	0.055
l	l_i	0.055
n	n	0.675
t	t_ˈa	0.075
w	ˈo_ɣ	0.245
e	o	0.076
e	e	0.346
l	-	0.106
p	p	0.976
ɲ	ɲː	0.626
ʒ	z	0.426
ʨ	ʧ	0.226
ˈe	r_i	0.146
ˈe	i	0.176
ˈi	ˈi_ʣ	0.066
ˈo	ˈu	0.466
ˈu	<#_i	0.346
j	ĕ	0.057
l	l_u	0.097
l	r	0.127
l	ɖː	0.137
m	m	0.897
ɡ	k	0.087
ˈe	ˈa_i	0.067
k	k	0.598
n	n_u	0.138
s	-	0.058
s	s	0.718
w	ˈo	0.148
ʃ	ʒ_i	0.418
ˈe	ˈe	0.208
d	-	0.169
d	d	0.409
e	i	0.389
j	i	0.429
n	n_i	0.119
o	o	0.499
r	r_u	0.139
t	t_r	0.069
ʃ	ʃː	0.09
ʧ	ʧ	0.529
ˈi	ˈi	0.899
