Megleno-Romanian	Megleno-Romanian	probability
ˈɔ_j	ˈa	1.0
ˈɔ	ˈa	1.0
ˈo_ʃ	sː	1.0
ˈa_t	ˈɛː	1.0
ˈa_l	ˈaː	1.0
ʤ	ʤ	1.0
ʒ	z	1.0
ʃ_t	ʃ	1.0
ʃ	s	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ	ˈa	1.0
ŋ	ŋ	1.0
v	v	1.0
r_u	r_u	1.0
p_t	t	1.0
kʲ	p	1.0
k_ʎ	ʤ	1.0
j	-	1.0
i_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a	-	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
s	s	0.895
m	m	0.875
l	l	0.867
#>	u_#>	0.848
p	p	0.846
u	u	0.833
t	t	0.8
d	d	0.75
i	e	0.696
ə	a	0.688
o̯ˈa	-	0.667
k	k	0.667
ʎ	ʤ	0.625
n	ŋ	0.625
r	r	0.588
w	-	0.571
e̯ˈa	ˈe	0.571
ˈe	ˈeː	0.538
ˈi	ˈe	0.5
w_ˈo	ˈɔ	0.5
w_ˈo	ˈø	0.5
ˈe	ˈe	0.462
z	z	0.429
w	v	0.429
e̯ˈa	ˈeː	0.429
ˈo	ˈøː	0.417
ˈi	ˈi	0.375
ʎ	-	0.375
ʦ	s	0.357
ʦ	-	0.357
ˈu	ˈu	0.333
ˈo	-	0.333
o̯ˈa	ˈuː	0.333
k	ɡ	0.333
r	-	0.324
n	n	0.312
<#	<#_l	0.3
<#	<#_f	0.3
ˈa	ˈaː	0.296
ˈa	ˈa	0.296
ˈu	ˈuː	0.286
z	ʤ	0.286
z	-	0.286
d	-	0.25
ə	e	0.219
t	-	0.2
<#	<#_t	0.2
<#	<#_k	0.2
ˈa	ˈɛː	0.185
i	j	0.174
ˈo	ˈɔ	0.167
u	-	0.167
p	v	0.154
ˈu	ˈy	0.143
ˈu	-	0.143
ʦ	ʒ	0.143
ʦ	s_a	0.143
l	-	0.133
i	i	0.13
ˈi	-	0.125
m	ŋ	0.125
s	z	0.105
ˈu	ˈø	0.095
ə	u	0.094
#>	a_#>	0.091
r	j	0.088
ˈo	ˈyː	0.083
ˈa	ˈeː	0.074
ˈa	ˈe	0.074
ˈa	-	0.074
n	-	0.062
#>	e_#>	0.061
