Québécois French	Friulian	probability
œ̃ʏ̯̃	ˈu	1.0
ɛɪ̯	ˈɛ	1.0
ʣ	d	1.0
ã	ˈa	0.301
l	l	0.861
m	n	0.081
o	w	0.281
oʊ̯	l	0.151
s	ʧ	0.21
w	ˈo	0.241
z	d	0.071
ɛ	ˈaː	0.261
ɥ	-	0.121
ɪ	ˈiː	0.071
ʁ	-	0.071
ʁ	r	0.81
ʒ	-	0.271
ʦ	t	0.71
aœ̯	ˈuː	0.262
ã	ŋ	0.222
j	ˈa	0.062
l	-	0.082
m	m	0.902
n	ˈi_n	0.052
oʊ̯	ˈɛ	0.072
u	w	0.082
u	ˈu	0.082
w	t	0.12
y	ˈuː	0.42
æɛ̯	j	0.162
øʏ̯	w	0.122
øʏ̯	l	0.132
ɒ̃ʊ̯̃	ŋ	0.062
ɒ̃ʊ̯̃	-	0.12
ɪ	-	0.12
ʏ	ˈe	0.112
j	ˈɛ	0.153
w	ˈu	0.183
z	z	0.43
æɛ̯	ˈɛ	0.053
æɛ̯	ˈa	0.343
øʏ̯	ˈe	0.053
ɡ	-	0.083
ɲ	ɲ	0.913
ʒ	ɲ	0.073
a	ˈa	0.344
ã	i	0.104
ẽɪ̯̃	ˈa_n	0.174
ẽɪ̯̃	ˈi_n	0.184
ẽɪ̯̃	ŋ	0.224
f	f	0.984
t	s	0.144
u	u	0.084
u	ˈi	0.084
w	-	0.154
ɑ	i	0.264
ɛ	d_i	0.204
ʁ	ˈɛ_r	0.064
ʃ	c	0.914
ʒ	ʤ	0.364
d	n	0.245
d	d	0.755
i	ˈiː	0.255
j	e	0.135
j	ˈiː	0.15
n	ɲ	0.165
n	n	0.755
t	s_t	0.15
t	t	0.575
y	ˈo	0.205
y	ˈu	0.35
z	ʧ	0.5
øʏ̯	ˈoː	0.095
øʏ̯	ˈuː	0.125
øʏ̯	ˈo	0.165
œ	ˈo	0.085
ɒ̃ʊ̯̃	ˈɔ	0.235
ɛ	ˈe	0.125
ɥ	t	0.105
ɥ	ˈɔ	0.615
ʊ	ˈu	0.075
ʊ	ˈo	0.925
ʒ	ʧ	0.145
ã	n	0.066
b	b	0.956
e	ˈa	0.076
e	-	0.346
i	j	0.156
k	k	0.956
s	s	0.686
u	o	0.136
u	ˈɔ	0.16
u	ˈo	0.176
u	ˈoː	0.196
w	j	0.226
æɛ̯	e	0.056
æɛ̯	ˈɛː	0.06
œ	i	0.06
œ	e	0.316
ɑ	ˈa	0.736
ɑɔ̯	o	0.086
ɒ̃ʊ̯̃	o	0.236
ɔ	w	0.406
ɛ	-	0.216
ɡ	ɡ	0.896
ʒ	ɡ	0.06
a	a	0.37
e	ˈaː	0.577
i	-	0.187
j	l_i	0.07
j	-	0.097
j	j	0.297
v	-	0.057
æɛ̯	ˈe	0.07
æɛ̯	ˈaː	0.207
œ	ˈuː	0.117
ɑɔ̯	w	0.647
ɒ̃ʊ̯̃	ˈo	0.347
ɔ	ˈo	0.117
ɲ	ʤ	0.087
aœ̯	ˈoː	0.738
ẽɪ̯̃	n	0.28
oʊ̯	j_ˈɛ	0.348
w	ʧ	0.068
œ	w	0.068
œ	a	0.148
ɑɔ̯	u	0.158
ɔ	o	0.478
ʏ	ˈu	0.888
a	ˈɔ	0.069
ã	ˈi	0.259
ẽɪ̯̃	ɲ	0.139
i	ˈi	0.259
o	ˈe	0.719
oʊ̯	ˈa	0.429
p	p	0.979
v	b	0.059
v	v	0.839
øʏ̯	-	0.309
œ	ˈɔ	0.099
ɑɔ̯	ˈɔː	0.109
ɥ	ʧ	0.159
ɪ	ˈi	0.809
ʦ	ʧ	0.29
