Faroese	East Low German	probability
a	n	0.714
a	-	0.203
a	ŋ	0.073
b̥	b	0.94
b̥	-	0.06
d̥	d	0.786
d̥	-	0.16
d̥	t	0.053
f	f	0.961
h	h	0.954
j	ɾ	0.31
j	ˈɛ	0.305
j	ˈiː	0.155
j	-	0.145
j	t	0.05
k	k	0.876
k	-	0.124
kʰ	kʰ	0.931
kʰ	f	0.069
l	l	0.938
l	-	0.062
l̥	l	1.0
m	m	0.892
m	-	0.108
n	n	0.952
nː	n	0.908
nː	ˈuː	0.052
n̥	-	0.333
n̥	n	0.264
n̥	æ	0.215
n̥	m	0.187
p	p	1.0
r	r	1.0
s	z	0.404
s	s	0.38
s	ʃ	0.21
sː	s	1.0
t	t	0.631
t	-	0.369
tʰ	d	0.49
tʰ	tʰ	0.371
tʰ	b	0.138
tː	t	0.671
tː	p	0.329
v	v	0.471
v	b	0.179
v	w	0.123
v	-	0.067
v	m	0.062
v	f	0.056
w	ɾ	0.419
w	-	0.223
w	x	0.15
w	t	0.134
w	m	0.05
ŋ	ŋ	0.671
ŋ	n	0.182
ŋ	-	0.121
ə	æ	1.0
ɛ	ɪ	1.0
ɡ̊	-	0.397
ɡ̊	ɡ	0.241
ɡ̊	ŋ	0.155
ɡ̊	j	0.131
ɡ̊	ç	0.076
ɡ̊ː	k	0.671
ɡ̊ː	-	0.329
ɪ	-	0.518
ɪ	æ	0.482
ɲ	ŋ	1.0
ɹ	-	0.764
ɹ	r	0.137
ɹ	æ	0.099
ɹː	ç	1.0
ʃ	ʃ	0.876
ʃ	z	0.124
ʈ	t	1.0
ʊ	-	0.974
ʊ̯ˈiː	ˈiː	1.0
ʎ	l	1.0
ʤ̊	d	0.406
ʤ̊	ɡ	0.364
ʤ̊	j	0.13
ʤ̊	-	0.101
ʤ̊ː	ç	0.509
ʤ̊ː	n	0.491
ʧ	ç	0.5
ʧ	ɡ	0.5
ʧʰ	kʰ	0.574
ʧʰ	d	0.426
ʧː	ɣ	1.0
ʰk	k	1.0
ʰkː	ŋ_k	0.706
ʰkː	k	0.294
ʰp	p	1.0
ʰt	t	0.805
ʰt	ɾ	0.195
ʰtː	x	0.655
ʰtː	ç	0.345
ʰʧ	k	1.0
ˈa	ˈa	0.737
ˈa	ˈɒː	0.085
ˈa	ˈʏ	0.074
ˈai̯	ˈae̯	0.871
ˈai̯	ˈɪ	0.129
ˈaːi̯	ˈae̯	0.879
ˈaːi̯	ˈɪ	0.121
ˈeə̯	ˈɛː	1.0
ˈeː	ˈɛː	0.351
ˈeː	ˈiː	0.336
ˈeː	ˈa	0.134
ˈeː	ˈɪ	0.131
ˈiː	ˈɪ	0.599
ˈiː	-	0.177
ˈiː	ˈae̯	0.148
ˈiː	ˈœː	0.076
ˈoː	ˈuː	0.897
ˈoː	ˈɒː	0.103
ˈuː	ˈɔ	0.701
ˈuː	ˈɛ	0.191
ˈuː	ˈae̯	0.108
ˈøː	-	0.408
ˈøː	ˈɔʏ̯	0.373
ˈøː	ˈɛ	0.132
ˈøː	ˈɛː	0.087
ˈœ	ˈɔ	0.254
ˈœ	æ	0.166
ˈœ	-	0.15
ˈœ	ˈoː	0.15
ˈœ	ˈœ	0.12
ˈœ	ˈa	0.108
ˈœ	ˈaʊ̯	0.052
ˈɔ	ˈa	0.269
ˈɔ	ˈœː	0.173
ˈɔ	ˈɛː	0.173
ˈɔ	ˈuː	0.154
ˈɔ	ˈoː	0.076
ˈɔ	ˈøː	0.073
ˈɔːi̯	ˈuː	0.378
ˈɔːi̯	ˈyː	0.267
ˈɔːi̯	ˈɔʏ̯	0.267
ˈɔːi̯	ˈaʊ̯	0.088
ˈɔːu̯	ˈaʊ̯	0.429
ˈɔːu̯	ˈae̯	0.24
ˈɔːu̯	ˈiː	0.229
ˈɔːu̯	ˈɪ	0.068
ˈɔ̯aː	ˈɒː	0.515
ˈɔ̯aː	ˈaʊ̯	0.238
ˈɔ̯aː	ˈoː	0.141
ˈɔ̯aː	ˈeː	0.105
ˈɛ	ˈɛ	0.339
ˈɛ	ˈɪ	0.304
ˈɛ	ˈa	0.219
ˈɛ	ˈae̯	0.065
ˈɛːa̯	ˈa	0.368
ˈɛːa̯	ˈiː	0.186
ˈɛːa̯	ˈɛ	0.123
ˈɛːa̯	ˈaʊ̯	0.096
ˈɛːa̯	ˈɒː	0.08
ˈɛːa̯	-	0.067
ˈɛːa̯	ˈaː	0.053
ˈɛːi̯	ˈaʊ̯	0.825
ˈɛːi̯	ˈae̯	0.092
ˈɛːi̯	ˈœː	0.053
ˈɪ	ˈɪ	0.509
ˈɪ	ˈiː	0.18
ˈɪ	ˈɛ	0.091
ˈɪ	ˈʏ	0.076
ˈʉːu̯	ˈuː	0.857
ˈʉːu̯	ˈae̯	0.143
ˈʊ	ˈʊ	0.521
ˈʊ	ˈœː	0.106
ˈʊ	ˈuː	0.083
ˈʊ	ˈae̯	0.061
ˈʊ	ˈøː	0.058
ˈʊ	ˈʏ	0.057
ˈʊ̯iː	ˈiː	0.54
ˈʊ̯iː	ˈyː	0.294
ˈʊ̯iː	ˈɪ	0.1
ˈʊ̯iː	ˈae̯	0.066
ˈʏ	ˈyː	0.383
ˈʏ	ˈɪ	0.383
ˈʏ	ˈae̯	0.129
ˈʏ	ˈʊ	0.104
