Swedish	English	probability
a	ə	0.757
a	-	0.243
b	b	1.0
d	d	0.811
d	θ	0.088
d	ð	0.082
f	f	0.981
h	h	1.0
j	-	0.534
j	ɡ	0.139
j	əʊ̯	0.102
j	ˈiː	0.087
j	l	0.065
jː	ˈeɪ̯	1.0
k	k	0.593
k	-	0.283
k	ʧ	0.124
kʰ	kʰ	1.0
kː	ʧ	0.458
kː	ŋ_k	0.295
kː	k	0.246
l	l	0.572
l	ɫ	0.398
lː	ɫ	1.0
m	m	0.926
m	v	0.074
mː	m	1.0
n	n	0.892
n	-	0.072
nː	n	0.855
nː	ð	0.129
p	p	1.0
pʰ	pʰ	1.0
pː	p	1.0
r	ɹ	0.473
r	ə	0.341
r	-	0.148
rː	ˈaɪ̯	0.672
rː	θ	0.328
s	s	0.781
s	ʃ	0.15
s	z	0.064
sː	s	1.0
t	t	1.0
tʰ	θ	0.615
tʰ	tʰ	0.302
tʰ	b	0.057
tː	t	1.0
v	w	0.601
v	v	0.194
v	f	0.161
ŋ	ˈeɪ̯	0.335
ŋ	ŋ	0.332
ŋ	-	0.166
ŋ	n	0.11
ŋ	v	0.056
ŋː	ŋ	1.0
ɔ	ˈiː	1.0
ɕ	ʧ	0.548
ɕ	θ	0.341
ɕ	tʰ	0.11
ɖ	d	0.615
ɖ	θ	0.385
ɛ	ə	0.865
ɛ	-	0.099
ɡ	-	0.448
ɡ	ɡ	0.438
ɡ	j	0.08
ɡː	ʤ	0.613
ɡː	-	0.269
ɡː	ɡ	0.117
ɧ	s	0.612
ɧ	ʃ	0.343
ɪ	ɪ	1.0
ɳ	n	0.717
ɳ	-	0.283
ɳː	n	1.0
ɵ	ɪ	0.847
ɵ	-	0.153
ʂ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʊ	ˈe	0.519
ʊ	n	0.481
ˈa	ˈæ	0.432
ˈa	ˈɑː	0.172
ˈa	ˈɔː	0.154
ˈa	ˈuː	0.075
ˈa	ˈeɪ̯	0.056
ˈeː	ˈəʊ̯	0.457
ˈeː	ˈɪ	0.245
ˈeː	ˈiː	0.176
ˈeː	ˈɑː	0.072
ˈeː	ˈɒ	0.051
ˈiː	ˈaɪ̯	0.621
ˈiː	ˈiː	0.152
ˈiː	ˈɪ	0.137
ˈiː	ˈuː	0.066
ˈoː	ˈɐ	0.243
ˈoː	ˈuː	0.235
ˈoː	ˈiː	0.168
ˈoː	ˈɒ	0.095
ˈoː	ˈəʊ̯	0.093
ˈuː	ˈɐ	0.323
ˈuː	ˈɔː	0.217
ˈuː	ˈɜː	0.15
ˈuː	ˈʊ	0.121
ˈuː	ˈuː	0.105
ˈuː	ˈaʊ̯	0.083
ˈyː	ˈɔː	0.283
ˈyː	ˈɪ	0.283
ˈyː	ˈaɪ̯	0.231
ˈyː	j	0.171
ˈæ	ˈɑː	0.672
ˈæ	ˈɔː	0.328
ˈæː	ˈɪ	0.474
ˈæː	ˈɑː	0.246
ˈæː	ˈɛ	0.238
ˈøː	ˈiː	0.433
ˈøː	ˈe	0.33
ˈøː	ə	0.082
ˈøː	ˈaɪ̯	0.072
ˈøː	ˈɐ	0.063
ˈœ	ˈiː	0.408
ˈœ	ˈɔː	0.204
ˈœ	ˈɪ	0.132
ˈœ	ˈɒ	0.085
ˈœ	ˈaɪ̯	0.064
ˈœ	ˈɜː	0.061
ˈœː	ˈɔː	0.519
ˈœː	ˈɪ	0.481
ˈɑː	ˈeɪ̯	0.377
ˈɑː	ˈɑː	0.268
ˈɑː	ˈɛ	0.097
ˈɑː	ˈæ	0.072
ˈɑː	ˈe	0.07
ˈɑː	-	0.061
ˈɑː	ˈɒ	0.055
ˈɔ	ˈɐ	0.417
ˈɔ	ˈɔː	0.274
ˈɔ	ɹ	0.17
ˈɔ	ˈəʊ̯	0.05
ˈɛ	ˈe	0.329
ˈɛ	-	0.232
ˈɛ	ˈaɪ̯	0.106
ˈɛ	ˈæ	0.1
ˈɛ	ˈɐ	0.094
ˈɛː	ˈiː	0.309
ˈɛː	ˈəʊ̯	0.277
ˈɛː	ˈe	0.255
ˈɛː	ˈɑː	0.096
ˈɛː	ˈeɪ̯	0.063
ˈɪ	ˈɪ	0.638
ˈɪ	ˈaɪ̯	0.251
ˈɪ	ˈiː	0.083
ˈɵ	ˈɐ	0.395
ˈɵ	ˈɪ	0.348
ˈɵ	ˈaʊ̯	0.135
ˈɵ	w_ˈʊ	0.053
ˈʉː	ˈɪ	0.254
ˈʉː	ˈaʊ̯	0.24
ˈʉː	ˈaɪ̯	0.147
ˈʉː	-	0.065
ˈʉː	ˈe	0.062
ˈʉː	ˈiː	0.06
ˈʉː	ˈɐ	0.054
ˈʉː	ˈɒ	0.054
ˈʊ	ˈɐ	0.606
ˈʊ	ˈuː	0.2
ˈʊ	ˈɜː	0.194
ˈʏ	ˈɪ	0.593
ˈʏ	ˈuː	0.151
ˈʏ	ˈɐ	0.151
ˈʏ	ˈɜː	0.105
