West Frisian	Saterland Frisian	probability
b	b	0.953
d	d	0.901
d	-	0.099
f	f	0.859
f	w	0.065
h	h	0.962
j	j	0.454
j	-	0.432
j	ˈʊ	0.06
k	k	1.0
l	l	0.974
m	m	0.944
m	-	0.056
n	n	0.92
p	p	1.0
r	r	0.979
s	s	0.944
t	t	0.776
t	d	0.197
v	v	0.868
v	-	0.053
z	z	0.796
z	ɣ	0.204
ŋ	ŋ	0.844
ŋ	x	0.116
ɕ	s	1.0
ə	ə	0.882
ə	-	0.113
ɡ	ɣ	0.494
ɡ	j	0.279
ɡ	ɡ	0.227
ɣ	ɣ	0.735
ɣ	x	0.265
ɪ	i	0.52
ɪ	ɪ	0.288
ɪ	ə	0.104
ɪ	-	0.089
ʋ	v	1.0
ʦ	t	0.535
ʦ	s	0.363
ʦ	d	0.102
ˈa	ˈɔː	0.339
ˈa	ˈɔ	0.211
ˈa	ˈa	0.141
ˈa	ˈoː	0.096
ˈa	ˈɛ	0.086
ˈa	ˈaː	0.057
ˈaː	ˈoː	0.267
ˈaː	ˈeːu̯	0.136
ˈaː	ˈɔː	0.135
ˈaː	ˈɔːɪ̯	0.087
ˈaː	ˈɛɪ̯	0.084
ˈaː	ˈoːu̯	0.082
ˈaː	ˈeː	0.067
ˈaː	ˈaː	0.059
ˈeː	ˈoː	0.491
ˈeː	ˈœː	0.304
ˈeː	ˈiːu̯	0.11
ˈeː	ˈeː	0.095
ˈi	ˈi	0.674
ˈi	ˈiː	0.213
ˈi	ˈɛɪ̯	0.055
ˈiə̯	ˈeː	0.278
ˈiə̯	ˈiː	0.221
ˈiə̯	ˈɛɪ̯	0.213
ˈiə̯	j	0.13
ˈiə̯	ˈaː	0.073
ˈiə̯	ˈoː	0.063
ˈiː	ˈiː	0.708
ˈiː	ˈi	0.119
ˈiː	j	0.079
ˈiː	ˈyː	0.079
ˈoə̯	ˈoːu̯	0.531
ˈoə̯	ˈɔː	0.249
ˈoə̯	ˈuː	0.093
ˈoə̯	ˈoː	0.081
ˈoː	ˈuː	0.697
ˈoː	ˈoːu̯	0.183
ˈoː	ˈu	0.12
ˈu	ˈʊ	0.975
ˈuə̯	ˈuː	0.679
ˈuə̯	ˈoːu̯	0.321
ˈuː	ˈuː	0.552
ˈuː	w	0.134
ˈuː	ˈu	0.075
ˈuː	ˈoː	0.066
ˈuː	ˈøː	0.066
ˈuː	ə	0.054
ˈuː	ˈɛɪ̯	0.053
ˈu̯o	ˈɛɪ̯	1.0
ˈy	ˈuː	1.0
ˈyː	ˈuː	0.89
ˈyː	ˈyː	0.11
ˈø	ˈʊ	0.461
ˈø	ˈɛɪ̯	0.402
ˈø	ˈɛ	0.137
ˈøə̯	ˈyː	1.0
ˈɔ	ˈʊ	0.648
ˈɔ	ˈuː	0.108
ˈɔ	ˈɔ	0.077
ˈɔ	ˈɔː	0.058
ˈɔ	ˈoːu̯	0.051
ˈɔu̯	ˈoːu̯	0.565
ˈɔu̯	ˈaːu̯	0.435
ˈɔː	ˈoːu̯	0.694
ˈɔː	ˈoː	0.271
ˈɛ	ˈɛɪ̯	0.347
ˈɛ	ˈiː	0.23
ˈɛ	ˈɛː	0.2
ˈɛ	ˈɛ	0.118
ˈɛi̯	ˈaːi̯	0.542
ˈɛi̯	ˈi	0.146
ˈɛi̯	ˈɪ	0.135
ˈɛi̯	ˈɛ	0.109
ˈɛi̯	ˈɛɪ̯	0.067
ˈɛː	ˈɛː	0.41
ˈɛː	ˈɛɪ̯	0.392
ˈɛː	ˈaː	0.198
ˈɪ	ˈɪ	0.278
ˈɪ	ˈi	0.173
ˈɪ	ˈɛː	0.108
ˈɪ	ˈeː	0.083
ˈɪ	ˈɔ	0.065
ˈɪ	ˈɔː	0.062
ˈɪ	-	0.062
ˈɪə̯	ˈoː	0.643
ˈɪə̯	ˈɔː	0.106
ˈɪə̯	ˈeː	0.106
ˈɪə̯	ˈiː	0.069
χ	x	0.761
χ	ɣ	0.198
