Icelandic	East Low German	probability
θ	d	1.0
ˈʏː	ˈɔ	1.0
ˈʏ_t	ˈʊ	1.0
ˈɛːi̯	ˈae̯	1.0
ˈɛː	ˈɛː	1.0
ˈɛi̯	ˈae̯	1.0
ˈɔu̯	-	1.0
ˈɔ	ˈuː	1.0
ˈɑu̯	ˈa	1.0
ˈœ	ˈa	1.0
ˈuː_a	ŋ	1.0
ˈuː	ˈuː	1.0
ˈu	ˈʊ	1.0
ˈoːu̯	ˈaʊ̯	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	ˈɒː	1.0
ˈaːi̯	ˈɔʏ̯	1.0
ˈa_r̥	ˈaː	1.0
ˈa_r	ˈaː	1.0
ʰp	p	1.0
ʏ_r̥_#>	#>	1.0
ʏ_r̥	t	1.0
ɪ_r̥	æ	1.0
ɪ	-	1.0
ɡ̊	ɡ	1.0
ɛ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
ð_ʏ	d	1.0
ð_#>	t_#>	1.0
ç	h	1.0
v_ʏ	f	1.0
v_a	b_m	1.0
tʰ	tʰ	1.0
t_ʏ	t	1.0
t_n̥	n	1.0
t_l̥	l_d	1.0
t_a	t_n	1.0
s_t	ʃ	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
r̥_#>	#>	1.0
r_ɪ	æ	1.0
r_t	æ	1.0
r_a	æ	1.0
p	p	1.0
nː	n	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɛː_r̥_#>	ˈiː_#>	1.0
j_ˈuː	ˈae̯	1.0
j_ˈoːu̯	ˈae̯	1.0
j_a	n	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	kʰ	1.0
b̥	b	1.0
a_r̥	æ	1.0
a_#>	#>	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	n_#>	1.0
a	n	0.875
ˈiː	ˈiː	0.846
t	t	0.765
r	r	0.762
ˈœːy̯	ˈaʊ̯	0.75
v	v	0.737
ˈʏ	ˈʊ	0.714
n̥	n	0.714
ʏ	-	0.7
ˈaː	ˈa	0.667
ˈa	ˈa	0.667
ˈɔː	ˈɒː	0.6
ˈɑːu̯	ˈɒː	0.6
ɣ	ç	0.6
ɟ̊	ɡ	0.6
ˈɪ	ˈɪ	0.571
ʰt	t	0.556
r̥	æ	0.556
s	z	0.533
ˈɪː	ˈɪ	0.5
ˈɪː	ˈae̯	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ð	ɾ	0.462
ˈɔː	ˈœː	0.4
ˈɑːu̯	ˈoː	0.4
ɣ	x	0.4
ɟ̊	j	0.4
ˈɛ	ˈɛ	0.364
ˈaː	ˈaː	0.333
ɡ̊_ʏ	ɪ	0.333
ɡ̊_ʏ	æ	0.333
ɡ̊_ʏ	k	0.333
s	ʃ	0.333
r̥	ç	0.333
ð	d	0.308
ʏ	æ	0.3
ˈʏ	ˈʏ	0.286
ˈɪ	ˈʏ	0.286
n̥	-	0.286
ˈɛ	ˈɪ	0.273
ˈœːy̯	ˈoː	0.25
j	ˈae̯	0.25
j	-	0.25
r	æ	0.238
t	-	0.235
ð	t	0.231
ʰt	x_t	0.222
ʰt	x	0.222
j	ˈɛ	0.188
j	ˈiː	0.188
ˈɛ	ˈa	0.182
ˈɛ	-	0.182
ˈa	ˈɒː	0.167
ˈa	-	0.167
v	w	0.158
ˈiː	ˈae̯	0.154
ˈɪ	ˈiː	0.143
s	s	0.133
j	ˈɪ	0.125
a	ŋ	0.125
r̥	-	0.111
v	m	0.105
