Jin	Jin	probability
⁵⁴	⁵⁴	1.0
⁵³	⁵³	1.0
⁴⁵	⁴⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʔ	ʔ	1.0
ʐ	ʐ	1.0
ɻ	ɻ	1.0
ɥ	ɥ	1.0
ɤ	ɤ	1.0
ɣ	ɣ	1.0
ə̃	ə̃	1.0
ə	ə	1.0
ɕ	ɕ	1.0
ɒ̃	ɒ̃	1.0
ŋ	ŋ	1.0
æ̃	æ̃	1.0
¹¹	¹¹	1.0
²	²	1.0
z̩	z̩	1.0
ỹ	ỹ	1.0
y	y	1.0
x	x	1.0
w	w	1.0
v	v	1.0
ũ	ũ	1.0
u	u	1.0
tʰ͡x	tʰ͡x	1.0
t	t	1.0
s	s	1.0
pʰ͡x	pʰ͡x	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ͡x	kʰ͡x	1.0
k	k	1.0
j	j	1.0
ĩ	ĩ	1.0
i	i	1.0
f	f	1.0
e	e	1.0
a	a	1.0
