Bellunese	Franco-Provençal	probability
b	b	1.0
f	f	1.0
i	i	1.0
m	m	1.0
p	p	1.0
u	-	1.0
ð	ð	1.0
ŋ	-	1.0
a	ə	0.191
d	ð	0.051
l	l	0.871
o	-	0.131
r	ʁ	0.761
ˈa	ˈa	0.341
ˈe	ˈɛ	0.201
d	d	0.602
e	ˈɛː	0.082
j	l	0.282
o	ɔ	0.082
t	-	0.142
z	-	0.172
ɡ	-	0.562
ˈo	ˈoː	0.172
n	-	0.203
o	ʁ_o	0.063
v	-	0.053
ʧ	w	0.083
ʧ	j	0.303
ˈa	ˈɑː	0.073
ˈa	ˈaː	0.173
ˈe	ˈɛː	0.353
ˈo	ˈo	0.223
ˈu	ˈo	0.483
e	-	0.224
e	ə	0.694
o	o	0.284
r	ð	0.234
s	s	0.94
w	w	0.094
ɲ	-	0.344
ʧ	-	0.614
a	a	0.595
j	j	0.455
k	-	0.055
ˈi	ˈi	0.125
ˈi	ˈe	0.875
ˈo	w	0.125
ˈɛ	-	0.095
θ	s	0.945
a	-	0.126
j	ʎ	0.156
o	ˈu	0.106
s	ʃ	0.06
w	-	0.906
ɲ	ɲ	0.656
ˈa	j_ˈe	0.196
ˈɔ	ˈø	0.516
d	-	0.347
j	-	0.107
n	n	0.797
o	a	0.137
v	v	0.907
ˈo	ˈɔ	0.357
ˈu	ˈu	0.517
ˈɔ	ˈe	0.147
ˈɔ	ˈoː	0.287
k	k	0.258
k	ʃ	0.658
o	ˈø	0.078
t	t	0.858
z	z	0.828
ɡ	ɡ	0.438
ˈa	ˈɛː	0.068
ˈo	ˈu	0.058
ˈɛ	ˈe	0.608
l	-	0.129
o	u	0.069
ˈe	ˈi	0.079
ˈe	ˈe	0.319
ˈɛ	ˈɛ	0.259
