Lithuanian	Ukrainian	probability
ʒ	z	1.0
ʑ	z	1.0
ɪ_ˈ	ɔ	1.0
ɡ_ɐ	ɦ	1.0
ɡ	ɦ	1.0
ɛʊ̯	u	1.0
ɛɪ̯	-	1.0
ɐʊ̯	ɪ	1.0
ɐɪ̯	i	1.0
ŋ_ɡ	ɦʲ	1.0
æː_̌	ɔ	1.0
æɪ̯	ɪ	1.0
z	ɔ	1.0
v_ɐ	ɔ	1.0
uː	ɪ	1.0
uə̯	ɑ	1.0
t_ɐ	j	1.0
t	t	1.0
sʲ_ɪ_s	ʦʲ	1.0
rʲ_ɪ	r	1.0
r_ɐ	r	1.0
pʲ	p	1.0
p	-	1.0
nʲ	-	1.0
mʲ	m	1.0
k_tʲ	ʧ	1.0
j	-	1.0
d	d	1.0
bʲ	b	1.0
aɪ̯	-	1.0
ˈ	ˈ	0.909
dʲ	d	0.865
k	k	0.86
̌	ˈ	0.833
̂	ˈ	0.81
b	b	0.793
r	r	0.771
ʃ	s	0.758
rʲ	r	0.757
n	n	0.751
ɫ	ɫ	0.745
ɕ	s	0.705
lʲ	lʲ	0.697
oː	-	0.695
tʲ	t	0.693
iː	-	0.691
kʲ	k	0.628
m	m	0.595
ɡʲ	-	0.594
ʊ	-	0.542
iə̯	ɪ	0.503
iə̯	-	0.497
vʲ	ʋ	0.475
æː	ɛ	0.46
ʊ	ɪ	0.458
ɛ	ɔ	0.44
aː	i	0.432
ɐ	ɔ	0.43
sʲ	u	0.409
ɡʲ	ʒ	0.406
m	-	0.405
eː	i	0.404
vʲ	-	0.395
kʲ	ʧ	0.372
v	-	0.363
aː	ɔ	0.358
sʲ	-	0.354
eː	ɑ	0.332
v	ʋ	0.327
ɪ	-	0.315
æː	ɔ	0.31
v	ʋʲ	0.31
iː	ʋ	0.309
tʲ	-	0.307
oː	ɑ	0.305
lʲ	ɫ	0.303
ɛ	ɛ	0.302
ɪ	ɔ	0.296
ɕ	ʃʲ	0.295
s	-	0.286
eː	ɐ	0.264
ɫ	ʋ	0.255
n	-	0.249
rʲ	r_ɪ	0.243
ʃ	-	0.242
sʲ	s	0.238
æː	-	0.23
s	s	0.23
r	rʲ	0.229
aː	-	0.21
b	bʲ	0.207
ɐ	u	0.204
̂	-	0.19
s	k	0.187
ɐ	ɑ	0.186
s	nʲ	0.163
k	ʧʲ	0.14
s	j	0.135
dʲ	ʦ	0.135
ɪ	tʲ	0.132
vʲ	ʋʲ	0.131
ɛ	ɐ	0.129
ɛ	i	0.129
ɪ	ɛ	0.109
ɐ	i	0.108
̌	-	0.1
ˈ	ɑ_ˈ	0.091
ɪ	e	0.088
ɐ	ɐ	0.072
̌	i_ˈ	0.067
ɪ	ɛ_ˈ	0.061
