West Flemish	Old English	probability
ˈɛː	ˈɑː	1.0
ˈɒː_n	n	1.0
ˈɑ_n	ˈoː	1.0
ˈyː	ˈuː	1.0
ʃ_h	ʃ	1.0
ɪ	i	1.0
ɦ_ɾ	ɡ_r	1.0
ç	i_j	1.0
z	s	1.0
iə̯	iːy̯	1.0
d̥	d	1.0
b	b	1.0
l	l	0.908
ʋ	w	0.899
t	t	0.897
m	m	0.887
ˈɪ	ˈi	0.879
w	ɫ	0.872
ɾ	r	0.863
p	p	0.859
ˈi	ˈiː	0.835
s	s	0.833
v	f	0.71
n	n	0.703
ə	e	0.694
ˈɔ	ˈo	0.693
ˈuə̯	ˈoː	0.667
j	-	0.648
ˈiə̯	ˈeːo̯	0.626
ˈu	ˈu	0.59
ˈøː	ˈu	0.574
ɦ̥	j	0.557
d	θ	0.557
k	k	0.542
ŋ	ŋ_ɡ	0.506
ˈɛ	ˈi	0.5
ŋ	ŋ	0.494
h	ç	0.45
ˈoː	ˈæːɑ̯	0.445
ɦ̥	ɣ̊	0.443
ˈøː	ˈo	0.426
ˈɑ	ˈɑ	0.424
ˈœ	ˈu	0.397
k	ʧ	0.385
ˈeː	ˈɑː	0.365
j	j	0.352
ˈɒː	ˈæːɑ̯	0.351
ˈuə̯	ˈeː	0.333
ˈoː	ˈo	0.33
ˈeː	ˈe	0.311
ɦ	ɣ	0.309
ˈɔ	-	0.307
h	x	0.306
ˈœ	ˈy	0.301
ˈœ	-	0.301
ˈæ	ˈe	0.299
ˈæ	ˈeo̯	0.291
v	v	0.29
ˈɑ	ˈæ	0.27
ɦ	j	0.264
ˈɒː	ˈæ	0.261
ˈɛ	ˈe	0.25
ˈɛ	-	0.25
d	d	0.247
n	ɑ_n	0.246
h	xː	0.243
ɦ	ɡ	0.226
ˈu	ˈæɑ̯_ɫ	0.214
ˈæ	ˈi	0.209
ˈiə̯	-	0.205
ˈɒː	ˈæː	0.199
ˈu	-	0.196
ˈeː	ˈi	0.194
ˈɒː	ˈɑ	0.189
ˈɑ	ˈæɑ̯	0.185
ˈiə̯	ˈiːy̯	0.169
ˈi	-	0.165
ˈæ	-	0.164
ə	-	0.163
p	pː	0.141
s	k_s	0.134
ˈeː	ˈeo̯	0.13
w	eo̯	0.128
ɦ	ʤ	0.127
ˈɪ	-	0.121
d	d_ɑ	0.12
ˈoː	ˈu	0.113
m	mː	0.113
ˈoː	ˈiːy̯	0.111
ɾ	e_r	0.102
ʋ	w_ˈiː	0.101
l	ɫː	0.092
d	ð	0.077
ɦ	ʤː	0.075
ə	ɑ	0.074
k	ʧː	0.073
ə	o	0.069
ˈɑ	ˈiy̯	0.06
ˈɑ	ˈi	0.06
t	tː	0.058
n	-	0.051
