Bavarian	West Frisian	probability
a	ə_r	0.38
a	ə	0.368
a	r	0.115
a	ˈuə̯_r	0.073
a	-	0.058
b̥	b	0.763
b̥	-	0.127
b̥	v	0.062
b̥	f	0.048
d	d	1.0
d̥	t	0.514
d̥	d	0.406
d̥	-	0.069
d̥_a	r	1.0
f	f	0.764
f	p	0.217
f	v	0.035
h	h	1.0
i	-	0.225
i	ɪ	0.225
i	ə	0.13
j	l	0.664
j	-	0.175
j	j	0.145
k	k	1.0
kʰ	k	0.643
kʰ	ʦ	0.239
kʰ	-	0.095
l	l	0.897
l	-	0.055
l	n	0.055
m	m	0.803
m	-	0.09
m	v	0.062
m	n	0.048
n	n	0.511
n	ə	0.334
n	-	0.077
n	j_ə	0.067
n_d̥	n	1.0
p	-	0.33
p	p	0.165
p͡f	p	0.574
p͡f	t	0.287
r	r	0.762
r	-	0.157
r	r_ˈɛ	0.048
r	z	0.043
s	s	0.594
s	t	0.36
s	ɕ	0.032
s	z	0.032
t	t	0.65
t	d	0.183
t	-	0.156
x	χ	0.606
x	k	0.382
ç	k	0.53
ç	k_ə	0.461
ŋ	ŋ	0.594
ŋ	n	0.321
ŋ	z	0.078
ɐ	r	0.61
ɐ	-	0.252
ɐ	ˈɛ	0.13
ə	-	0.496
ə	ə	0.312
ə	j	0.179
ɡ̊	ɡ	0.421
ɡ̊	χ	0.217
ɡ̊	-	0.209
ɡ̊	ɣ	0.135
ɪ	ɪ	1.0
ʃ	s_k	0.5
ʃ	s	0.49
ʋ	ʋ	0.538
ʋ	v	0.376
ʋ	-	0.056
ʋ	ˈɔ	0.042
ʦ	t	0.898
ʦ	ʦ	0.101
ˈa	ˈɪə̯	0.258
ˈa	ˈɛ	0.195
ˈa	ˈɛi̯	0.129
ˈa	ˈɔː	0.098
ˈa	ˈiː	0.098
ˈai̯	ˈiː	0.276
ˈai̯	ˈi	0.186
ˈai̯	j	0.176
ˈai̯	ˈyː	0.062
ˈai̯	ˈɛ_j	0.062
ˈau̯	ˈuː	0.789
ˈau̯	ˈyː	0.11
ˈau̯	ˈɪə̯	0.078
ˈaː	ˈɪə̯	0.77
ˈaː	ˈaː	0.151
ˈaː	ˈa	0.045
ˈe	ˈɪə̯	0.252
ˈe	ˈiə̯	0.22
ˈe	ˈaː	0.145
ˈe	ˈɪ	0.11
ˈe	ˈɛi̯	0.1
ˈeɐ̯	ˈiə̯	0.333
ˈeɐ̯	ˈɛ	0.333
ˈeɐ̯	ˈoː	0.333
ˈeː	ˈeː	0.254
ˈeː	ˈɪə̯	0.168
ˈeː	ˈa	0.168
ˈeː	ˈiə̯	0.168
ˈeː	ˈɛi̯	0.12
ˈi	ˈɪ	0.461
ˈi	ˈi	0.154
ˈi	ˈiː	0.105
ˈi	j	0.053
ˈi	ˈa	0.053
ˈiɐ̯	j	0.32
ˈiɐ̯	ˈɵ	0.16
ˈiɐ̯	ˈɪə̯	0.151
ˈiɐ̯	ˈiə̯	0.151
ˈiɐ̯	ˈɪ	0.069
ˈiː	ˈiə̯	0.488
ˈiː	ˈɔː	0.201
ˈiː	ˈɪ	0.185
ˈo	ˈɔ	0.31
ˈo	ˈɔː	0.285
ˈo	ˈa	0.174
ˈo	ˈaː	0.087
ˈo	ˈɪ	0.069
ˈou̯	ˈɪə̯	0.392
ˈou̯	ˈuː	0.297
ˈou̯	ˈeː	0.297
ˈoɐ̯	ˈoə̯	0.193
ˈoɐ̯	ˈɪə̯	0.193
ˈoɐ̯	ˈiə̯_n	0.155
ˈoɐ̯	ˈiə̯	0.152
ˈoɐ̯	ˈaː	0.076
ˈoː	ˈa	0.184
ˈoː	ˈɛː	0.176
ˈoː	ˈaː	0.176
ˈoː	ˈiə̯	0.126
ˈoː	ˈɛi̯	0.116
ˈu	ˈɔ	0.259
ˈu	ˈoə̯	0.181
ˈu	ˈyː	0.11
ˈu	ˈɪ	0.11
ˈu	ˈiə̯	0.087
ˈuɐ̯	ˈuə̯	0.831
ˈuɐ̯	ˈoː	0.168
ˈy	ˈuə̯	0.501
ˈɑː	ˈiː	0.501
ˈɒ	ˈaː	0.407
ˈɒ	ˈa	0.354
ˈɒ	ˈɛ	0.167
ˈɒː	ˈa	0.45
ˈɒː	ˈiə̯	0.341
ˈɒː	ˈaː	0.122
ˈɔ	ˈaː	0.243
ˈɔ	ˈɔ	0.243
ˈɔ	ˈoə̯	0.14
ˈɔ	ˈa	0.132
ˈɔ	ˈiə̯	0.103
ˈɛ	ˈy	0.196
ˈɛ	ˈø	0.196
ˈɛ	ˈɛ	0.145
ˈɛ	ˈi	0.129
ˈɛ	ˈɪ	0.11
ˈɛː	ˈiə̯	0.629
ˈɛː	ˈeː	0.361
ˈʏ	ˈɪ	0.251
