Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	-	1.0
ˈɪ	ˈɪ	1.0
ˈœ	-	1.0
ˈæʉ̯	ˈeo̯	1.0
ˈæ	ˈa	1.0
ˈeː_#>	ˈɛɪ̯_#>	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_#>	f_#>	1.0
ʂ	ʃ	1.0
ɾ_e	ɐ	1.0
ɡː	-	1.0
ɡ_ɑ	ŋ	1.0
ɡ_#>	ç_#>	1.0
ɛ	-	1.0
ə_ɾ	ɐ	1.0
ə	-	1.0
ŋː	ŋ	1.0
v	v	1.0
t_ɑ	t_n	1.0
t	t	1.0
sː	ʃ	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p	p	1.0
nː_#>	n_d̥_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
k	k	1.0
h	h	1.0
f	f	1.0
e_ɾ	ɐ	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
<#_ˈɛ	<#	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈæɪ̯	<#_ˈɛɪ̯	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#	1.0
<#_j	<#	1.0
tʰ	d	0.857
ˈæɪ̯	ˈɛɪ̯	0.833
ʰtː	t	0.75
ʋ	v	0.75
<#	<#_v	0.75
ˈɑ	ˈa	0.714
ˈyː	ˈɛɪ̯	0.714
ç	k	0.714
j	-	0.714
ɑ	n	0.69
e	ə	0.68
ˈiː	ˈiː	0.667
ˈuː	ˈaʊ̯	0.636
ˈøː	ˈɔʏ̯	0.625
nː	n	0.625
lː	l	0.625
ˈoː	ˈɒː	0.571
ˈeː	-	0.571
s	s	0.567
ˈʉ	ˈʊ	0.562
ɾ	ɐ	0.519
ˈʏ	ˈʏ	0.5
ˈœʏ̯	ˈeo̯	0.5
ˈœʏ̯	-	0.5
ˈʉː	ˈuː	0.471
ɡ	ɣ	0.471
ˈʉ	-	0.438
s	z	0.433
ˈeː	ˈeː	0.429
#>	ə_#>	0.429
ɾ	r	0.385
#>	d̥_#>	0.381
ˈøː	-	0.375
nː	n_ə	0.375
lː	l_ə	0.375
ˈɑː	ˈɒː	0.364
ˈɑː	-	0.364
ˈɔ	ˈoː	0.333
ˈɔ	-	0.333
e	-	0.32
ˈɛ	ˈɪ	0.3
ˈɛ	ˈɛ	0.3
ˈʉː	ˈɛɪ̯	0.294
ˈyː	ˈyː	0.286
ç	d	0.286
j	l	0.286
ʰtː	ç_t	0.25
<#	<#_j	0.25
ˈʉː	-	0.235
ɡ	j	0.235
ˈoː	ˈoː	0.214
ˈoː	-	0.214
ɑ	-	0.207
ˈɛ	ˈʏ	0.2
ˈɛ	ˈa	0.2
ˈiː	ˈɪ	0.2
#>	n_#>	0.19
ˈɑː	ˈaː	0.182
ˈuː	ˈʊ	0.182
ˈuː	-	0.182
ˈʏ	ˈɔ	0.167
ˈʏ	w	0.167
ˈʏ	-	0.167
ˈɔ	ˈɔ	0.167
ˈɔ	ˈa_x	0.167
ˈæɪ̯	ˈaɪ̯	0.167
ʋ	w	0.15
tʰ	t_v	0.143
ˈiː	ˈɛɪ̯	0.133
ɡ	x	0.118
ɡ	-	0.118
ʋ	-	0.1
ˈɑ	ˈɛː	0.095
ˈɑ	ˈɔ	0.095
ˈɑ	ˈɒː	0.095
ˈɑː	ˈɛə̯	0.091
ɑ	m	0.069
ɡ	ɣ̊	0.059
ɾ	-	0.058
