American English	Bavarian	probability
b	b̥	1.0
d	d̥	0.722
d	t	0.254
f	f	0.829
f	b̥	0.107
h	h	1.0
i	-	0.403
i	i	0.225
i	ɪ	0.225
i	ŋ	0.148
j	j	0.61
j	ɡ̊	0.39
k	k	0.49
k	x	0.304
k	ç	0.094
k	-	0.066
kʰ	kʰ	0.913
kʰ	f	0.087
l	l	0.954
m	m	0.958
n	n	0.907
n	ŋ	0.078
oʊ̯	ɐ	1.0
p	f	0.876
p	p͡f	0.117
s	s	0.759
s	ʃ	0.201
t	s	0.529
t	x_t	0.168
t	ʦ	0.144
t	t	0.106
t	x	0.053
tʰ	ʦ	0.925
tʰ	-	0.075
v	b̥	0.42
v	f	0.34
v	m	0.24
w	ʋ	0.842
w	r	0.071
w	-	0.068
z	n	0.5
z	s	0.5
ð	d̥	0.871
ð	t	0.129
ŋ	ŋ	0.878
ŋ	i	0.122
ə	-	0.889
ə	ˈe	0.111
ɚ	a	0.487
ɚ	ɐ	0.318
ɚ	-	0.104
ɚ	r	0.063
ɡ	ɡ̊	0.777
ɡ	-	0.223
ɪ	a	1.0
ɫ	j	0.639
ɫ	l	0.207
ɫ	n	0.079
ɹ	r	0.686
ɹ	ɐ	0.15
ɹ	-	0.137
ɾ	s	1.0
ʃ	ʃ	1.0
ʤ	ɡ̊	1.0
ʧ	kʰ	0.689
ʧ	ç	0.287
ˈaɪ̯	ˈai̯	0.415
ˈaɪ̯	ˈi	0.276
ˈaɪ̯	ˈau̯	0.073
ˈaɪ̯	ˈiɐ̯	0.06
ˈaɪ̯	ˈoɐ̯	0.058
ˈaɪ̯	ˈɔ	0.058
ˈaʊ̯	ˈau̯	0.754
ˈaʊ̯	ˈoː	0.138
ˈaʊ̯	ˈu	0.08
ˈeɪ̯	ˈa	0.268
ˈeɪ̯	ˈɒ	0.141
ˈeɪ̯	ˈaː	0.139
ˈeɪ̯	ˈeː	0.139
ˈeɪ̯	ˈoː	0.113
ˈeɪ̯	ˈo	0.108
ˈeɪ̯	ˈɔ	0.064
ˈi	ˈeɐ̯	0.125
ˈi	ˈiɐ̯	0.121
ˈi	ˈaː	0.12
ˈi	ˈi	0.088
ˈi	ˈau̯	0.077
ˈi	ˈai̯	0.07
ˈi	ˈeː	0.058
ˈi	ˈɒː	0.055
ˈi	ˈɛ	0.051
ˈoʊ̯	ˈoɐ̯	0.534
ˈoʊ̯	ˈo	0.265
ˈoʊ̯	ˈɛː	0.058
ˈoʊ̯	ˈai̯	0.053
ˈoʊ̯	ˈi	0.053
ˈu	ˈeɐ̯	0.504
ˈu	ˈɔ	0.252
ˈu	ˈa	0.083
ˈu	ˈoɐ̯	0.081
ˈu	ˈai̯	0.079
ˈæ	ˈo	0.287
ˈæ	ˈɒː	0.223
ˈæ	ˈa	0.173
ˈæ	ˈɛ	0.14
ˈæ	ˈoː	0.12
ˈæ	ˈɔ	0.057
ˈɑ	ˈe	0.225
ˈɑ	ˈoɐ̯	0.192
ˈɑ	ˈa	0.147
ˈɑ	ˈɒ	0.147
ˈɑ	ˈɔ	0.106
ˈɑ	ˈo	0.095
ˈɔ	ˈoɐ̯	0.465
ˈɔ	ˈi	0.134
ˈɔ	ˈu	0.134
ˈɔ	ˈɒ	0.134
ˈɔ	ˈɛ	0.134
ˈɛ	ˈe	0.172
ˈɛ	ˈɛ	0.144
ˈɛ	ˈeː	0.102
ˈɛ	ˈa	0.092
ˈɛ	ˈɒ	0.092
ˈɛ	ˈoɐ̯	0.079
ˈɛ	ˈou̯	0.07
ˈɛ	ˈai̯	0.059
ˈɝ	ɐ	1.0
ˈɪ	ˈi	0.669
ˈɪ	ˈu	0.11
ˈɪ	ˈiː	0.056
ˈʊ	ˈuɐ̯	0.69
ˈʊ	ˈo	0.31
ˈʌ	ˈu	0.629
ˈʌ	-	0.108
ˈʌ	ˈuɐ̯	0.094
ˈʌ	ˈɛ	0.072
ˈʌ	ˈoː	0.068
θ	d̥	0.919
θ	l	0.055
