Spanish	Spanish	probability
θ_e	θ	1.0
θ_#>	z_#>	1.0
β_l	b_j	1.0
ˈu_n	ˈou̯_n	1.0
ˈo_t	ˈeə̯_t	1.0
ˈo_n	ˈõũ̯	1.0
ˈi_ʝ	ˈɛə̯	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈi_x	j_ˈɔə̯	1.0
ˈe_β	v	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_ð	ˈeə̯	1.0
ˈa_n	ˈʌ̃	1.0
ʧ	t	1.0
ʝ	l	1.0
ɾ_t	r_t	1.0
ɾ_o_#>	r_#>	1.0
ɾ_o	ɐ_r	1.0
ɾ_e	ɐ_r	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
x_o	ʧ	1.0
u	-	1.0
t	t	1.0
s_o_#>	s_#>	1.0
r	r	1.0
p	p	1.0
o_ɾ	u_r	1.0
n_o	ˈõũ̯	1.0
k_ɾ	k_r	1.0
k_o_#>	k_#>	1.0
k	k	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
d_j	d	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
b_w	b	1.0
b	b	1.0
a_β	ɐ_v	1.0
a_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈo	<#_ˈɔə̯	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ˈɔə̯	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_b	<#_v	1.0
<#	<#_f	1.0
#>	ɐ_#>	1.0
o_#>	#>	0.938
n	n	0.938
j	-	0.917
a	ɐ	0.912
l	l	0.909
m	m	0.895
ˈa_ɾ	ˈeə̯	0.8
ɾ	r	0.788
<#_r	<#_r	0.778
s	s	0.774
ɾ_a	r_ɐ	0.714
ɾ_#>	#>	0.714
n_o_#>	#>	0.667
i	i	0.667
ɲ	ɲ	0.625
e	ɐ	0.609
l_ˈe	l_ˈɛ	0.6
β	v	0.5
ð	t	0.5
ð	d	0.5
o_s	u_j	0.5
o_s	i	0.5
o	u	0.5
w	v	0.455
ˈa	ˈʌ̃	0.444
ˈi	ˈi	0.44
θ	θ	0.4
l_ˈe	l	0.4
e	-	0.391
j_ˈe	ˈɛə̯	0.385
ˈu	ˈu	0.375
ɲ	n	0.375
o	-	0.357
ˈo	ˈou̯	0.345
ˈo	ˈo	0.345
θ	z	0.333
ˈa	ˈeə̯	0.333
ɟ͡ʝ	ʧ	0.333
ɟ͡ʝ	p_j	0.333
ɟ͡ʝ	p	0.333
n_o_#>	n_#>	0.333
i	-	0.333
w_ˈe	ˈɔə̯	0.316
w_ˈe	ˈɔ	0.316
j_ˈe	ˈɛ	0.308
j_ˈe	ˈeː	0.308
x	ð	0.3
x	s	0.3
ɾ_a	ɐ	0.286
ɾ_#>	ˈeə̯_#>	0.286
ˈi	ˈɛ	0.28
β	b	0.278
w	ˈɔə̯	0.273
w	-	0.273
θ	-	0.267
ˈe	ˈɛ	0.255
ˈu	ˈo	0.25
s	-	0.226
β	-	0.222
ˈa	ˈa	0.222
<#_r	<#	0.222
w_ˈe	ˈo	0.211
ˈi	ˈẽ	0.2
ˈa_ɾ	ˈeə̯_r	0.2
x	j	0.2
x	-	0.2
ˈe	ˈi	0.196
ˈo	ˈɔ	0.172
w_ˈe	ˈou̯	0.158
ˈe	-	0.157
ɾ	ɐ_r	0.152
o	j	0.143
ˈo	ˈɔə̯	0.138
ˈu	ˈɔ	0.125
ˈu	ˈou̯	0.125
ˈu	-	0.125
ˈe	ˈeː	0.118
m	-	0.105
ˈe	ˈẽ	0.098
l	-	0.091
j	ˈɛ̃	0.083
ˈi	f	0.08
o_#>	l_#>	0.062
n	-	0.062
ɾ	-	0.061
ˈe	ˈɛə̯	0.059
ˈe	ˈu	0.059
a	-	0.059
