Swedish	Westphalian	probability
a	-	0.388
a	n	0.326
a	ə	0.24
a	ɐ	0.031
a	ŋ	0.03
b	b	1.0
d	d	0.691
d	t	0.172
d	-	0.126
e	ɐ	0.241
f	f	0.984
f	ʃ	0.035
h	h	0.932
h	k	0.067
j	-	0.455
j	ˈɛː	0.183
j	x	0.132
j	ˈɪɛ̯	0.121
j	ˈiː	0.065
jː	ɡ	0.491
k	k	0.889
k	-	0.11
kʰ	k	0.796
kʰ	-	0.202
kː	ŋ_k	0.784
kː	k	0.125
l	l	0.975
l	-	0.036
l_ɛ	l	0.241
lː	l_ə	0.548
lː	l	0.415
m	m	0.937
m	-	0.063
mː	m	1.0
n	n	0.856
n	-	0.142
nː	n	0.774
nː	ˈaʊ̯	0.136
nː	l	0.074
p	p	1.0
pː	p	0.491
r	r	0.395
r	-	0.325
r	ɐ	0.211
r	d_ɐ	0.047
r	p	0.029
r_a	ɐ	1.0
rː	ç	0.491
s	s	0.596
s	ʃ	0.361
s	z	0.039
s_k	ʃ	1.0
sː	s	0.241
t	t	0.918
t	d	0.048
t	-	0.047
tʰ	t	0.51
tʰ	d	0.392
tʰ	b	0.091
tː	t	0.681
tː	ç	0.175
tː	x	0.132
v	w	0.489
v	f	0.228
v	v	0.165
v	b	0.055
v	p	0.05
ŋ	ŋ	0.447
ŋ	m	0.157
ŋ	ç	0.157
ŋ	n	0.096
ŋː	ŋ	1.0
ɕ	d	0.477
ɕ	k	0.477
ɖ	-	0.282
ɖ	d	0.282
ɛ	ɐ	0.569
ɛ	-	0.319
ɛ	ə	0.097
ɡ	x	0.601
ɡ	ç	0.132
ɡ	-	0.082
ɡ	ɡ	0.062
ɡ	k	0.061
ɡ_ɛ	ɡ	1.0
ɡː	-	0.361
ɡː	ɣ	0.361
ɡː	k	0.204
ɧ	ʃ	0.826
ɧ	s	0.142
ɪ	-	0.594
ɪ	ɪ	0.392
ɳ	n	0.324
ɳ	ɐ	0.324
ɳː	n	0.241
ɵ	-	0.324
ɵ	ɪ	0.324
ʈː	t	1.0
ʊ	ˈaɪ̯	0.5
ʊ	ˈɪə̯	0.5
ˈa	ˈa	0.736
ˈa	ˈaː	0.1
ˈa	ˈɔ	0.066
ˈa	ˈɔː	0.057
ˈa	ˈɛ	0.043
ˈeː	ˈeː	0.379
ˈeː	ˈɪ	0.23
ˈeː	ˈaɪ̯	0.2
ˈeː	ˈiə̯	0.132
ˈeː	ˈa	0.039
ˈiː	ˈiː	0.711
ˈiː	-	0.22
ˈiː	ˈɪ	0.063
ˈoː	ˈɔː	0.482
ˈoː	ˈa	0.136
ˈoː	ˈaʊ̯	0.078
ˈoː	ˈoː	0.078
ˈoː	ˈuə̯	0.078
ˈuː	ˈoː	0.574
ˈuː	ˈaʊ̯	0.127
ˈuː	ˈuə̯	0.094
ˈuː	ɐ	0.089
ˈuː	ˈɔː	0.089
ˈyː	ˈyː	0.315
ˈyː	ˈaɪ̯	0.275
ˈyː	ˈeː	0.239
ˈyː	ˈiː	0.105
ˈæ	ˈɪɛ̯	0.491
ˈæː	ˈiː	0.324
ˈæː	ˈɛː	0.324
ˈøː	ˈaʊ̯	0.552
ˈøː	ˈøː	0.201
ˈøː	-	0.08
ˈøː	ˈyːœ̯	0.078
ˈøː	ˈɛ	0.06
ˈœ	-	0.203
ˈœ	ˈuːə̯	0.203
ˈœ	ˈøː	0.203
ˈœ	ˈaɪ̯	0.132
ˈœ	ˈœː	0.089
ˈœː	ˈɔː	0.66
ˈœː	ˈœː	0.159
ˈɑː	ˈaː	0.459
ˈɑː	ˈa	0.264
ˈɑː	ˈɒː	0.093
ˈɑː	ˈɪ	0.093
ˈɑː	ˈɛ	0.052
ˈɔ	ˈa	0.182
ˈɔ	ˈuːə̯	0.182
ˈɔ	ˈyː	0.128
ˈɔ	ˈɔ	0.123
ˈɔ	ˈɪ	0.118
ˈɛ	ˈɛ	0.364
ˈɛ	ˈɪɛ̯	0.145
ˈɛ	ˈɪ	0.107
ˈɛ	ˈa	0.077
ˈɛ	ˈaɪ̯	0.071
ˈɛː	ˈɪɛ̯	0.324
ˈɛː	ˈaʊ̯	0.186
ˈɛː	ˈaɪ̯	0.126
ˈɛː	ˈɛ	0.126
ˈɛː	ˈɛː	0.126
ˈɪ	ˈɪ	0.786
ˈɪ	r	0.117
ˈɪ	ˈɛ	0.087
ˈɵ	ˈʊ	0.318
ˈɵ	w_ˈʊ	0.152
ˈɵ	ˈuː	0.116
ˈɵ	ˈʏ	0.115
ˈɵ	ˈyə̯	0.088
ˈʉː	ˈaɪ̯	0.323
ˈʉː	ˈuː	0.305
ˈʉː	ˈʊ	0.101
ˈʉː	ˈuːə̯	0.078
ˈʉː	ˈɪɛ̯	0.078
ˈʊ	ˈʊ	0.76
ˈʊ	ˈoː	0.1
ˈʊ	w	0.065
ˈʏ	ˈʏ	0.384
ˈʏ	ˈɪɛ̯	0.253
ˈʏ	ˈyː	0.235
