Swedish	Westphalian	probability
a	n	0.554
a	ə	0.299
a	-	0.08
b	b	0.946
b	-	0.054
d	d	0.759
d	t	0.186
d	-	0.054
f	f	0.969
h	h	0.965
j	x	0.266
j	h	0.21
j	-	0.178
j	l	0.147
j	ˈɛː	0.098
j	ˈɪɛ̯	0.066
jː	ɡ	1.0
k	k	0.915
k	-	0.085
kʰ	k	0.929
kʰ	-	0.071
kː	k	0.536
kː	ŋ_k	0.464
l	l	0.965
lː	l	1.0
m	m	0.84
m	v	0.16
mː	m	1.0
n	n	0.952
nː	n	0.86
nː	-	0.14
p	p	1.0
pː	p	1.0
r	ɐ	0.522
r	r	0.371
r	-	0.073
rː	ç	1.0
s	s	0.592
s	ʃ	0.356
sː	s	1.0
t	t	0.973
tʰ	d	0.649
tʰ	t	0.289
tʰ	b	0.062
tː	t	0.782
tː	ç	0.135
tː	x	0.083
v	v	0.72
v	ʋ	0.201
v	f	0.062
ŋ	ŋ	0.369
ŋ	n	0.358
ŋ	ç	0.213
ŋ	m	0.059
ŋː	ŋ	1.0
ɔ	aɪ̯	1.0
ɕ	k	0.906
ɕ	d	0.094
ɖ	-	0.5
ɖ	d	0.5
ɛ	ɐ	0.689
ɛ	-	0.259
ɛ	ə	0.052
ɡ	x	0.502
ɡ	ɡ	0.204
ɡ	ç	0.187
ɡ	-	0.064
ɡː	-	0.324
ɡː	ɡ	0.308
ɡː	ç	0.288
ɡː	k	0.081
ɧ	ʃ	0.801
ɧ	s	0.199
ɪ	-	0.686
ɪ	ɪ	0.314
ɳ	ɐ	0.661
ɳ	n	0.339
ɳː	n	1.0
ɵ	ɪ	0.73
ɵ	-	0.27
ʂ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʊ	ˈaɪ̯	0.67
ʊ	ˈɪə̯	0.33
ˈa	ˈa	0.773
ˈa	ˈɔː	0.075
ˈa	ˈɔ	0.069
ˈa	ˈaː	0.061
ˈeː	ˈeː	0.379
ˈeː	ˈɪ	0.242
ˈeː	ˈɪə̯	0.191
ˈeː	ˈaɪ̯	0.166
ˈiː	ˈiː	0.659
ˈiː	ˈɪ	0.146
ˈiː	-	0.133
ˈiː	ɐ	0.061
ˈoː	ˈɔː	0.663
ˈoː	ˈa	0.164
ˈoː	ˈeː	0.058
ˈuː	ˈoː	0.69
ˈuː	ˈaʊ̯	0.116
ˈuː	ɐ	0.087
ˈuː	ˈuə̯	0.073
ˈyː	ˈyː	0.582
ˈyː	ˈiː	0.174
ˈyː	ˈeː	0.172
ˈyː	ˈaɪ̯	0.072
ˈæ	ˈɪɛ̯	1.0
ˈæː	ˈiɛ̯	0.464
ˈæː	ˈɛː	0.301
ˈæː	ˈiː	0.235
ˈøː	ˈaʊ̯	0.381
ˈøː	ˈøː	0.232
ˈøː	ˈɛ	0.124
ˈøː	-	0.112
ˈøː	ˈyːœ̯	0.075
ˈœ	ˈœː	0.256
ˈœ	ˈaʊ̯	0.15
ˈœ	-	0.124
ˈœ	ˈʏ	0.118
ˈœ	ˈuːə̯	0.1
ˈœ	ˈaɪ̯	0.099
ˈœ	ˈøː	0.076
ˈœ	ˈɪ	0.076
ˈœː	ˈøː	0.62
ˈœː	ˈɔː	0.229
ˈœː	ˈœː	0.151
ˈɑː	ˈaː	0.416
ˈɑː	ˈa	0.311
ˈɑː	ˈɪ	0.117
ˈɑː	ˈɒː	0.082
ˈɑː	ˈɛ	0.073
ˈɔ	ˈuːə̯	0.229
ˈɔ	ˈyː	0.229
ˈɔ	ˈʊ	0.193
ˈɔ	ˈuə̯	0.11
ˈɔ	ˈuː	0.064
ˈɔ	ˈa	0.064
ˈɔ	ˈɪ	0.051
ˈɛ	ˈɛ	0.413
ˈɛ	ˈiː	0.114
ˈɛ	ˈa	0.1
ˈɛ	ˈɪɛ̯	0.098
ˈɛ	ˈø	0.079
ˈɛ	ˈeː	0.073
ˈɛ	ˈɪ	0.051
ˈɛː	ˈɪɛ̯	0.373
ˈɛː	ˈɛ	0.187
ˈɛː	ˈɛː	0.187
ˈɛː	ˈɪə̯	0.112
ˈɛː	ˈaʊ̯	0.094
ˈɪ	ˈɪ	0.824
ˈɪ	ʋ	0.089
ˈɪ	r	0.086
ˈɵ	ˈʊ	0.356
ˈɵ	ˈuː	0.188
ˈɵ	v_ˈʊ	0.141
ˈɵ	ˈyə̯	0.121
ˈɵ	ˈɪ	0.121
ˈʉː	ˈaɪ̯	0.414
ˈʉː	ˈuː	0.193
ˈʉː	-	0.102
ˈʉː	ˈɛ	0.086
ˈʉː	ˈʊ	0.065
ˈʊ	ˈʊ	0.541
ˈʊ	ˈoː	0.261
ˈʊ	ˈuːə̯	0.198
ˈʏ	ˈʏ	0.48
ˈʏ	ˈyː	0.221
ˈʏ	ˈɪɛ̯	0.152
ˈʏ	ˈuː	0.146
