Old Norse	Faroese	probability
a	a	1.0
b	b̥	0.988
c	ʃ	0.919
c	ʧ	0.081
cʰ	kʰ	0.503
cʰ	ʧʰ	0.497
cː	ʰʧː	1.0
d	d̥	0.886
d	-	0.062
d	ʤ̊	0.052
f	f	0.889
f	v	0.076
h	h	1.0
i	ɪ	0.867
i	a	0.085
j	-	0.476
j	j	0.392
j	ʤ̊ː	0.053
k	k	0.954
kʰ	kʰ	1.0
kː	ʰkː	0.913
kː	ʰʧ	0.087
l	l	0.855
l	l̥	0.073
lː	t_l̥	0.82
lː	l	0.18
l̥	l	1.0
m	m	0.997
mː	m	1.0
n	n	0.787
n	n̥	0.193
nː	nː	0.561
nː	n	0.439
p	p	0.543
p	ʰp	0.457
pː	ʰpː	1.0
r	ʊ_ɹ	0.466
r	ɹ	0.389
r	-	0.093
r	t	0.051
rː	ɹ	0.834
rː	ʊ_ɹ	0.12
r̥	ɹ	1.0
s	s	0.757
s	-	0.135
s	ʃ	0.108
sː	s	0.59
sː	sː	0.41
t	t	0.84
t	ʰt	0.141
tʰ	tʰ	0.952
tː	ʰtː	0.989
u	ʊ	0.499
u	-	0.31
u	ɪ	0.19
v	v	0.854
v	s	0.051
v	-	0.051
w	v	0.931
w	ʧʰ	0.069
x	kʰ	0.949
x	-	0.051
ç	j	0.681
ç	ʧʰ	0.27
ð	w	0.297
ð	-	0.254
ð	v	0.24
ð	j	0.137
ð	t	0.072
ŋ	ŋ	0.926
ŋ	ɲ	0.074
ɑ	a	0.892
ɑː	a	1.0
ɟ	ɡ̊	0.344
ɟ	ʧ	0.344
ɟ	ʤ̊	0.312
ɟː	ʤ̊ː	1.0
ɡ	ɡ̊	0.973
ɡː	ɡ̊ː	1.0
ɣ	ɡ̊	0.512
ɣ	v	0.33
ɣ	w	0.085
ɾ	ɹ	1.0
ʝː	j	1.0
ˈa	ˈa	0.585
ˈa	ˈɛːa̯	0.415
ˈe	ˈɛ	0.433
ˈe	ˈeː	0.293
ˈe	ˈøː	0.111
ˈe	ˈœ	0.111
ˈe	ˈiː	0.051
ˈeː	ˈɛːa̯	0.682
ˈeː	ˈeː	0.242
ˈeː	ˈa	0.059
ˈi	ˈɪ	0.786
ˈi	ˈiː	0.185
ˈiː	ˈʊ̯iː	0.803
ˈiː	ˈʊ	0.146
ˈiː	ʊ̯ˈiː	0.051
ˈo	ˈɔ	0.777
ˈo	ˈoː	0.124
ˈo	ˈœ	0.063
ˈoː	ˈɔːu̯	0.645
ˈoː	-	0.1
ˈoː	ˈœ	0.081
ˈoː	ˈoː	0.066
ˈoː	ʊ	0.063
ˈu	ˈʊ	0.826
ˈu	ˈuː	0.124
ˈuː	ˈʉːu̯	0.816
ˈuː	ˈʏ	0.096
ˈuː	ˈɪ	0.052
ˈy	ˈɪ	0.55
ˈy	ˈiː	0.249
ˈy	ˈʏ	0.202
ˈyː	ˈɪ	0.37
ˈyː	ˈʊ̯iː	0.297
ˈyː	ˈʊ	0.2
ˈyː	ˈɔːu̯	0.082
ˈyː	ʊ	0.05
ˈøy̯	ˈɔːi̯	1.0
ˈøː	ˈøː	0.991
ˈɑ	ˈa	0.602
ˈɑ	ˈɛːa̯	0.166
ˈɑ	ˈɔ	0.099
ˈɑ	ˈɛ	0.097
ˈɑu̯	ˈɛːi̯	1.0
ˈɑː	ˈɔ̯aː	0.805
ˈɑː	ˈɔ	0.143
ˈɑː	a	0.052
ˈɒu̯	ˈœ	0.883
ˈɒu̯	ˈɛːi̯	0.117
ˈɔ	ˈœ	0.388
ˈɔ	ˈøː	0.321
ˈɔ	ˈɔ	0.263
ˈɔː	ˈɔːu̯	1.0
ˈɛ	ˈɛ	0.463
ˈɛ	r	0.253
ˈɛ	ˈøː	0.086
ˈɛ	ˈeː	0.084
ˈɛ	ˈʊ̯iː	0.062
ˈɛ	ˈeə̯	0.053
ˈɛi̯	ˈai̯	0.453
ˈɛi̯	ˈaːi̯	0.444
ˈɛi̯	ˈɛːi̯	0.102
ˈɛː	ˈɛːa̯	0.711
ˈɛː	ˈɔ̯aː	0.186
ˈɛː	ˈɛ	0.103
θ	tʰ	0.704
θ	ʧʰ	0.296
