Catalan	Catalan	probability
ˈe_s	ˈɛ_ʃ	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʎ_#>	l_u_#>	1.0
ɾ_ˈɛ	ɾ	1.0
ɾ_ə_#>	#>	1.0
ɣ	ɣ	1.0
ə_#>	#>	1.0
ŋ_ɡ	ɲ	1.0
ð	ð	1.0
z	z	1.0
w_#>	ʃ_#>	1.0
u_s	u_s	1.0
u_n	õ	1.0
u_m	ũ	1.0
t_ə	t_ɐ	1.0
s_ə	s_ɐ	1.0
s_#>	ʃ_#>	1.0
r_n	ɾ_n	1.0
r_k	ɾ_k	1.0
r_#>	w_ɾ_u_#>	1.0
p_l	ʃ	1.0
n_#>	t_ɨ_#>	1.0
mː	m	1.0
m_#>	m_ɨ_#>	1.0
l_#>	#>	1.0
k_l	ʃ	1.0
j_#>	j_#>	1.0
f_l	ʃ	1.0
f	f	1.0
a	ɐ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_b	<#_v	1.0
m	m	0.938
p	p	0.919
d	d	0.889
r	ɾ	0.875
b	b	0.875
k	k	0.851
ɾ	ɾ	0.818
ɡ	ɡ	0.818
u	u	0.812
ʒ	ʒ	0.786
ə	ɐ	0.747
ʎ	ʎ	0.667
ɲ	ɲ	0.667
t	t	0.667
ˈa	ˈa	0.66
ˈu	ˈu	0.655
ˈi	ˈi	0.632
ɾ_ə	ɾ_ɨ	0.625
#>	u_#>	0.602
ˈɔ_n	ˈo	0.6
l_ə	l_ɐ	0.6
ˈo	ˈo	0.577
j	-	0.571
s	ʃ	0.565
<#_ə	<#_i	0.529
β	β	0.526
ˈɔ	ˈo	0.514
ˈa_n	ˈɐ̃_t	0.5
ˈa_n	ˈɐ̃	0.5
ʧ	j_u	0.5
ʧ	-	0.5
ʃ	s_ˈe	0.5
ʃ	j_ʃ	0.5
β	v	0.474
ˈɛ	ˈe	0.471
l	-	0.435
ˈɔ	ˈɔ	0.432
j	j	0.429
ˈɔ_n	ˈõ	0.4
l_ə	ɐ	0.4
l	ɫ	0.391
ɾ_ə	ɾ	0.375
i	i	0.364
i	-	0.364
n	-	0.357
ˈe	ˈɛ	0.355
<#_ə	<#_ɐ	0.353
s	s	0.348
ɲ	-	0.333
ŋ	ɡ	0.333
ŋ	k_u	0.333
ŋ	-	0.333
ˈa	ˈɐ̃	0.277
i	ɨ	0.273
ˈɛ	ˈɛ	0.265
ʎ	l	0.238
ˈe	ˈe	0.226
w	w	0.217
ʒ	-	0.214
n	ɲ	0.214
n	t	0.214
n	n	0.214
ˈo	-	0.192
u	-	0.188
ɡ	ɣ	0.182
w	v_ɨ	0.174
w	-	0.174
ˈu	ˈo	0.172
ˈe	ˈẽ	0.161
k	ɣ	0.149
ˈɛ	ˈɐ_j	0.147
ˈi	ˈɐ_j	0.132
w	v	0.13
w	s_u	0.13
ˈe	ˈɐ_j	0.129
ˈe	ˈɐ	0.129
#>	ɨ_#>	0.129
r	ʁ	0.125
b	-	0.125
t	ð_ɨ	0.121
t	ð	0.121
ˈɛ	-	0.118
<#_ə	<#	0.118
ˈo	ˈɔ	0.115
ˈo	ˈõ	0.115
d	-	0.111
#>	ɾ_#>	0.108
#>	w̃_#>	0.108
ˈu	ˈũ	0.103
ə	ɨ	0.101
ʎ	u	0.095
ɾ	ˈe	0.091
ɾ	-	0.091
t	-	0.091
w	v_u	0.087
w	u	0.087
s	p_u	0.087
l	u	0.087
l	l	0.087
p	β	0.081
ˈi	ˈĩ	0.079
ˈu	-	0.069
ˈa	ˈɐ	0.064
m	-	0.062
ˈɔ	ˈõ	0.054
ˈi	ˈi_ɲ	0.053
ˈi	ˈe_ɾ	0.053
ˈi	ɾ	0.053
