Kashubian	Bulgarian	probability
ˈə	ˈi	1.0
ˈu	ˈɔ	1.0
ˈõ	ˈɤ	1.0
ˈi	ˈi	1.0
ˈa_ŋ	ˈɛ	1.0
ˈa_t	ˈa_t	1.0
ˈa_r	r_ˈa	1.0
ˈa	ˈa	1.0
ʧ_i	ɐ_k	1.0
ʦ_#>	#>	1.0
ʣ	d	1.0
ʒ	ʒ	1.0
ʐ	r	1.0
ʃ	ʃ	1.0
ʂ	r	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ɔ	o	1.0
z	z	1.0
x	x	1.0
w_ˈʉ	u	1.0
w_ˈɔ	ɫ_ˈa	1.0
w	ɫ	1.0
v_j	vʲ	1.0
v	v	1.0
u̯ɛ_#>	ˈɔ_#>	1.0
u	-	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_i	ɛ_n	1.0
n	n	1.0
l_#>	ɫ_#>	1.0
k	k	1.0
j_ˈɞ	ɛ	1.0
i_#>	#>	1.0
f	f	1.0
e	ɛ	1.0
d	d	1.0
b	b	1.0
<#_u̯ˈɛ	<#_ˈɔ	1.0
<#_r	<#_r	1.0
<#_j	<#	1.0
m	m	0.8
u̯ˈɛ	o	0.75
a	ˈa	0.737
ˈe	ˈa	0.6
ʧ	t	0.6
j	ɛ	0.6
ʦ	t	0.562
l	lʲ	0.556
ˈɞ	ˈɤ	0.5
ˈɞ	ˈa	0.5
ə	ˈi	0.5
ə	m	0.5
m_j	mʲ	0.5
m_j	m	0.5
l	l	0.444
ˈɔ	ɛ	0.429
ˈe	ˈɛ	0.4
ʧ	ʧ	0.4
j	-	0.4
ˈɛ	ˈɤ	0.385
ˈɛ	ˈɛ	0.308
ˈɔ	ˈɔ	0.286
ˈɔ	o	0.286
a	ɐ	0.263
u̯ˈɛ	ˈɔ	0.25
m	ɛ	0.2
ʦ	ɐ	0.188
ˈɛ	ˈa	0.154
ˈɛ	-	0.154
ʦ	ʦ	0.125
ʦ	j_ɐ	0.125
