French	Lombard	probability
a	a	0.312
a	ˈa	0.252
a	-	0.23
a	ˈɛ	0.107
b	b	0.936
b	-	0.065
d	d	0.893
d	ʦ	0.057
d	n	0.056
e	ˈa	0.659
e	-	0.216
e	ˈaː	0.078
f	f	0.939
f	-	0.06
i	ˈi	0.341
i	ˈe	0.188
i	-	0.113
i	i	0.094
i	ˈe_s	0.082
i_ʁ	ˈi	1.0
j	j	0.197
j	-	0.186
j	ʧ	0.181
j	ˈɛ	0.134
j	ʤ_a	0.117
j	a	0.095
j	e	0.067
j_ɛ	ˈe	1.0
k	k	0.904
k	ʧ	0.092
l	l	0.743
l	j	0.155
l	-	0.074
m	m	1.0
n	n	0.804
n	ɲ	0.09
n	ĩ	0.052
o	ˈɛ_l	0.457
o	ˈɔ	0.183
o	ˈa_l	0.123
o	ˈɔ_s	0.11
o	ˈaː	0.052
p	p	0.99
s	s	0.637
s	ʧ	0.141
s	-	0.062
s	ʃ	0.054
s	ʦ	0.054
t	t	0.713
t	s_t	0.162
t	ʦ	0.059
t_ʁ	s	0.495
u	ˈu	0.289
u	ˈu_l	0.112
u	ˈø	0.098
u	o	0.085
u	ˈy	0.074
u	ˈyː	0.074
u	ˈɔ	0.074
u	y	0.061
u	ˈuː	0.061
u	u	0.06
v	ʋ	0.835
v	-	0.055
w	ˈe	0.278
w	-	0.251
w	ˈu	0.127
w	e_d	0.082
w	i	0.054
w	ˈeː	0.054
w	ˈi	0.054
y	ˈy	0.475
y	ˈu	0.26
y	y	0.102
y	ˈi	0.077
y	ˈyː	0.053
z	z	0.545
z	d	0.214
z	ʧ	0.132
z	ʃ	0.061
ø	ˈø	0.247
ø	j	0.163
ø	ˈu	0.123
ø	ˈøː	0.123
ø	-	0.087
ø	ˈyː	0.087
ø	ˈɛ	0.071
ø	ˈɔ	0.066
œ	ˈøː	0.323
œ	ˈø	0.226
œ	ˈyː	0.149
œ	ˈu	0.13
œ	ˈãː	0.092
œ	ˈɔ	0.053
ɑ̃	ˈẽː	0.372
ɑ̃	ã	0.2
ɑ̃	ˈãː	0.129
ɑ̃	ˈãː_k	0.112
ɑ̃	ˈɛ̃ː	0.112
ɑ̃	ˈɛ	0.055
ɔ	ˈɔ	0.521
ɔ	u	0.348
ɔ	ˈyː	0.077
ɔ	ˈu	0.052
ɔ̃	ˈũː	0.719
ɔ̃	ˈo	0.107
ɔ̃	-	0.082
ɔ̃	ũ	0.082
ə	e	0.461
ə	a	0.185
ə	i	0.161
ə	ˈe	0.093
ə	ˈa	0.052
ɛ	ˈa	0.304
ɛ	ˈɛ	0.204
ɛ	ˈe	0.139
ɛ	-	0.107
ɛ	ˈaː	0.069
ɛ̃	ˈãː	0.384
ɛ̃	ˈĩː	0.243
ɛ̃	ɲ	0.164
ɛ̃	ĩ	0.055
ɛ̃	ˈeː	0.055
ɛ̃	ˈa	0.053
ɛ̃	ˈũː	0.053
ɡ	ɡ	0.888
ɡ	ʤ	0.102
ɡ_l	ʤ	0.495
ɥ	ˈø	0.295
ɥ	ˈi	0.194
ɥ	ʦ	0.168
ɥ	ʧ	0.127
ɥ	ˈy	0.091
ɥ_i	ˈy	1.0
ɲ	ɲ	1.0
ʁ	r	0.819
ʁ	-	0.093
ʁ	r_t	0.052
ʃ	k	0.971
ʒ	ʤ	0.705
ʒ	-	0.112
ʒ	d	0.067
ʒ	b	0.056
ʒ	s	0.055
