Eastphalian	Eastphalian	probability
ˈʏ_n	n	1.0
ˈɛː_ɐ	ˈʌ	1.0
ˈɛː	-	1.0
ˈɛə̯	ˈa	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	ˈəi̯	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈɔe̯	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɒː_n	eə̯	1.0
z̥	s	1.0
x	x	1.0
w	ʋ	1.0
v̥	b	1.0
v_ˈɪ	ʋ	1.0
v_n	b_a	1.0
t_n	s_a	1.0
s_t	ʃ_d	1.0
s_#>	s_#>	1.0
s	ʃ	1.0
r	ʁ	1.0
p_ə_#>	f_#>	1.0
p_#>	f_#>	1.0
p	-	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ə	x	1.0
h	h	1.0
f_#>	b_#>	1.0
d	d	1.0
b_m	f_a	1.0
b	b	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_ˈɛ	1.0
#>	a_#>	1.0
f	f	0.92
d̥	d	0.917
z	s	0.895
ˈuː	ˈao̯	0.833
ŋ	ŋ	0.833
ə	-	0.821
ˈa	ˈa	0.818
v	ʋ	0.81
ˈiː	ˈəi̯	0.75
t_ə	s	0.75
ˈʊ	ˈo	0.727
ˈeo̯	ˈoː	0.7
ˈaʊ̯	ˈuə̯	0.667
ç	ɡ	0.667
ˈeː	-	0.625
ˈoː	-	0.5
ɐ	ʌ	0.5
ˈɛ	ˈɛ	0.462
n	a	0.46
ˈɛɪ̯	ˈɔe̯	0.435
t	s	0.435
ˈɔʏ̯	-	0.429
ˈɒː	ˈɔː	0.417
ˈɒː	ˈa	0.417
ɐ	ʕ	0.417
ˈɪ	ˈi	0.391
k	kʰ	0.391
ˈeː	ˈɛ	0.375
ˈʏ	ˈu	0.333
ˈʏ	ˈae̯	0.333
ˈʏ	-	0.333
ç	ç	0.333
j	ˈaː_ɡ	0.333
j	ɡ	0.333
j	j	0.333
ˈɛ	-	0.308
t	d	0.304
ˈeo̯	ˈao̯	0.3
n	n	0.3
ˈɔʏ̯	ˈuə̯	0.286
ˈɔʏ̯	ˈiə̯	0.286
ˈʊ	-	0.273
ˈɔ	ˈɔ	0.273
ˈɔ	ˈu	0.273
ˈɔ	ˈa	0.273
ˈɛɪ̯	-	0.261
t	ʦ	0.261
k	ɡ	0.261
k	ç	0.261
ˈoː	ˈɔ	0.25
ˈoː	ˈoː	0.25
ˈiː	-	0.25
t_ə	ʣ	0.25
ˈɛ	ˈi	0.231
ˈaʊ̯	-	0.222
ˈɪ	ˈe	0.217
ˈɛɪ̯	ˈiə̯	0.217
ˈɔ	ˈo	0.182
ˈɪ	ˈɪ	0.174
ˈɒː	ˈoː	0.167
ˈuː	-	0.167
ŋ	ɡ_a	0.167
ˈɪ	-	0.13
ˈaʊ̯	ˈɔə̯	0.111
ə	e	0.107
z	s_ˈeː	0.105
v	ʋ_ˈo	0.095
v	b	0.095
ˈa	ˈɛ	0.091
ˈa	ˈaː	0.091
ˈɪ	ˈəi̯	0.087
ˈɛɪ̯	ˈae̯	0.087
k	x	0.087
ɐ	d_ʌ	0.083
d̥	t	0.083
f	f_ˈi	0.08
ə	a	0.071
n	d_a	0.06
n	-	0.06
