Romanian	Franco-Provençal	probability
kʲ	ʎ	1.0
nʲ	-	1.0
v	v	1.0
ˈau̯	ˈoː	1.0
b	ʃ	0.081
d	ð	0.061
e̯ˈa	ʎ	0.051
i	j	0.051
k	ʎ	0.051
o̯ˈa	ˈa	0.061
s	ʃ	0.091
u	ɔ	0.401
w	-	0.291
z	w	0.121
ŋ	-	0.301
ŋ	ʒ	0.301
ə	ə	0.231
ʦ	s	0.11
ˈa	ˈɛ	0.141
ˈi	ˈe	0.051
ˈi	ˈĩ	0.171
ˈi	ˈɛ̃	0.21
ˈu	w	0.191
ˈɨ	ˈɑ̃	0.241
d	d	0.462
j	ʎ	0.192
k	-	0.272
p	-	0.202
s	-	0.322
t	ð	0.232
ɨ	ˈɛ̃	0.152
ɨ	ˈĩ	0.312
ʃ	j	0.092
ʒ	ʒ	0.232
ʒ	ð	0.352
ʤ	s	0.12
ʦ	t	0.202
ʧʲ	t	0.622
ˈa	ˈɛː	0.102
ˈe	ˈi	0.072
ˈu	ˈoː	0.062
ˈu	-	0.082
i	ĩ	0.293
j	ˈe	0.063
o	ˈɛ̃	0.123
r	-	0.313
w	w	0.143
ʧʲ	-	0.243
ˈo	ˈu	0.143
ˈu	ˈɔ	0.073
ˈu	ˈu	0.103
ˈu	ˈɔ̃	0.353
e̯ˈa	ˈɛ	0.34
l	-	0.284
m	-	0.344
w	ʎ	0.224
z	-	0.294
z	d	0.584
ə	a	0.504
ɡ	-	0.444
ʃ	d	0.064
ʤ	ð	0.454
ˈe	-	0.064
ˈi	ˈi	0.264
ˈo	ˈo	0.404
a	ɛː	0.115
a	e	0.135
a	ˈa	0.235
b	b	0.655
e	-	0.535
e̯ˈa	ˈe	0.075
j	j	0.205
k	ɡ	0.055
n	n	0.455
p	p	0.595
r	l	0.085
r	ʁ	0.515
s	s	0.565
u	o	0.25
ʃ	s	0.765
ʧʲ	k	0.135
ˈa	ˈo	0.075
ˈa	ˈa	0.215
ˈi	ˈɛ	0.05
ˈu	ˈø	0.065
ˈə	ˈɛː	0.155
e	a	0.06
e̯ˈa	ˈɛː	0.066
i	e	0.096
i	ɛ̃	0.16
l	l	0.716
n	-	0.476
o̯ˈa	ˈø	0.276
o̯ˈa	ˈoː	0.316
r	ð	0.086
u	-	0.306
w	f	0.226
ɡ	ɡ	0.556
ɨ	-	0.536
ʒ	d	0.416
ʤ	-	0.396
ʦ	ʃ	0.146
ʧ	s	0.366
ˈa	ˈɑː	0.06
ˈo	ˈoː	0.076
ˈə	a	0.296
ˈɨ	o	0.106
a	-	0.067
i	-	0.317
j	ɲ	0.07
o	o	0.697
o̯ˈa	ˈɑ̃	0.097
o̯ˈa	ˈɔ	0.097
ˈa	-	0.067
ˈa	ˈaː	0.107
ˈo	ˈø	0.077
ˈə	ˈɛ	0.517
ˈɨ	ˈɛ̃	0.287
a	ˈaː	0.18
a	a	0.268
b	v	0.138
e	ə	0.288
j	ʒ	0.058
j	-	0.378
k	k	0.268
k	ʃ	0.308
m	m	0.638
o	-	0.18
p	f	0.088
t	t	0.258
t	-	0.418
w	a	0.078
ŋ	ˈɔ̃	0.398
ə	-	0.138
ʃ	z	0.078
ʦ	z	0.118
ʧ	ʃ	0.068
ʧ	-	0.298
ˈe	ˈɛ	0.08
ˈi	ˈɑː	0.098
ˈi	-	0.108
b	-	0.099
d	-	0.449
e̯ˈa	ˈi	0.469
f	f	0.969
o̯ˈa	ʎ	0.069
p	v	0.069
ʦ	-	0.399
ʧ	z	0.079
ʧ	k	0.079
ʧ	ð	0.109
ˈa	j	0.069
ˈe	ˈɛː	0.329
ˈe	ˈe	0.419
ˈo	w	0.249
ˈɨ	ˈa	0.309
