Alsatian	Mainland North Frisian	probability
ˈɛ	ˈɛː	1.0
ˈɒː_s	s	1.0
ˈœ	ˈuː_ɣ̥	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈœː_j	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈoː_ʁ	ʀ	1.0
ˈiː_s	ˈi_t	1.0
ˈeː_ʁ	ˈɛ	1.0
ˈaː	-	1.0
ˈai̯	ˈiː	1.0
ʦ	t	1.0
ʋ_ˈo	ˈʊ	1.0
ʋ_ˈi	v	1.0
ə_t	ç	1.0
ŋ	ŋ	1.0
w	-	1.0
t_ʁ	d_ʀ	1.0
p͡f	-	1.0
p	p_ʀ	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_t	lʲ	1.0
kʰ	k	1.0
h	h	1.0
eː	ɛi̯	1.0
e	ˈiː	1.0
d̥_ʁ	t_ʀ	1.0
b̥	b	1.0
ə	ə	0.92
ʁ	ʀ	0.914
l	l	0.866
ʋ	v	0.821
n	n	0.783
j	-	0.745
ˈəi̯	ˈiː	0.734
ˈeː	ˈiː	0.716
f	f	0.692
ɡ̊	ɡ	0.688
ʃ_t	s_t	0.676
ˈyː	ˈʏ	0.646
d̥	d	0.602
ˈei̯	ˈiː	0.579
i	i	0.557
s	s	0.554
k	-	0.532
ˈu	ˈʊ	0.501
ʃ	ʃ	0.477
k	k	0.468
i	-	0.443
ˈe	-	0.429
x	x	0.429
ˈei̯	-	0.421
ˈɒː	ˈɛi̯	0.393
ˈoː	-	0.381
ˈi	ˈi	0.377
ˈo	ˈɔ	0.375
ʃ	s	0.374
ˈɒː	-	0.363
ˈyː	-	0.354
ˈiː	j	0.354
ˈʊː	ˈuː	0.353
ˈʊː	ˈœ	0.328
ʃ_t	t	0.324
ˈʊː	-	0.319
ˈo	ˈʊ	0.312
ˈo	-	0.312
ɡ̊	-	0.312
t	dʲ	0.297
ˈi	-	0.291
ˈiː	ˈiː	0.286
x	ɣ̥	0.286
x	-	0.286
ˈeː	-	0.284
ˈəi̯	-	0.266
j	w	0.255
ˈe	ˈɛː	0.253
t	d̥	0.25
ˈɒː	ˈɒ	0.244
d̥	-	0.241
ˈoː	ˈyː	0.225
ˈoː	ˈɔu̯	0.2
t	t	0.196
ˈoː	ˈuː	0.195
f	p	0.194
ˈɒ	ˈœ	0.192
s	tʲ	0.189
ˈe	ˈa	0.187
ʋ	-	0.179
ˈi	ˈa	0.173
d̥	t	0.157
ʃ	k	0.15
ˈiː	-	0.146
ˈɒ	ˈɒ	0.143
ˈɒ	ˈɔː	0.137
ˈu	ˈa	0.137
ˈu	ˈaː	0.134
ˈe	ˈeː	0.132
ˈu	ˈœ	0.131
ˈiː	ˈi	0.13
s	z	0.13
n	-	0.123
ˈɒ	ˈɒː	0.118
t	d	0.114
ˈɒ	-	0.113
ˈɒ	ˈuː	0.111
ˈi	ˈai̯	0.106
ˈɒ	ˈʊ	0.105
ˈu	-	0.096
n	nʲ	0.094
l	-	0.091
ˈiː	ˈɛ	0.084
ˈɒ	ˈeː	0.08
s	t	0.08
t	-	0.077
t	z̥	0.067
f	v_ə	0.062
ˈi	ˈɔː	0.052
f	v̥	0.052
