Pennsylvania German	North Frisian	probability
#>	n_#>	1.0
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_s	<#_s	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɾ	<#_r	1.0
<#_ʦ	<#_t	1.0
d̥_#>	d_#>	1.0
f_ə	p_ə	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
l_d̥	ˈœ_lʲ_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
p	p	1.0
t	t	1.0
t_#>	t_#>	1.0
x_#>	k_#>	1.0
ç	x	1.0
ç_#>	k_#>	1.0
ŋ	ŋ_ə	1.0
ŋ_#>	ŋ_#>	1.0
ɑ	r	1.0
ɑ_#>	r_#>	1.0
ə_#>	ə_#>	1.0
ɡ̊	ˈɛi̯	1.0
ɣ	ə	1.0
ɾ	r	1.0
ɾ_ɪ	r	1.0
ɾ_ˈaɪ̯	r_ˈiː	1.0
ʃ	s	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ʦ_#>	t_#>	1.0
ˈa_s	ˈɒː_d	1.0
ˈa_x	ˈɒ_x	1.0
ˈeː_s	ˈiː_tʲ	1.0
ˈeː_ç	ˈiː_k	1.0
ˈiː_s	ˈɛ_tʲ	1.0
ˈoː_d̥	ˈyː_dʲ	1.0
ˈoː_f	ˈɛi̯_p	1.0
ˈuː_#>	ˈyː_#>	1.0
ˈɔː_ɑ	r	1.0
ˈɛ_d	ˈɛː_d	1.0
ˈɛ_ɑ	ˈeː_#>	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈʊ_n	ˈʊ_n	1.0
<#_ʋ	<#	0.211
b̥_#>	f_#>	0.571
ˈaɪ̯	ˈøː	0.111
ˈaː	r	0.571
ˈɪ	ˈeː	0.091
ˈɪ	ˈɔː	0.091
ˈɪ	ˈaː	0.091
<#_kʰ	<#	0.182
<#_ʃ	<#_s	0.682
k	w	0.2
k	-	0.2
k	j_#>	0.2
s_#>	s_#>	0.722
ˈaɪ̯	ˈyː	0.222
ˈeː	ˈiː	0.692
ˈiː	ˈɛi̯	0.182
ˈɔː	ˈuː	0.312
ˈɛ	ˈɛː	0.182
ˈɪ	ˈʊ	0.182
<#_d	<#_d	0.63
l	l_ə	0.133
l	l	0.733
s	z	0.333
s	ə	0.333
s	tʲ	0.333
ə	ə_n	0.333
ˈaʊ̯	ˈøː	0.333
ˈɛ	ˈa	0.273
ˈɪ	ˈa	0.273
ˈɪ	ˈi	0.273
ˈʊ	-	0.333
<#_ˈa	<#_ˈɒː	0.4
k	k	0.4
n_d̥	n_#>	0.4
v	ə	0.4
x	k	0.4
ɪ_ç	i_ŋ	0.4
ˈeː	-	0.154
ˈeː	ˈiː_nʲ	0.154
ˈoː	ˈyː	0.4
ˈuː	ˈœ	0.714
ˈɔ	ˈɔː	0.4
d	<#_tʲ	0.25
d	dʲ	0.375
d	t_ə	0.375
f_#>	v_#>	0.25
f_#>	ə_n	0.25
f_#>	p_#>	0.5
j	-	0.5
j	j	0.5
ʋ	-	0.25
ʋ	v	0.75
ˈa	ˈɒ	0.235
ˈa	ˈœ	0.235
ˈaɪ̯	ˈi	0.5
ˈɔː	-	0.125
ˈɔː	ˈeː	0.125
ˈɔː	ˈɒ	0.125
ˈɔː	ˈiː	0.125
ˈɛ	ˈeː	0.545
ˈɛː	ˈa	0.5
ˈɛː	ˈɛi̯	0.5
ˈʊ	ˈa	0.25
ˈʊ	ˈʊ	0.25
<#_ˈa	<#	0.6
d̥	s	0.286
d̥	dʲ	0.286
n	-	0.176
n	n	0.706
n_d̥	nʲ	0.6
v	v	0.6
x	x	0.6
ɪ_ç	i	0.6
ˈa	ˈuː	0.176
ˈoː	ˈuː	0.6
ˈuː	ˈɛ	0.286
ˈɔ	ˈʊ	0.6
<#_d	<#_t	0.37
l	-	0.067
l	lʲ	0.067
ə	-	0.667
ˈaɪ̯	ˈa	0.167
ˈaʊ̯	ˈyː	0.667
ˈʊ	ˈaː	0.167
<#_kʰ	<#_k	0.818
<#_ʃ	<#_ʃ	0.318
n	ˈyː	0.118
s_#>	t_#>	0.278
ˈa	-	0.118
ˈa	ˈɔ_r	0.118
ˈa	ˈɒː	0.118
ˈiː	ˈiː	0.818
ˈɔː	ˈɔː	0.188
<#_ʋ	<#_v	0.789
b̥_#>	v_#>	0.429
d̥	-	0.429
ˈaː	ˈɔ_r	0.429
