Hessian	Hessian	probability
ˈɛ̃ː	ˈoː_ə	1.0
ˈɛː	-	1.0
ˈɛ_l	l_ə	1.0
ˈɑ̃i̯	ˈæːɪ̯_n	1.0
ˈɑː_#>	ˈoː_ɐ_#>	1.0
ˈoĩ̯	ˈe	1.0
ˈĩː	ˈe	1.0
ˈẽː	-	1.0
ˈãː	ˈeː_n	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʃ_d̥	ʃ_t	1.0
ʀ	ʀ	1.0
ɛː	e	1.0
ɑ	-	1.0
ɐ_n_#>	ʀ_#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
v̥	f	1.0
pʰ	pʰ	1.0
oː	ˈəʊ̯	1.0
n_æ̆	n_ɐ	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	-	1.0
i	ə	1.0
h	h	1.0
<#_n	<#_n	1.0
f	f	0.939
n	n	0.933
ɐ	ɐ	0.882
æ̆	ɐ	0.882
ə	ə_n	0.821
p	b	0.8
ˈo	ˈo	0.778
v	v	0.758
ˈiː	ˈɜɪ̯	0.714
ɡ̊	ɡ	0.714
ˈai̯	ˈæːɪ̯	0.7
ˈeː	ˈɜɪ̯	0.667
ɣ̊	-	0.667
b̥	b	0.647
ˈoi̯	ˈɑɪ̯	0.625
ˈæ	ˈiː	0.6
ˈoː	ˈəʊ̯	0.6
ʒ̊	-	0.6
t	t	0.6
ˈa	ˈaː	0.583
ˈaː	ˈaː	0.562
ˈau̯	ˈæːʊ̯	0.556
ˈɔ	ˈuː	0.5
ˈɔ	ˈaː	0.5
ˈæː	ˈiː	0.5
ˈæː	-	0.5
ʃ	ʃ	0.5
x	χ	0.5
k	k	0.5
d̥	d	0.5
#>	ŋ_#>	0.5
ˈɑː	ˈaː	0.467
ˈu	-	0.462
d̥	d̥	0.457
ˈɛ	ˈiə̯	0.444
ˈau̯	ˈɑʊ̯	0.444
ˈaː	ˈeː	0.438
s	z	0.436
ˈe	ˈə	0.429
ˈa	ˈɑ	0.417
ˈɑː	ˈoː	0.4
ˈæ	ˈɛː	0.4
ˈoː	-	0.4
ʒ̊	ʃ	0.4
ˈu	ˈo	0.385
ˈɑ	ˈaː	0.375
ˈuː	ˈʊ	0.375
ˈuː	ˈəʊ̯	0.375
ˈoi̯	-	0.375
ʃ	ɕ	0.375
ˈi	ˈə	0.371
b̥	v̥	0.353
t	d	0.35
ˈɛ	-	0.333
ˈeː	ˈi	0.333
ɣ̊	χ	0.333
ˈɑ	ˈɑ	0.312
ˈai̯	-	0.3
x	ɕ	0.3
k	ɡ	0.3
#>	n_#>	0.3
ˈi	ˈɑ	0.286
ˈe	ˈɛ	0.286
ˈe	-	0.286
ɡ̊	k	0.286
s	z̥	0.256
ˈuː	ˈu	0.25
s	s	0.231
ˈɛ	ˈɛ	0.222
ˈo	-	0.222
ˈi	ˈe	0.2
x	-	0.2
p	p	0.2
k	-	0.2
#>	d̥_#>	0.2
ˈɑ	-	0.188
ˈu	ˈu	0.154
v	w	0.152
ˈiː	ˈiː	0.143
ˈiː	ˈi	0.143
ˈɑː	ˈuə̯	0.133
ˈɑ	ˈuə̯	0.125
ɐ	ə_ʀ	0.118
æ̆	ˈiː_ɐ	0.118
ə	n	0.103
v	-	0.091
ˈi	-	0.086
ə	-	0.077
s	ʃ	0.077
n	-	0.067
ʃ	ˈiː_ɕ	0.062
ʃ	-	0.062
f	-	0.061
ˈi	ˈiː	0.057
