Romansch	Italian	probability
i	e	1.0
o	o	1.0
u	o	1.0
ŋ	ŋ	1.0
ʒ	v	1.0
ʦ	ʦː	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈiə̯	ˈɛ	1.0
ˈo	ˈɔ	1.0
ˈuɔ̯	ˈo	1.0
b	b_w	0.141
j	e	0.471
l	l_o	0.1
l	l	0.461
n	n_o	0.181
v	p	0.21
ə	i	0.051
ə	-	0.081
ʃ	ʧ_e	0.201
ʃ	s	0.381
ʎ	l	0.081
ʎ	-	0.351
ʧ	ʧː	0.151
ʨ	tː_o	0.111
ˈiː	ˈi	0.641
ˈu	ˈɔ	0.181
ˈuː	ˈo	0.921
ˈɛ	ˈɛ	0.81
d	d	0.612
l	lː_o	0.082
m	m	0.902
s	-	0.12
t	tː	0.243
w	w	0.103
w	o	0.573
ɲ	ɲː_o	0.263
ʃ	ʃː	0.083
ʥ	ʤː	0.153
ʥ	-	0.183
ʨ	kː	0.073
ˈɛː	ˈɛ_lː	0.753
f	f	0.94
k	k	0.934
r	r	0.454
w	-	0.324
ɡ	ɡ	0.804
ʃ	ʤ	0.124
ʥ	ʤ	0.664
ˈa	ˈa	0.734
ˈi	ˈi	0.674
ˈiː	ˈu	0.294
e	i	0.225
e	e	0.775
n	-	0.055
t	t_o	0.155
ə	e	0.145
ʧ	ʧ	0.805
ˈa	ˈe	0.135
ˈe	ˈe	0.525
ˈiː	ˈe	0.065
ˈɔ	ˈɔ	0.255
ˈɔ	ˈa	0.745
d	t	0.376
k	k_w	0.066
n	n_e	0.076
p	p	0.996
s	sː_o	0.166
v	v	0.736
ə	a	0.716
ˈa	o	0.06
ˈe	-	0.426
ˈi	ˈu	0.326
ˈu	ˈu	0.226
ˈu	ˈo	0.546
l	lː	0.087
s	s	0.7
t	t	0.547
ɡ	-	0.137
ɲ	ɲː	0.737
ʎ	ʎː	0.47
ˈɛ	ˈe	0.077
ˈɛː	ˈɛ	0.247
l	j	0.198
r	r_e	0.398
ʃ	ʧ	0.178
ʎ	kː_j	0.098
ˈɔː	ˈɔ	0.888
b	b	0.859
j	-	0.529
m	m_e	0.069
n	n	0.689
r	r_o	0.09
ɡ	ʤ	0.059
ʨ	k	0.749
ˈuː	ˈɔ	0.079
ˈɛ	-	0.069
