French	Megleno-Romanian	probability
b	b	1.0
k	k	1.0
m	m	1.0
y	ˈu	1.0
ø	ˈo_k	1.0
ɥ	o̯ˈa	1.0
a	ˈa	0.291
f	f	0.911
i	ˈi	0.591
j	-	0.531
l	-	0.081
s	ʦ	0.371
ɛ	ˈe	0.1
ɛ	e̯ˈa	0.161
a	i	0.122
d	d	0.852
t	ʦ	0.112
w	ʦ	0.392
œ	ˈo	0.712
ɔ̃	ˈu	0.382
ɛ̃	ˈi_n	0.282
ʁ	-	0.132
ɑ̃	i	0.153
ɑ̃	ˈi	0.303
ə	-	0.083
ɛ	ˈɔ	0.183
ɡ	m	0.173
ʒ	z	0.813
i	i	0.134
o	ˈo_s	0.764
s	s	0.414
ɔ	ˈo	0.874
ɔ̃	-	0.264
ɔ̃	ˈu_ŋ	0.354
e	-	0.545
n	n_ə	0.315
n	n	0.685
s	ʃ	0.215
u	ˈu	0.775
ʁ	r	0.555
ʃ	k	0.955
a	ˈe	0.246
e	i	0.376
j	ə	0.076
j	ʎ	0.256
l	r	0.156
l	l	0.656
o	ˈa	0.236
v	p	0.136
ɑ̃	ˈi_n	0.236
ɔ	o̯ˈa	0.126
ɛ	ˈa	0.556
a	ə	0.317
i	j	0.217
l	ʎ	0.107
u	<#_w	0.057
v	v	0.837
ɑ̃	ə	0.307
ə	i	0.917
ɡ	ɡ	0.827
ʒ	ʒ	0.187
d	-	0.148
i	ˈe	0.058
j	ʎ_ə	0.138
p	p	0.968
t	t	0.888
u	ˈo	0.168
w	-	0.608
œ	ˈu	0.288
ɛ̃	i	0.718
ʁ	r_ə	0.088
ʁ	r_i	0.18
e	ə	0.079
f	-	0.089
