East Low German	West Frisian	probability
#>	#>	0.845
#>	ə_#>	0.138
<#	<#	1.0
b	b	0.859
b	v	0.059
b	-	0.051
d	d	0.517
d	t	0.323
d	ʦ_j	0.078
d	-	0.067
d_#>	#>	0.251
f	f	0.906
f	-	0.057
h	h	1.0
j	ɡ	0.551
j	j	0.428
k	k	0.922
k	ɣ	0.077
k_#>	#>	1.0
kʰ	k	0.721
kʰ	ʦ	0.213
kʰ	-	0.055
l	l	0.863
l	-	0.064
m	m	0.768
m	n	0.091
m	-	0.067
m	v	0.059
n	n	0.69
n	ə	0.177
n	-	0.057
n_d	n	1.0
p	p	0.948
p	t	0.055
r	r	0.945
r	-	0.057
s	s	0.918
s	z	0.08
t	t	0.892
t	-	0.092
tʰ	t	0.899
tʰ	ʦ	0.083
v	ʋ	0.584
v	v	0.252
v	-	0.156
w	v	1.0
x	χ	0.879
x	-	0.109
z	s	0.736
z	ɕ	0.126
z	z	0.095
æ	r	0.589
æ	ə_r	0.261
æ	ə	0.094
ç	χ	0.577
ç	-	0.141
ç	ŋ	0.123
ç	ɣ	0.093
ç	k	0.059
ŋ	ŋ	0.693
ŋ	n	0.236
ŋ	z	0.066
ɡ	ɡ	0.768
ɡ	ɣ	0.107
ɡ	-	0.072
ɣ	ɣ	0.125
ɪ	ə	0.561
ɪ	ɪ	0.425
ɾ	d	0.37
ɾ	ə	0.14
ɾ	ˈuə̯	0.14
ɾ	ˈɪə̯	0.14
ɾ	-	0.093
ʃ	s	0.675
ʃ	s_k	0.324
ˈa	ˈa	0.573
ˈa	ˈaː	0.144
ˈa	ˈɔː	0.107
ˈa	ˈɪə̯	0.052
ˈae̯	ˈiə̯	0.341
ˈae̯	ˈɪə̯	0.19
ˈae̯	ˈɪ	0.153
ˈae̯	ˈaː	0.075
ˈae̯	ˈeː	0.059
ˈae̯	ˈiː	0.059
ˈaɪ̯	ˈiə̯	0.501
ˈaʊ̯	ˈɪə̯	0.346
ˈaʊ̯	ˈuə̯	0.277
ˈaʊ̯	ˈoː	0.098
ˈaʊ̯	-	0.056
ˈaʊ̯	ˈeː	0.056
ˈaʊ̯	ˈoə̯	0.056
ˈaʊ̯	ˈɛ	0.056
ˈaʊ̯_ɾ	ˈuə̯	1.0
ˈaː	ˈɛ	0.24
ˈaː	ˈɛː	0.24
ˈaː	ˈaː	0.209
ˈaː	ˈa	0.138
ˈaː	ˈɪə̯	0.1
ˈeː	ˈiə̯	0.33
ˈeː	ˈeː	0.165
ˈeː	ˈa	0.063
ˈiː	ˈiː	0.276
ˈiː	ˈi	0.254
ˈiː	ˈɛ	0.157
ˈiː	j	0.116
ˈiː	ˈiə̯	0.087
ˈiː	ˈɔu̯	0.058
ˈoː	ˈɪə̯	0.415
ˈoː	ˈiə̯	0.225
ˈoː	ˈɪ	0.196
ˈuː	ˈuː	0.58
ˈuː	ˈyː	0.105
ˈuː	ˈoː	0.085
ˈuː	ˈuə̯	0.081
ˈuː	ˈɪə̯	0.081
ˈuː	ˈoə̯	0.064
ˈuː_æ	ˈoə̯	1.0
ˈyː	ˈuə̯	0.45
ˈyː	ˈyː	0.225
ˈyː	ˈɪə̯	0.13
ˈøː	ˈeː	0.19
ˈøː	ˈuː	0.19
ˈœ	ˈɔ	0.379
ˈœ	ˈaː	0.095
ˈœ	ˈɛi̯	0.095
ˈœː	ˈuə̯	0.287
ˈœː	ˈɪ	0.287
ˈœː	ˈoə̯	0.165
ˈœː	ˈɔː	0.165
ˈɒː	ˈiə̯	0.226
ˈɒː	ˈaː	0.181
ˈɒː	ˈa	0.134
ˈɒː	ˈoə̯	0.077
ˈɒː	ˈø	0.077
ˈɒː	ˈɛ	0.077
ˈɒː	ˈɪə̯	0.077
ˈɒː	ˈu	0.054
ˈɒː	ˈɛi̯	0.054
ˈɒː	ˈuː	0.053
ˈɔ	ˈɔ	0.418
ˈɔ	ˈɔː	0.193
ˈɔ	ˈy	0.114
ˈɔ	ˈɔu̯	0.076
ˈɔ	ˈaː	0.059
ˈɔ	ˈoə̯	0.056
ˈɔʏ̯	ˈiə̯	0.583
ˈɔʏ̯	j	0.229
ˈɔʏ̯	ˈɵ	0.151
ˈɛ	ˈɪ	0.35
ˈɛ	ˈɔ	0.171
ˈɛ	ˈɛi̯	0.171
ˈɛ	ˈa	0.149
ˈɛ	-	0.079
ˈɛ	ˈiə̯	0.062
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈaː	0.299
ˈɛː	ˈiː	0.226
ˈɛː	ˈɛ	0.141
ˈɛː	ˈi	0.099
ˈɛː	ˈoə̯	0.064
ˈɛː	ˈɔ	0.064
ˈɪ	ˈɪ	0.514
ˈɪ	ˈi	0.153
ˈɪ	ˈɛi̯	0.111
ˈɪ	ˈɔ	0.071
ˈɪ	j_ˈɔ	0.055
ˈɪ	ˈiː	0.055
ˈʊ	ˈɔ	0.5
ˈʊ	ˈu	0.175
ˈʊ	ˈuː	0.153
ˈʊ	-	0.078
ˈʊ	ˈyː	0.078
ˈʏ	ˈɪ	0.355
ˈʏ	ˈɛː	0.229
ˈʏ	ˈø	0.158
ˈʏ	ˈøə̯	0.158
