Ripuarian	Old Norse	probability
b	b	0.991
d	θ	0.453
d	d	0.282
d	ð	0.254
e	ɑː	1.0
f	f	0.625
f	v	0.232
f	p	0.084
h	h	0.864
h	ç	0.136
j	ɡ	0.85
j	ɟ	0.06
j	-	0.055
k	kʰ	0.314
k	d	0.11
k	ð	0.09
k	k	0.074
k	ɡː	0.072
k	c	0.07
k	ɟː	0.069
k	kː	0.065
l	l	0.823
l	lː	0.131
m	m	0.788
m	n	0.079
m	-	0.062
n	n	0.504
n	-	0.274
n	nː	0.178
p	v	0.422
p	p	0.407
p	pː	0.171
s	t	0.58
s	s	0.242
s	-	0.077
s	sː	0.062
t	t	0.259
t	ð	0.253
t	r_ð	0.225
t	d	0.114
t	-	0.062
t	ɑ_ð	0.056
v	v	0.825
v	-	0.119
v	x	0.056
x	tː	0.679
x	ɣ	0.197
x	k	0.072
x	j	0.052
z	s	1.0
ŋ	n	0.507
ŋ	ŋ	0.394
ŋ	nː	0.075
ɐ	r	0.605
ɐ	i	0.231
ɐ	rː	0.1
ɕ	k	0.457
ɕ	ɣ	0.239
ɕ	tː	0.168
ɕ	s	0.072
ɕ	rː	0.054
ə	ɑ	0.678
ə	-	0.168
ə	a	0.096
ɣ	ɡ	0.553
ɣ	ʝː	0.274
ɣ	ɟ	0.173
ɪ	u	0.937
ɪ	-	0.063
ʀ	r	0.839
ʀ	ˈoː	0.067
ʀ	r̥	0.057
ʃ	s	0.689
ʃ	c	0.282
ʋ	v	0.685
ʋ	-	0.165
ʋ	x_w	0.102
ʦ	tʰ	0.643
ʦ	tː	0.134
ʦ	r_t	0.106
ʦ	t	0.064
ʦ	d	0.054
ˈa	ˈɑ	0.593
ˈa	ˈɑː	0.114
ˈa	ˈi	0.076
ˈa	ˈɔ	0.064
ˈa	ˈu	0.058
ˈa	ˈa	0.057
ˈaʊ̯	ˈuː	0.337
ˈaʊ̯	ˈɑu̯	0.337
ˈaʊ̯	ˈyː	0.118
ˈaʊ̯	a	0.118
ˈaʊ̯	ˈɔ	0.09
ˈaː	ˈɑ	0.587
ˈaː	ˈɑː	0.203
ˈaː	ˈe	0.112
ˈaː	ˈɛː	0.057
ˈe	ˈi	0.566
ˈe	ˈe	0.194
ˈe	ˈoː	0.079
ˈe	ˈiː	0.063
ˈe	ˈy	0.057
ˈeɪ̯	ˈiː	0.479
ˈeɪ̯	ˈɛ	0.284
ˈeɪ̯	ˈyː	0.237
ˈeː	j	0.447
ˈeː	ˈɛi̯	0.348
ˈeː	ˈeː	0.102
ˈeː	ˈiː	0.069
ˈiː	ˈiː	0.59
ˈiː	ˈoː	0.156
ˈiː	ˈɑː	0.126
ˈiː	ˈyː	0.06
ˈo	ˈu	0.907
ˈo	ˈɑː	0.077
ˈoʊ̯	ˈo	0.903
ˈoʊ̯	ˈøy̯	0.097
ˈoː	ˈoː	0.212
ˈoː	ˈɑː	0.161
ˈoː	ˈo	0.144
ˈoː	ˈɑ	0.127
ˈoː	ˈɑu̯	0.108
ˈoː	ˈɔː	0.087
ˈu	ˈu	1.0
ˈuː	ˈuː	0.539
ˈuː	ˈɑu̯	0.197
ˈuː	ˈɒu̯	0.125
ˈuː	ˈu	0.061
ˈyː	ˈøy̯	0.235
ˈyː	ˈeː	0.221
ˈyː	ˈu	0.195
ˈyː	ˈy	0.16
ˈyː	ˈyː	0.11
ˈøː	ˈøː	0.752
ˈøː	ˈe	0.086
ˈøː	ˈɑː	0.078
ˈœ	ˈu	0.435
ˈœ	ˈy	0.291
ˈœ	ˈɛ	0.218
ˈœ	ˈi	0.056
ˈɔ	ˈo	0.306
ˈɔ	ˈu	0.303
ˈɔ	ˈɑː	0.154
ˈɔ	ˈoː	0.122
ˈɔ	ˈy	0.081
ˈɔʏ̯	ˈyː	1.0
ˈɛ	ˈɑ	0.266
ˈɛ	ˈe	0.236
ˈɛ	ˈi	0.164
ˈɛ	ˈɛ	0.068
ˈɛ	-	0.064
ˈɛ	ˈɔ	0.064
ˈɛ	ˈɛi̯	0.064
ˈɛ	ˈiː	0.051
ˈɛː	ˈɑ	0.286
ˈɛː	ˈe	0.271
ˈɛː	ˈɔ	0.185
ˈɛː	ˈu	0.143
ˈɪ	ˈi	0.53
ˈɪ	ˈiː	0.192
ˈɪ	ˈy	0.161
ˈɪ	ˈe	0.072
ˈʊ	ˈo	0.787
ˈʊ	ˈu	0.213
ˈʏ	ˈo	0.431
ˈʏ	ˈyː	0.2
ˈʏ	ˈiː	0.139
ˈʏ	ˈy	0.136
ˈʏ	ˈøː	0.093
