Elfdalian	Elfdalian	probability
ˈʏː	ˈai̯	1.0
ˈʉ̃ːə̯	-	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɑːu̯	ˈau̯	1.0
ˈɑːi̯	ˈai̯	1.0
ˈæ	ˈe	1.0
ˈyːœ̯	-	1.0
ˈyœ̯	ˈi	1.0
ˈiːe̯	ˈoɐ̯	1.0
ʨː	-	1.0
ʨ	-	1.0
ʥː	ɡ̊	1.0
ʥ	ɡ̊	1.0
ʏ	a	1.0
ʉ_#>	a_#>	1.0
ɽ_v	j_f	1.0
ɣ_ɛ	ɡ̊	1.0
ɣ_ɑ	ŋ	1.0
ɣ_#>	#>	1.0
ɣ	ɡ̊	1.0
ɡ_ɑ	a	1.0
ɛ_r	a	1.0
ɛ	-	1.0
ɔ̃	eɐ̯	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ð_ɑ	d̥_n	1.0
w	ʋ	1.0
v_ɔ	m	1.0
tʰ_r	d̥_r	1.0
t_ɑ	s_n	1.0
t_#>	s_#>	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
r_t	ɐ_ʦ	1.0
r_#>	#>	1.0
p_#>	f_#>	1.0
p	f	1.0
n_#>	#>	1.0
mː	-	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	j	1.0
l	j	1.0
kː	ŋ_ɡ̊	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈiɐ̯	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
a	n	1.0
<#_ˈɑː	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_h	1.0
ɽ	l	0.9
ð	d̥	0.9
ˈɪ	ˈi	0.875
n	n	0.875
ŋ	ŋ	0.818
ˈʉː	-	0.75
ˈɑː	ˈɒː	0.714
nː	n	0.714
k	x	0.7
<#	<#_h	0.7
ʉ	-	0.667
ɡ	ɡ̊	0.667
ɑ	a	0.667
j	-	0.667
#>	ə_#>	0.667
s	s	0.625
tʰ	ʦ	0.615
ˈʏ	ˈu	0.6
ˈæː	-	0.6
ˈo	ˈo	0.6
ɔ	a	0.6
ˈʉə̯	ˈo	0.571
ˈʉ	ˈu	0.5
ˈɔ	ˈɑ	0.5
ˈɔ	-	0.5
ɡː	ɡ̊_a	0.5
ɡː	-	0.5
ˈʉːə̯	ˈuɐ̯	0.467
ˈɛ	ˈe	0.462
ˈɔː	j	0.444
ˈœː	-	0.444
t	s	0.444
ˈʉə̯	-	0.429
ˈoː	-	0.429
tː	x_d̥	0.429
r	ɐ	0.424
ˈʏ	-	0.4
ˈɪː	ˈai̯	0.4
ˈɪː	-	0.4
ˈæː	ˈeː	0.4
ˈo	-	0.4
ɔ	n	0.4
r	r	0.394
tʰ	d̥	0.385
v	β	0.375
v	b̥	0.375
ˈʉːə̯	-	0.333
ˈɔː	-	0.333
ˈɑ	ˈo	0.333
ˈœː	ˈaː	0.333
ʉ	ə	0.333
ɡ	-	0.333
t	d̥	0.333
j	ˈe	0.333
#>	d̥_#>	0.333
k	ɡ̊	0.3
ˈʉ	ˈo	0.286
ˈɑː	ˈɑː	0.286
ˈoː	ˈou̯	0.286
ˈoː	h	0.286
tː	ʦ	0.286
tː	s	0.286
nː	ɐ_n	0.286
ˈʉː	ˈoː	0.25
ˈɑ	ˈɑ	0.25
ˈɑ	ˈa	0.25
v	f	0.25
s	ʃ	0.25
ɑ	n	0.238
ˈɛ	ˈoɐ̯	0.231
ˈɔː	ˈɒː	0.222
ˈœː	ˈou̯	0.222
t	d̥_ˈu	0.222
ˈʉ	-	0.214
ˈʉːə̯	ˈiɐ̯	0.2
ˈɪː	ˈi	0.2
<#	<#_ʋ	0.2
ŋ	-	0.182
ˈɑ	-	0.167
ˈɛ	ˈi	0.154
ˈɛ	-	0.154
ˈɪ	-	0.125
n	d̥	0.125
r	a	0.121
ɽ	j	0.1
ð	d̥_n	0.1
<#	<#_ˈi	0.1
ɑ	ŋ	0.095
s	ʃ_ʋ	0.062
s	d̥	0.062
r	d̥_a	0.061
